-0X1P+0,-0X1.921FB54442D19P-1
-0X1.F0299AC0EEDDP-1,-0X1.8A14D57B373EP-1
-0X1.E0CCCCFEC599DP-1,-0X1.8209F5B22BAA7P-1
-0X1.D1E257E9BF005P-1,-0X1.79FF15E92016FP-1
-0X1.C363831B7DACP-1,-0X1.71F4362014836P-1
-0X1.B54A10486BF4CP-1,-0X1.69E9565708EFDP-1
-0X1.A7903041B33B4P-1,-0X1.61DE768DFD5C4P-1
-0X1.9A30791E69133P-1,-0X1.59D396C4F1C8BP-1
-0X1.8D25DD68454DDP-1,-0X1.51C8B6FBE6353P-1
-0X1.806BA42D09967P-1,-0X1.49BDD732DAA1AP-1
-0X1.73FD61D9DF543P-1,-0X1.41B2F769CF0E1P-1
-0X1.67D6F1C9713CFP-1,-0X1.39A817A0C37A8P-1
-0X1.5BF47070848D8P-1,-0X1.319D37D7B7E6FP-1
-0X1.5052361766D11P-1,-0X1.2992580EAC537P-1
-0X1.44ECD210B9A7EP-1,-0X1.21877845A0BFDP-1
-0X1.39C106600C4EP-1,-0X1.197C987C952C5P-1
-0X1.2ECBC3C4568CFP-1,-0X1.1171B8B38998CP-1
-0X1.240A261BD43ECP-1,-0X1.0966D8EA7E053P-1
-0X1.19797117FBCD9P-1,-0X1.015BF9217271BP-1
-0X1.0F170D395C355P-1,-0X1.F2A232B0CDBC2P-2
-0X1.04E0850C1DD5CP-1,-0X1.E28C731EB6951P-2
-0X1.F5A7053D63975P-2,-0X1.D276B38C9F6DFP-2
-0X1.E1DB9A59E3B44P-2,-0X1.C260F3FA8846DP-2
-0X1.CE5A8DF525426P-2,-0X1.B24B3468711FCP-2
-0X1.BB1FD6B0AC2C7P-2,-0X1.A23574D659F8AP-2
-0X1.A827999FCEF31P-2,-0X1.921FB54442D18P-2
-0X1.956E26E56D2BFP-2,-0X1.8209F5B22BAA7P-2
-0X1.82EFF6910FB5BP-2,-0X1.71F4362014835P-2
-0X1.70A9A5B586F14P-2,-0X1.61DE768DFD5C3P-2
