-0X1.921FB54442D18P-1,0X1.6A09E667F3BCCP-1
-0X1.8A14D57B373DFP-1,0X1.6FAE400694B66P-1
-0X1.8209F5B22BAA6P-1,0X1.753B603D2B816P-1
-0X1.79FF15E92016EP-1,0X1.7AB0ED48135A5P-1
-0X1.71F4362014835P-1,0X1.800E8EE0DC5DBP-1
-0X1.69E9565708EFCP-1,0X1.8553EE43DEF13P-1
-0X1.61DE768DFD5C3P-1,0X1.8A80B635B6BEAP-1
-0X1.59D396C4F1C8AP-1,0X1.8F949308A4E84P-1
-0X1.51C8B6FBE6352P-1,0X1.948F32A1D91F1P-1
-0X1.49BDD732DAA19P-1,0X1.9970447EA1456P-1
-0X1.41B2F769CF0EP-1,0X1.9E3779B97F4A7P-1
-0X1.39A817A0C37A7P-1,0X1.A2E4850F24EC8P-1
-0X1.319D37D7B7E6EP-1,0X1.A7771AE355109P-1
-0X1.2992580EAC536P-1,0X1.ABEEF145AA616P-1
-0X1.21877845A0BFCP-1,0X1.B04BBFF642E86P-1
-0X1.197C987C952C4P-1,0X1.B48D406A5054P-1
-0X1.1171B8B38998BP-1,0X1.B8B32DD08CA3CP-1
-0X1.0966D8EA7E052P-1,0X1.BCBD451592EF7P-1
-0X1.015BF9217271AP-1,0X1.C0AB44E81C058P-1
-0X1.F2A232B0CDBC1P-2,0X1.C47CEDBD1E9A6P-1
-0X1.E28C731EB695P-2,0X1.C83201D3D2C6CP-1
-0X1.D276B38C9F6DEP-2,0X1.CBCA453998945P-1
-0X1.C260F3FA8846CP-2,0X1.CF457DCDC158BP-1
-0X1.B24B3468711FBP-2,0X1.D2A373453BA3P-1
-0X1.A23574D659F89P-2,0X1.D5E3EF2E217EDP-1
-0X1.921FB54442D17P-2,0X1.D906BCF328D46P-1
-0X1.8209F5B22BAA6P-2,0X1.DC0BA9DEF5AE4P-1
-0X1.71F4362014834P-2,0X1.DEF2851F4E2E2P-1
-0X1.61DE768DFD5C2P-2,0X1.E1BB1FC82FFD7P-1
-0X1.51C8B6FBE6351P-2,0X1.E4654CD6C707EP-1
-0X1.41B2F769CF0DFP-2,0X1.E6F0E134454FFP-1
-0X1.319D37D7B7E6EP-2,0X1.E95DB3B89BAF5P-1
-0X1.21877845A0BFCP-2,0X1.EBAB9D2D13572P-1
-0X1.1171B8B38998AP-2,0X1.EDDA784EC7E66P-1
-0X1.015BF92172718P-2,0X1.EFEA21D101EEP-1
-0X1.E28C731EB695P-3,0X1.F1DA785F71BCEP-1
-0X1.C260F3FA8846CP-3,0X1.F3AB5CA04A4F7P-1
-0X1.A23574D659F88P-3,0X1.F55CB1363C414P-1
-0X1.8209F5B22BAA4P-3,0X1.F6EE5AC2509FEP-1
-0X1.61DE768DFD5CP-3,0X1.F8603FE5A382P-1
-0X1.41B2F769CF0EP-3,0X1.F9B24942FE45BP-1
