-0X1.1A62633145C07P-53,-0X1.1A62633145C08P-53
-0X1.0130A1BE09389P-4,-0X1.015BF9217272AP-4
-0X1.00AEB5DA15BEBP-3,-0X1.015BF92172726P-3
-0X1.7FC1C65037A77P-3,-0X1.8209F5B22BAA5P-3
-0X1.FD511FA1C0797P-3,-0X1.015BF9217271BP-2
-0X1.3C6EF372FE952P-2,-0X1.41B2F769CF0E3P-2
-0X1.78F5A48A8A91DP-2,-0X1.8209F5B22BAACP-2
-0X1.B3FF7C92581A1P-2,-0X1.C260F3FA88473P-2
-0X1.ED50D5CBFA95P-2,-0X1.015BF9217271AP-1
-0X1.1257E3C182B51P-1,-0X1.21877845A0BFEP-1
-0X1.2CF2304755A5FP-1,-0X1.41B2F769CF0E2P-1
-0X1.465C6FEB501BDP-1,-0X1.61DE768DFD5C6P-1
-0X1.5E7CF55112016P-1,-0X1.8209F5B22BAABP-1
-0X1.753B603D2B816P-1,-0X1.A23574D659F8BP-1
-0X1.8A80B635B6BEDP-1,-0X1.C260F3FA88473P-1
-0X1.9E3779B97F4A9P-1,-0X1.E28C731EB6953P-1
-0X1.B04BBFF642E87P-1,-0X1.015BF9217271BP+0
-0X1.C0AB44E81C05BP-1,-0X1.1171B8B38998EP+0
-0X1.CF457DCDC158CP-1,-0X1.21877845A0BFEP+0
-0X1.DC0BA9DEF5AE6P-1,-0X1.319D37D7B7E71P+0
-0X1.E6F0E134455P-1,-0X1.41B2F769CF0E2P+0
-0X1.EFEA21D101EE1P-1,-0X1.51C8B6FBE6354P+0
-0X1.F6EE5AC250AP-1,-0X1.61DE768DFD5C8P+0
-0X1.FBF675480D903P-1,-0X1.71F4362014837P+0
-0X1.FEFD5BFE443FFP-1,-0X1.8209F5B22BAAFP+0
-0X1P+0,-0X1.921FB54442D19P+0
-0X1.FEFD5BFE443FEP-1,-0X1.8209F5B22BAA7P+0
-0X1.FBF675480D903P-1,-0X1.71F4362014837P+0
-0X1.F6EE5AC2509FFP-1,-0X1.61DE768DFD5C5P+0
-0X1.EFEA21D101EEP-1,-0X1.51C8B6FBE6352P+0
-0X1.E6F0E134454FFP-1,-0X1.41B2F769CF0EP+0
-0X1.DC0BA9DEF5AE5P-1,-0X1.319D37D7B7E7P+0
-0X1.CF457DCDC158BP-1,-0X1.21877845A0BFDP+0
-0X1.C0AB44E81C058P-1,-0X1.1171B8B38998BP+0
-0X1.B04BBFF642E85P-1,-0X1.015BF92172719P+0
-0X1.9E3779B97F4A8P-1,-0X1.E28C731EB6951P-1
-0X1.8A80B635B6BEAP-1,-0X1.C260F3FA8846EP-1
-0X1.753B603D2B815P-1,-0X1.A23574D659F89P-1
-0X1.5E7CF55112012P-1,-0X1.8209F5B22BAA5P-1
-0X1.465C6FEB501BAP-1,-0X1.61DE768DFD5C2P-1
-0X1.2CF2304755A5EP-1,-0X1.41B2F769CF0E1P-1
-0X1.1257E3C182B5P-1,-0X1.21877845A0BFDP-1
-0X1.ED50D5CBFA94FP-2,-0X1.015BF92172719P-1
-0X1.B3FF7C9258198P-2,-0X1.C260F3FA88469P-2
-0X1.78F5A48A8A913P-2,-0X1.8209F5B22BAA1P-2
-0X1.3C6EF372FE948P-2,-0X1.41B2F769CF0D9P-2
-0X1.FD511FA1C0793P-3,-0X1.015BF92172719P-2
-0X1.7FC1C65037A73P-3,-0X1.8209F5B22BAA1P-3
-0X1.00AEB5DA15BD6P-3,-0X1.015BF92172711P-3
-0X1.0130A1BE0936P-4,-0X1.015BF92172701P-4
0X1.FFFFFFFFFFFFFP-52,0X1.FFFFFFFFFFFFFP-52
0X1.0130A1BE0937FP-4,0X1.015BF9217271FP-4
0X1.00AEB5DA15BE5P-3,0X1.015BF9217271FP-3
0X1.7FC1C65037A82P-3,0X1.8209F5B22BAAFP-3
0X1.FD511FA1C07A1P-3,0X1.015BF9217271FP-2
0X1.3C6EF372FE956P-2,0X1.41B2F769CF0E7P-2
0X1.78F5A48A8A921P-2,0X1.8209F5B22BAAFP-2
0X1.B3FF7C925819EP-2,0X1.C260F3FA8846FP-2
0X1.ED50D5CBFA955P-2,0X1.015BF9217271BP-1
0X1.1257E3C182B53P-1,0X1.21877845A0BFFP-1
0X1.2CF2304755A6P-1,0X1.41B2F769CF0E2P-1
0X1.465C6FEB501BFP-1,0X1.61DE768DFD5C7P-1
0X1.5E7CF55112014P-1,0X1.8209F5B22BAA7P-1
0X1.753B603D2B817P-1,0X1.A23574D659F8BP-1
0X1.8A80B635B6BEBP-1,0X1.C260F3FA8846EP-1
0X1.9E3779B97F4A7P-1,0X1.E28C731EB694FP-1
0X1.B04BBFF642E88P-1,0X1.015BF9217271BP+0
0X1.C0AB44E81C059P-1,0X1.1171B8B38998BP+0
0X1.CF457DCDC158EP-1,0X1.21877845A0BFFP+0
0X1.DC0BA9DEF5AE5P-1,0X1.319D37D7B7E6FP+0
0X1.E6F0E134454FFP-1,0X1.41B2F769CF0DFP+0
0X1.EFEA21D101EE1P-1,0X1.51C8B6FBE6353P+0
0X1.F6EE5AC2509FEP-1,0X1.61DE768DFD5C1P+0
0X1.FBF675480D903P-1,0X1.71F4362014836P+0
0X1.FEFD5BFE443FEP-1,0X1.8209F5B22BAA6P+0
0X1.FFFFFFFFFFFFFP-1,0X1.921FB50442D18P+0
0X1.FEFD5BFE443FDP-1,0X1.8209F5B22BA9EP+0
0X1.FBF675480D902P-1,0X1.71F4362014832P+0
