-0X1P+2,-0X1.0000000000001P+2,0X0P+0
-0X1.F333333333333P+1,-0X1.F333333333333P+1,0X1P+0
-0X1.E666666666666P+1,-NAN,0X1P+0
-0X1.D99999999999AP+1,-0X1.D99999999999AP+1,0X1P+0
-0X1.CCCCCCCCCCCCDP+1,-NAN,0X0P+0
-0X1.CP+1,-0X1.C000000000001P+1,0X0P+0
-0X1.B333333333333P+1,-0X1.B333333333333P+1,0X1P+0
-0X1.A666666666666P+1,-NAN,0X1P+0
-0X1.999999999999AP+1,-0X1.999999999999AP+1,0X0P+0
-0X1.8CCCCCCCCCCCDP+1,-NAN,0X1P+0
-0X1.8P+1,-0X1.8000000000001P+1,0X0P+0
-0X1.7333333333333P+1,-0X1.7333333333333P+1,0X0P+0
-0X1.6666666666666P+1,-NAN,0X0P+0
-0X1.599999999999AP+1,-0X1.599999999999AP+1,0X0P+0
-0X1.4CCCCCCCCCCCCP+1,-NAN,0X1P+0
-0X1.4P+1,-0X1.4000000000001P+1,0X0P+0
-0X1.3333333333333P+1,-0X1.3333333333333P+1,0X0P+0
-0X1.2666666666666P+1,-NAN,0X1P+0
-0X1.199999999999AP+1,-0X1.199999999999AP+1,0X1P+0
-0X1.0CCCCCCCCCCCCP+1,-0X1.4C7C3AF3E50A7P-2,0X1P+0
-0X1P+1,-0X1.0000000000001P+1,0X0P+0
-0X1.E666666666666P+0,-NAN,0X1P+0
-0X1.CCCCCCCCCCCCCP+0,-NAN,0X1P+0
-0X1.B333333333332P+0,-0X1.B333333333332P+0,0X0P+0
-0X1.9999999999998P+0,-0X1.9999999999998P+0,0X0P+0
-0X1.8P+0,-0X1.8000000000001P+0,0X0P+0
-0X1.6666666666666P+0,-NAN,0X1P+0
-0X1.4CCCCCCCCCCCCP+0,-0X1.61FBB985D08A5P-3,0X0P+0
-0X1.3333333333332P+0,-0X1.3333333333332P+0,0X0P+0
-0X1.1999999999998P+0,-0X1.1999999999998P+0,0X0P+0
-0X1P+0,-0X1.0000000000001P+0,0X0P+0
-0X1.CCCCCCCCCCCCCP-1,-NAN,0X1P+0
-0X1.9999999999998P-1,-0X1.9999999999998P-1,0X0P+0
-0X1.6666666666664P-1,-NAN,0X1P+0
-0X1.333333333333P-1,-0X1.333333333333P-1,0X0P+0
-0X1P-1,-0X1.0000000000001P-1,0X1P+0
-0X1.9999999999998P-2,-0X1.9999999999998P-2,0X0P+0
-0X1.333333333333P-2,-0X1.333333333333P-2,0X0P+0
-0X1.999999999999P-3,-0X1.999999999999P-3,0X0P+0
-0X1.999999999998P-4,-0X1.999999999998P-4,0X0P+0
0X0P+0,0X0P+0,0X0P+0
0X1.99999999999CP-4,0X1.99999999999CP-4,0X0P+0
0X1.99999999999AP-3,0X1.99999999999AP-3,0X0P+0
0X1.333333333333P-2,0X1.333333333333P-2,0X0P+0
0X1.99999999999AP-2,0X1.99999999999AP-2,0X0P+0
0X1P-1,0X1.0000000000001P-1,0X0P+0
0X1.3333333333338P-1,0X1.3333333333338P-1,0X0P+0
0X1.6666666666668P-1,-NAN,0X1P+0
0X1.99999999999AP-1,0X1.99999999999AP-1,0X0P+0
0X1.CCCCCCCCCCCDP-1,-0X1.5A7990412C579P+0,0X0P+0
0X1P+0,0X1.0000000000001P+0,0X1P+0
0X1.199999999999CP+0,0X1.199999999999CP+0,0X1P+0
0X1.3333333333334P+0,0X1.3333333333334P+0,0X1P+0
0X1.4CCCCCCCCCCDP+0,-NAN,0X0P+0
0X1.6666666666668P+0,-NAN,0X1P+0
0X1.8P+0,0X1.8000000000001P+0,0X0P+0
0X1.999999999999CP+0,0X1.999999999999CP+0,0X0P+0
0X1.B333333333334P+0,0X1.B333333333334P+0,0X0P+0
0X1.CCCCCCCCCCCDP+0,-NAN,0X1P+0
0X1.E666666666668P+0,-NAN,0X0P+0
0X1P+1,0X1.0000000000001P+1,0X0P+0
0X1.0CCCCCCCCCCCEP+1,-NAN,0X1P+0
0X1.199999999999AP+1,0X1.199999999999AP+1,0X0P+0
0X1.2666666666668P+1,0X1.1BDB42490C7B1P+0,0X0P+0
0X1.3333333333334P+1,0X1.3333333333334P+1,0X0P+0
0X1.4P+1,0X1.4000000000001P+1,0X0P+0
0X1.4CCCCCCCCCCCEP+1,-0X1.017DA313F9313P-2,0X1P+0
0X1.599999999999AP+1,0X1.599999999999AP+1,0X0P+0
0X1.6666666666668P+1,0X1.782F49CFDF752P+0,0X0P+0
0X1.7333333333334P+1,0X1.7333333333334P+1,0X0P+0
0X1.8P+1,0X1.8000000000001P+1,0X0P+0
0X1.8CCCCCCCCCCCEP+1,-NAN,0X1P+3
0X1.999999999999AP+1,0X1.999999999999AP+1,0X0P+0
0X1.A666666666668P+1,-NAN,0X1P+0
0X1.B333333333334P+1,0X1.B333333333334P+1,0X1P+0
0X1.CP+1,0X1.C000000000001P+1,0X1P+0
0X1.CCCCCCCCCCCCEP+1,-NAN,0X0P+0
0X1.D99999999999AP+1,0X1.D99999999999AP+1,0X0P+0
0X1.E666666666668P+1,-NAN,0X1P+0
0X1.F333333333334P+1,0X1.F333333333334P+1,0X0P+0
0X1P+2,0X1.0000000000001P+2,0X0P+0
-0X1.FFFFFFFFFFFFFP+1023,0X0P+0,0X0P+0
-0X1.CCCCCCCCCCCCCP+1023,-NAN,0X1P+0
-0X1.9999999999999P+1023,-0X1.9999999999999P+1023,0X1P+0
-0X1.6666666666666P+1023,0X1.56A42B78E5A3FP+0,0X0P+0
-0X1.3333333333332P+1023,-0X1.3333333333332P+1023,0X0P+0
-0X1.FFFFFFFFFFFFFP+1022,0X0P+0,0X0P+0
-0X1.9999999999998P+1022,-0X1.9999999999998P+1022,0X1P+0
-0X1.3333333333332P+1022,-0X1.3333333333332P+1022,0X1P+0
-0X1.9999999999998P+1021,-0X1.9999999999998P+1021,0X0P+0
-0X1.9999999999998P+1020,-0X1.9999999999998P+1020,0X0P+0
0X1.9999999999999P+1020,0X1.9999999999999P+1020,0X0P+0
0X1.9999999999999P+1021,0X1.9999999999999P+1021,0X0P+0
0X1.3333333333333P+1022,0X1.3333333333333P+1022,0X1P+0
0X1.9999999999999P+1022,0X1.9999999999999P+1022,0X0P+0
0X1.FFFFFFFFFFFFFP+1022,0X0P+0,0X1P+0
0X1.3333333333333P+1023,0X1.3333333333333P+1023,0X1P+0
0X1.6666666666666P+1023,0X1.7F668202F0252P+0,0X0P+0
0X1.9999999999999P+1023,0X1.9999999999999P+1023,0X0P+0
0X1.CCCCCCCCCCCCCP+1023,-NAN,0X1P+0
0X1.FFFFFFFFFFFFFP+1023,0X0P+0,0X0P+0
