-0X1P+0,-0X1.921FB54442D19P+0,0X1.8P+2
-0X1.F5C28F5C28F5CP-1,-0X1.5ED690583BE08P+0,0X1.9P+4
-0X1.EB851EB851EB8P-1,-0X1.4978FA3269EE1P+0,0X1.2P+4
-0X1.E147AE147AE14P-1,-0X1.38FE4CB950B11P+0,0X1.4P+4
-0X1.D70A3D70A3D71P-1,-0X1.2B07529B1748AP+0,0X1.3P+4
-0X1.CCCCCCCCCCCCDP-1,-0X1.1EA93705FA173P+0,0X1.4P+4
-0X1.C28F5C28F5C29P-1,-0X1.136BB485F3D92P+0,0X1P+4
-0X1.B851EB851EB85P-1,-0X1.09076EE9D82BBP+0,0X1.DP+4
-0X1.AE147AE147AE1P-1,-0X1.FE9BE811DF6CBP-1,0X1.4P+4
-0X1.A3D70A3D70A3EP-1,-0X1.EC3E10A736333P-1,0X1.4P+4
-0X1.999999999999AP-1,-0X1.DAC670561BB51P-1,0X1.3P+4
-0X1.8F5C28F5C28F6P-1,-0X1.CA11A353BD84DP-1,0X1.8P+4
-0X1.851EB851EB852P-1,-0X1.BA042D36663DCP-1,0X1.3P+4
-0X1.7AE147AE147AEP-1,-0X1.AA8832B0B0526P-1,0X1.4P+4
-0X1.70A3D70A3D70AP-1,-0X1.9B8BFA40885BDP-1,0X1.3P+4
-0X1.6666666666666P-1,-0X1.8D00E692AFD96P-1,0X1.4P+4
-0X1.5C28F5C28F5C2P-1,-0X1.7EDABE7A11FFDP-1,0X1.3P+4
-0X1.51EB851EB851EP-1,-0X1.710F28188F80CP-1,0X1.3P+4
-0X1.47AE147AE147BP-1,-0X1.639546D3FD53BP-1,0X1.3P+4
-0X1.3D70A3D70A3D7P-1,-0X1.5665718F62B98P-1,0X1.3P+4
-0X1.3333333333333P-1,-0X1.4978FA3269EE1P-1,0X1.3P+4
-0X1.28F5C28F5C29P-1,-0X1.3CCA01C711853P-1,0X1.6P+4
-0X1.1EB851EB851ECP-1,-0X1.305355E86C375P-1,0X1.2P+4
-0X1.147AE147AE148P-1,-0X1.241055329849FP-1,0X1.2P+4
-0X1.0A3D70A3D70A4P-1,-0X1.17FCD90A0D19FP-1,0X1.1P+4
-0X1P-1,-0X1.0C152382D7366P-1,0X1.1P+4
-0X1.EB851EB851EB8P-2,-0X1.0055D080BB634P-1,0X1.1P+4
-0X1.D70A3D70A3D7P-2,-0X1.E97792C522BE1P-2,0X1.3P+4
-0X1.C28F5C28F5C28P-2,-0X1.D2887569581C9P-2,0X1.1P+5
-0X1.AE147AE147AE2P-2,-0X1.BBD9170937B81P-2,0X1.2P+4
-0X1.999999999999AP-2,-0X1.A564AC0E73A34P-2,0X1.3P+4
-0X1.851EB851EB852P-2,-0X1.8F26C2A5D5E1EP-2,0X1.3P+4
-0X1.70A3D70A3D70AP-2,-0X1.791B37F9E8A26P-2,0X1.3P+4
-0X1.5C28F5C28F5C2P-2,-0X1.633E2EE53C5B8P-2,0X1.4P+4
-0X1.47AE147AE147AP-2,-0X1.4D8C07DD17D7CP-2,0X1.2P+4
-0X1.3333333333332P-2,-0X1.380159E14F6FEP-2,0X1.1P+4
-0X1.1EB851EB851ECP-2,-0X1.229AEC47638DEP-2,0X1.1P+4
-0X1.0A3D70A3D70A4P-2,-0X1.0D55B13E747AFP-2,0X1P+4
-0X1.EB851EB851EB8P-3,-0X1.F05D81DF0954P-3,0X1.2P+4
-0X1.C28F5C28F5C28P-3,-0X1.C646AA44819D9P-3,0X1.1P+4
-0X1.9999999999998P-3,-0X1.9C618AA4AE23CP-3,0X1P+4
-0X1.70A3D70A3D708P-3,-0X1.72A90648FBF24P-3,0X1.4P+4
-0X1.47AE147AE147CP-3,-0X1.49182E599C594P-3,0X1P+4
-0X1.1EB851EB851ECP-3,-0X1.1FAA3BF43AD3BP-3,0X1.CP+3
-0X1.EB851EB851EB8P-4,-0X1.ECB5156ECE086P-4,0X1.1P+4
-0X1.9999999999998P-4,-0X1.9A49276037883P-4,0X1.EP+3
-0X1.47AE147AE1478P-4,-0X1.4807D1320318AP-4,0X1.CP+3
-0X1.EB851EB851EBP-5,-0X1.EBD0BD734D89FP-5,0X1.AP+3
