0X0P+0,-INF,0X1P+0
0X1.47AE147AE147BP-7,-0X1P+1,0X1P+3
0X1.47AE147AE147BP-6,-0X1.B2EFB2BD82181P+0,0X1.CP+2
0X1.EB851EB851EB8P-6,-0X1.85DB61A6C0A81P+0,0X1.8P+2
0X1.47AE147AE147BP-5,-0X1.65DF657B04301P+0,0X1.CP+2
0X1.999999999999AP-5,-0X1.4D104D427DE8P+0,0X1.CP+2
0X1.EB851EB851EB8P-5,-0X1.38CB146442C02P+0,0X1.CP+2
0X1.1EB851EB851ECP-4,-0X1.27A7A7A4399E1P+0,0X1.CP+2
0X1.47AE147AE147BP-4,-0X1.18CF183886481P+0,0X1.8P+2
0X1.70A3D70A3D70AP-4,-0X1.0BB6C34D81502P+0,0X1.CP+2
0X1.999999999999AP-4,-0X1P+0,0X1.CP+2
0X1.C28F5C28F5C29P-4,-0X1.EACE93F5E7523P-1,0X1.CP+2
0X1.EB851EB851EB8P-4,-0X1.D7758E4389B03P-1,0X1.CP+2
0X1.0A3D70A3D70A4P-3,-0X1.C5A937887DB62P-1,0X1.CP+2
0X1.1EB851EB851ECP-3,-0X1.B52EB4C3776C1P-1,0X1.CP+2
0X1.3333333333333P-3,-0X1.A5D75DD27D202P-1,0X1.CP+2
0X1.47AE147AE147BP-3,-0X1.977D95EC10C03P-1,0X1.CP+2
0X1.5C28F5C28F5C3P-3,-0X1.8A029956904D2P-1,0X1.8P+2
0X1.70A3D70A3D70AP-3,-0X1.7D4CEC1606D04P-1,0X1.CP+2
0X1.851EB851EB852P-3,-0X1.7147354087DEP-1,0X1.CP+2
0X1.999999999999AP-3,-0X1.65DF657B04301P-1,0X1.1P+4
0X1.AE147AE147AE1P-3,-0X1.5B061295F48C3P-1,0X1.CP+2
0X1.C28F5C28F5C29P-3,-0X1.50ADF970EB824P-1,0X1P+4
0X1.D70A3D70A3D71P-3,-0X1.46CB9BEC80D02P-1,0X1.CP+2
0X1.EB851EB851EB8P-3,-0X1.3D54F3BE8DE04P-1,0X1.CP+2
0X1P-2,-0X1.34413509F79FFP-1,0X1.CP+2
0X1.0A3D70A3D70A4P-2,-0X1.2B889D0381E62P-1,0X1.CP+2
0X1.147AE147AE148P-2,-0X1.232449E883F05P-1,0X1.CP+2
0X1.1EB851EB851ECP-2,-0X1.1B0E1A3E7B9C2P-1,0X1.CP+2
0X1.28F5C28F5C28FP-2,-0X1.134091D29382DP-1,0X1.CP+2
0X1.3333333333333P-2,-0X1.0BB6C34D81502P-1,0X1.CP+2
0X1.3D70A3D70A3D7P-2,-0X1.046C3D74F3034P-1,0X1.CP+2
0X1.47AE147AE147BP-2,-0X1.FAB9F6CE29E06P-2,0X1.CP+2
0X1.51EB851EB851FP-2,-0X1.ED0AAE86D1449P-2,0X1.CP+2
0X1.5C28F5C28F5C3P-2,-0X1.DFC3FDA328FA4P-2,0X1.CP+2
0X1.6666666666667P-2,-0X1.D2DFD39ADE18P-2,0X1P+4
0X1.70A3D70A3D70AP-2,-0X1.C658A32216009P-2,0X1.CP+2
0X1.7AE147AE147AEP-2,-0X1.BA2953C667EP-2,0X1.CP+2
0X1.851EB851EB852P-2,-0X1.AE4D3577181CP-2,0X1.CP+2
0X1.8F5C28F5C28F6P-2,-0X1.A2BFF5ABFE0C6P-2,0X1.CP+2
0X1.999999999999AP-2,-0X1.977D95EC10C02P-2,0X1.CP+2
0X1.A3D70A3D70A3EP-2,-0X1.8C82637F7CE9FP-2,0X1.8P+3
0X1.AE147AE147AE1P-2,-0X1.81CAF021F1786P-2,0X1.CP+2
0X1.B851EB851EB85P-2,-0X1.77540B90F3C2BP-2,0X1.CP+2
0X1.C28F5C28F5C29P-2,-0X1.6D1ABDD7DF648P-2,0X1.CP+2
0X1.CCCCCCCCCCCCDP-2,-0X1.631C423FFCE05P-2,0X1.CP+2
0X1.D70A3D70A3D71P-2,-0X1.595602CF0A005P-2,0X1.CP+2
0X1.E147AE147AE15P-2,-0X1.4FC59441D1589P-2,0X1.CP+2
0X1.EB851EB851EB8P-2,-0X1.4668B27324208P-2,0X1.CP+2
0X1.F5C28F5C28F5CP-2,-0X1.3D3D3D21CCF04P-2,0X1.CP+2
0X1P-1,-0X1.34413509F79FFP-2,0X1.CP+2
0X1.051EB851EB852P-1,-0X1.2B72B948233A7P-2,0X1.CP+2
0X1.0A3D70A3D70A4P-1,-0X1.22D004FD0C2C5P-2,0X1.CP+2
0X1.0F5C28F5C28F6P-1,-0X1.1A576D2B216F2P-2,0X1.8P+2
0X1.147AE147AE148P-1,-0X1.12075EC71040AP-2,0X1P+4
0X1.199999999999AP-1,-0X1.09DE5CF5C6445P-2,0X1P+3
0X1.1EB851EB851ECP-1,-0X1.01DAFF72FF985P-2,0X1.CP+2
0X1.23D70A3D70A3EP-1,-0X1.F3F7E23824B81P-3,0X1.CP+2
0X1.28F5C28F5C28FP-1,-0X1.E47FDD365ECB3P-3,0X1.CP+2
0X1.2E147AE147AE1P-1,-0X1.D54B8A5F87893P-3,0X1.CP+2
0X1.3333333333333P-1,-0X1.C658A32216009P-3,0X1.CP+2
0X1.3851EB851EB85P-1,-0X1.B7A4FDD072085P-3,0X1P+3
0X1.3D70A3D70A3D7P-1,-0X1.A92E8BBFDCCD1P-3,0X1.CP+2
0X1.428F5C28F5C29P-1,-0X1.9AF3578DD771P-3,0X1.CP+2
0X1.47AE147AE147BP-1,-0X1.8CF183886480DP-3,0X1.CP+2
0X1.4CCCCCCCCCCCDP-1,-0X1.7F274835E6184P-3,0X1.CP+2
0X1.51EB851EB851FP-1,-0X1.7192F2F9B3493P-3,0X1.CP+2
0X1.570A3D70A3D71P-1,-0X1.6432E4D2CD69P-3,0X1.CP+2
0X1.5C28F5C28F5C3P-1,-0X1.5705913262B4AP-3,0X1.8P+2
0X1.6147AE147AE15P-1,-0X1.4A097CE80880CP-3,0X1.8P+2
0X1.6666666666667P-1,-0X1.3D3D3D21CCF02P-3,0X1.6P+3
0X1.6B851EB851EB8P-1,-0X1.309F767E6FD68P-3,0X1.CP+2
0X1.70A3D70A3D70AP-1,-0X1.242EDC303CC13P-3,0X1.CP+2
0X1.75C28F5C28F5CP-1,-0X1.17EA2F2F25CE1P-3,0X1.CP+2
0X1.7AE147AE147AEP-1,-0X1.0BD03D78E0802P-3,0X1.CP+2
0X1.8P-1,-0X1.FFBFC2BBC7804P-4,0X1.CP+2
