0X1.CP-2,0X1.A64EEC3CC23FDP-2,0X1.8P+2
0X1.C000000000001P-2,0X1.A64EEC3CC23FEP-2,0X1P+0
0X1.BFFFFFFFFFFFFP-2,0X1.A64EEC3CC23FCP-2,0X1P+0
0X1.6P-1,0X1.345F01CCE37BBP-1,0X1P+0
0X1.6000000000001P-1,0X1.345F01CCE37BCP-1,0X0P+0
0X1.5FFFFFFFFFFFFP-1,0X1.345F01CCE37BBP-1,0X0P+0
0X1.3P+0,0X1.BDE70ED439FE7P-1,0X1P+0
0X1.3000000000001P+0,0X1.BDE70ED439FE8P-1,0X1P+0
0X1.2FFFFFFFFFFFFP+0,0X1.BDE70ED439FE6P-1,0X0P+0
0X1.38P+1,0X1.2E75728833A54P+0,0X1P+0
0X1.3800000000001P+1,0X1.2E75728833A54P+0,0X0P+0
0X1.37FFFFFFFFFFFP+1,0X1.2E75728833A54P+0,0X0P+0
0X1P-29,0X1P-29,0X1P+0
0X1.0000000000001P-29,0X1.0000000000001P-29,0X0P+0
0X1.FFFFFFFFFFFFFP-30,0X1.FFFFFFFFFFFFFP-30,0X1P+0
-0X1P-29,-0X1P-29,0X0P+0
-0X1.FFFFFFFFFFFFFP-30,-0X1.FFFFFFFFFFFFFP-30,0X1P+0
-0X1.0000000000001P-29,-0X1.0000000000001P-29,0X0P+0
0X1P+66,0X1.921FB54442D18P+0,0X1P+0
0X1P+66,0X1.921FB54442D18P+0,0X0P+0
0X1P+66,0X1.921FB54442D18P+0,0X0P+0
0X1P-66,0X1P-66,0X1P+0
0X1.0000000000001P-66,0X1.0000000000001P-66,0X0P+0
0X1.FFFFFFFFFFFFFP-67,0X1.FFFFFFFFFFFFFP-67,0X0P+0
