x,newlib,openlibm,matlab,maple,mpfr64,mpfr128,crlibm,intel-mkl,mathematica,
-1.000000e+00,0,0,0,0,0,0,0,0,0,
-9.800000e-01,0,0,0,0,1,1,0,0,0,
-9.600000e-01,0,0,0,0,0,0,0,0,0,
-9.400000e-01,1,1,2,1,2,2,1,2,1,
-9.200000e-01,1,1,1,1,0,0,1,1,1,
-9.000000e-01,1,1,1,1,1,1,1,1,1,
-8.800000e-01,0,0,0,0,1,1,0,0,0,
-8.600000e-01,1,1,1,1,0,0,1,1,1,
-8.400000e-01,0,0,1,0,1,1,0,0,0,
-8.200000e-01,0,0,0,0,1,1,0,0,0,
-8.000000e-01,0,0,0,0,0,0,0,0,0,
-7.800000e-01,0,0,0,0,0,0,0,0,0,
-7.600000e-01,1,1,1,1,0,0,1,1,1,
-7.400000e-01,0,0,0,0,0,0,0,1,0,
-7.200000e-01,1,1,1,1,1,1,1,0,1,
-7.000000e-01,0,0,1,0,0,0,0,1,0,
-6.800000e-01,0,0,0,0,0,0,0,0,0,
-6.600000e-01,0,0,0,0,0,0,0,0,0,
-6.400000e-01,0,0,0,0,1,1,0,0,0,
-6.200000e-01,1,1,1,1,0,0,1,1,1,
-6.000000e-01,0,0,0,0,0,0,0,0,0,
-5.800000e-01,0,0,0,0,1,1,0,0,0,
-5.600000e-01,0,0,0,0,0,0,0,0,0,
-5.400000e-01,0,0,0,0,1,1,0,0,0,
-5.200000e-01,0,0,0,0,1,1,0,0,0,
-5.000000e-01,0,0,0,0,1,1,0,0,0,
-4.800000e-01,0,0,0,0,0,0,0,0,0,
-4.600000e-01,0,0,0,0,0,0,0,0,0,
-4.400000e-01,0,0,0,0,0,0,0,0,0,
-4.200000e-01,0,0,0,0,0,0,0,0,0,
-4.000000e-01,0,0,0,0,0,0,0,0,0,
-3.800000e-01,0,0,0,0,1,1,0,0,0,
-3.600000e-01,0,0,0,0,1,1,0,0,0,
-3.400000e-01,1,1,1,1,1,1,1,1,1,
-3.200000e-01,0,0,0,0,0,0,0,0,0,
-3.000000e-01,1,1,1,1,2,2,1,1,1,
-2.800000e-01,0,0,0,0,1,1,0,0,0,
-2.600000e-01,2,2,2,2,1,1,2,2,2,
-2.400000e-01,0,0,0,0,0,0,0,0,0,
-2.200000e-01,1,1,1,1,1,1,1,1,1,
-2.000000e-01,0,0,0,0,1,1,0,0,0,
-1.800000e-01,1,1,1,1,2,2,1,1,1,
-1.600000e-01,1,1,1,1,0,0,1,1,1,
-1.400000e-01,0,0,0,0,1,1,0,0,0,
-1.200000e-01,1,1,1,1,0,0,1,1,1,
-1.000000e-01,0,0,0,0,0,0,0,0,0,
-8.000000e-02,1,1,1,1,0,0,1,1,1,
-6.000000e-02,1,1,1,1,1,1,1,1,1,
-4.000000e-02,1,1,1,1,1,1,1,1,1,
-2.000000e-02,1,1,1,1,0,0,1,1,1,
0.000000e+00,0,0,0,0,0,0,0,0,0,
2.000000e-02,0,0,0,0,1,1,0,0,0,
4.000000e-02,1,1,1,1,1,1,1,1,1,
6.000000e-02,1,1,1,1,0,0,1,1,1,
8.000000e-02,0,0,0,0,0,0,0,0,0,
1.000000e-01,0,0,0,0,1,1,0,0,0,
1.200000e-01,0,0,0,0,0,0,0,0,0,
1.400000e-01,0,0,0,0,0,0,0,0,0,
1.600000e-01,1,1,1,1,1,1,1,1,1,
1.800000e-01,0,0,0,0,1,1,0,0,0,
2.000000e-01,113354432129929,113354432129929,113354432129929,793481024909502,113354432129930,113354432129930,113354432129929,113354432129929,not_finite,
2.200000e-01,110995951852751,110995951852751,110995951852751,887967614821996,110995951852751,110995951852751,110995951852751,110995951852751,110995951852751,
2.400000e-01,10283909972407,10283909972407,10283909972407,82271279779254,10283909972407,10283909972407,10283909972407,10283909972407,10283909972407,
2.600000e-01,10336437620261,10336437620261,10336437620261,82691500962078,10336437620262,10336437620262,10336437620261,10336437620261,10336437620261,
2.800000e-01,10394261052424,10394261052424,10394261052424,83154088419396,10394261052424,10394261052424,10394261052424,10394261052424,10394261052424,
3.000000e-01,10457630956189,10457630956189,10457630956189,83661047649516,10457630956189,10457630956189,10457630956189,10457630956189,10457630956189,
3.200000e-01,10526830501934,10526830501934,10526830501934,84214644015473,10526830501935,10526830501935,10526830501934,10526830501934,10526830501934,
3.400000e-01,10602179203130,10602179203130,10602179203130,84817433625045,10602179203131,10602179203131,10602179203130,10602179203130,10602179203130,
3.600000e-01,10684037469102,10684037469102,10684037469102,85472299752814,10684037469102,10684037469102,10684037469102,10684037469102,10684037469102,
3.800000e-01,10772811988679,10772811988679,10772811988679,86182495909431,10772811988679,10772811988679,10772811988679,10772811988679,10772811988679,
4.000000e-01,10868962117147,10868962117147,10868962117147,86951696937194,10868962117148,10868962117148,10868962117147,10868962117147,10868962117147,
4.200000e-01,10973007482889,10973007482889,10973007482889,87784059863113,10973007482890,10973007482890,10973007482889,10973007482889,10973007482889,
4.400000e-01,11085537087078,11085537087078,11085537087078,88684296696621,11085537087078,11085537087078,11085537087078,11085537087078,11085537087078,
4.600000e-01,11207220244324,11207220244324,11207220244324,89657761954594,11207220244324,11207220244324,11207220244324,11207220244324,11207220244324,
4.800000e-01,11338819810195,11338819810195,11338819810195,90710558481551,11338819810195,11338819810195,11338819810195,11338819810195,11338819810195,
5.000000e-01,11481208272174,11481208272174,11481208272174,91849666177386,11481208272175,11481208272175,11481208272174,11481208272175,11481208272174,
5.200000e-01,11635387456145,11635387456145,11635387456145,93083099649164,11635387456146,11635387456146,11635387456145,11635387456145,11635387456145,
5.400000e-01,11802512838926,11802512838926,11802512838926,94420102711410,11802512838927,11802512838927,11802512838926,11802512838926,11802512838926,
5.600000e-01,23967847570514,23967847570514,23967847570514,190125009237947,23967847570514,23967847570514,23967847570514,23967847570514,23967847570514,
5.800000e-01,24362362967975,24362362967975,24362362967975,194898903743799,24362362967976,24362362967976,24362362967975,24362362967975,24362362967975,
6.000000e-01,24792234004212,24792234004212,24792234004212,198337872033692,24792234004212,24792234004212,24792234004212,24792234004212,24792234004212,
6.200000e-01,25261785594445,25261785594445,25261785594445,202094284755561,25261785594445,25261785594445,25261785594445,25261785594445,25261785594445,
6.400000e-01,25776164741394,25776164741394,25776164741394,206209317931154,25776164741394,25776164741394,25776164741394,25776164741394,25776164741393,
6.600000e-01,26341549460218,26341549460218,26341549460218,210732395681753,26341549460218,26341549460218,26341549460218,26341549460218,26341549460218,
6.800000e-01,26965426657731,26965426657731,26965426657731,215723413261867,26965426657732,26965426657732,26965426657731,26965426657731,26965426657731,
7.000000e-01,27656967552044,27656967552044,27656967552044,221255740416365,27656967552044,27656967552044,27656967552044,27656967552044,27656967552044,
7.200000e-01,28427543828028,28427543828028,28427543828028,227420350624235,28427543828029,28427543828029,28427543828028,28427543828029,28427543828028,
7.400000e-01,29291451416558,29291451416558,29291451416558,234331611332475,29291451416558,29291451416558,29291451416558,29291451416558,29291451416558,
7.600000e-01,30266948374948,30266948374948,30266948374948,242135586999570,30266948374948,30266948374948,30266948374948,30266948374948,30266948374948,
7.800000e-01,31377781784247,31377781784247,31377781784247,251022254273978,31377781784247,31377781784247,31377781784247,31377781784247,31377781784247,
8.000000e-01,32655501586062,32655501586062,32655501586062,261244012688502,32655501586062,32655501586062,32655501586062,32655501586062,32655501586061,
8.200000e-01,34143090578087,34143090578087,34143090578087,273144724624700,34143090578088,34143090578088,34143090578087,34143090578087,34143090578087,
8.400000e-01,35900898400129,35900898400129,35900898400129,287207187201049,35900898400129,35900898400129,35900898400129,35900898400129,35900898400129,
8.600000e-01,38016836123268,38016836123268,38016836123268,304134688986151,38016836123268,38016836123268,38016836123268,38016836123268,38016836123268,
8.800000e-01,81249997269089,81249997269089,81249997269089,330004323888704,81249997269090,81249997269090,81249997269089,81249997269089,81249997269089,
9.000000e-01,87884873520910,87884873520910,87884873520910,703078988167286,87884873520911,87884873520911,87884873520910,87884873520910,87884873520910,
9.200000e-01,96699229982615,96699229982615,96699229982615,773593839860925,96699229982615,96699229982615,96699229982615,96699229982615,96699229982615,
9.400000e-01,109186911293729,109186911293729,109186911293729,873495290349825,109186911293729,109186911293729,109186911293729,109186911293729,109186911293729,
9.600000e-01,128846808527737,128846808527737,128846808527737,1030774468221894,128846808527738,128846808527738,128846808527737,128846808527737,128846808527737,
9.800000e-01,334104109550968,334104109550968,334104109550968,2064052325855968,334104109550969,334104109550969,334104109550968,334104109550968,334104109550968,
1.000000e+00,4582073064403878008,4582073064403878008,4582073064403878008,14312779256543247,4582073064403878008,4582073064403878008,4582073064403878008,4582073064403878008,4582073064403878008,
