x,newlib,openlibm,matlab,maple,mpfr64,mpfr128,crlibm,intel-mkl,mathematica,
-1.000000e+00,0,0,0,0,0,0,0,0,0,
-9.800000e-01,0,0,0,0,1,1,0,0,0,
-9.600000e-01,0,0,0,0,0,0,0,0,0,
-9.400000e-01,0,0,1,0,1,1,0,1,0,
-9.200000e-01,0,0,0,0,1,1,0,0,0,
-9.000000e-01,0,0,0,0,0,0,0,0,0,
-8.800000e-01,0,0,0,0,1,1,0,0,0,
-8.600000e-01,0,0,0,0,1,1,0,0,0,
-8.400000e-01,0,0,1,0,1,1,0,0,0,
-8.200000e-01,0,0,0,0,1,1,0,0,0,
-8.000000e-01,0,0,0,0,0,0,0,0,0,
-7.800000e-01,0,0,0,0,0,0,0,0,0,
-7.600000e-01,0,0,0,0,1,1,0,0,0,
-7.400000e-01,0,0,0,0,0,0,0,1,0,
-7.200000e-01,0,0,0,0,0,0,0,1,0,
-7.000000e-01,0,0,1,0,0,0,0,1,0,
-6.800000e-01,0,0,0,0,0,0,0,0,0,
-6.600000e-01,0,0,0,0,0,0,0,0,0,
-6.400000e-01,0,0,0,0,1,1,0,0,0,
-6.200000e-01,0,0,0,0,1,1,0,0,0,
-6.000000e-01,0,0,0,0,0,0,0,0,0,
-5.800000e-01,0,0,0,0,1,1,0,0,0,
-5.600000e-01,0,0,0,0,0,0,0,0,0,
-5.400000e-01,0,0,0,0,1,1,0,0,0,
-5.200000e-01,0,0,0,0,1,1,0,0,0,
-5.000000e-01,0,0,0,0,1,1,0,0,0,
-4.800000e-01,0,0,0,0,0,0,0,0,0,
-4.600000e-01,0,0,0,0,0,0,0,0,0,
-4.400000e-01,0,0,0,0,0,0,0,0,0,
-4.200000e-01,0,0,0,0,0,0,0,0,0,
-4.000000e-01,0,0,0,0,0,0,0,0,0,
-3.800000e-01,0,0,0,0,1,1,0,0,0,
-3.600000e-01,0,0,0,0,1,1,0,0,0,
-3.400000e-01,0,0,0,0,0,0,0,0,0,
-3.200000e-01,0,0,0,0,0,0,0,0,0,
-3.000000e-01,0,0,0,0,1,1,0,0,0,
-2.800000e-01,0,0,0,0,1,1,0,0,0,
-2.600000e-01,0,0,0,0,1,1,0,0,0,
-2.400000e-01,0,0,0,0,0,0,0,0,0,
-2.200000e-01,0,0,0,0,0,0,0,0,0,
-2.000000e-01,0,0,0,0,1,1,0,0,0,
-1.800000e-01,0,0,0,0,1,1,0,0,0,
-1.600000e-01,0,0,0,0,1,1,0,0,0,
-1.400000e-01,0,0,0,0,1,1,0,0,0,
-1.200000e-01,0,0,0,0,1,1,0,0,0,
-1.000000e-01,0,0,0,0,0,0,0,0,0,
-8.000000e-02,0,0,0,0,1,1,0,0,0,
-6.000000e-02,0,0,0,0,0,0,0,0,0,
-4.000000e-02,0,0,0,0,0,0,0,0,0,
-2.000000e-02,0,0,0,0,1,1,0,0,0,
0.000000e+00,0,0,0,0,0,0,0,0,0,
2.000000e-02,0,0,0,0,1,1,0,0,0,
4.000000e-02,0,0,0,0,0,0,0,0,0,
6.000000e-02,0,0,0,0,1,1,0,0,0,
8.000000e-02,0,0,0,0,0,0,0,0,0,
1.000000e-01,0,0,0,0,1,1,0,0,0,
1.200000e-01,0,0,0,0,0,0,0,0,0,
1.400000e-01,0,0,0,0,0,0,0,0,0,
1.600000e-01,0,0,0,0,0,0,0,0,0,
1.800000e-01,0,0,0,0,1,1,0,0,0,
2.000000e-01,0,0,0,906835457039431,1,1,0,0,not_finite,
2.200000e-01,0,0,0,998963566674747,0,0,0,0,0,
2.400000e-01,0,0,0,92555189751661,0,0,0,0,0,
2.600000e-01,0,0,0,93027938582339,1,1,0,0,0,
2.800000e-01,0,0,0,93548349471820,0,0,0,0,0,
3.000000e-01,0,0,0,94118678605705,0,0,0,0,0,
3.200000e-01,0,0,0,94741474517407,1,1,0,0,0,
3.400000e-01,0,0,0,95419612828175,1,1,0,0,0,
3.600000e-01,0,0,0,96156337221916,0,0,0,0,0,
3.800000e-01,0,0,0,96955307898110,0,0,0,0,0,
4.000000e-01,0,0,0,97820659054341,1,1,0,0,0,
4.200000e-01,0,0,0,98757067346002,1,1,0,0,0,
4.400000e-01,0,0,0,99769833783699,0,0,0,0,0,
4.600000e-01,0,0,0,100864982198918,0,0,0,0,0,
4.800000e-01,0,0,0,102049378291746,0,0,0,0,0,
5.000000e-01,0,0,0,103330874449560,1,1,0,1,0,
5.200000e-01,0,0,0,104718487105309,1,1,0,0,0,
5.400000e-01,0,0,0,106222615550336,1,1,0,0,0,
5.600000e-01,0,0,0,214092856808461,0,0,0,0,0,
5.800000e-01,0,0,0,219261266711774,1,1,0,0,0,
6.000000e-01,0,0,0,223130106037904,0,0,0,0,0,
6.200000e-01,0,0,0,227356070350006,0,0,0,0,0,
6.400000e-01,0,0,0,231985482672548,0,0,0,0,1,
6.600000e-01,0,0,0,237073945141971,0,0,0,0,0,
6.800000e-01,0,0,0,242688839919598,1,1,0,0,0,
7.000000e-01,0,0,0,248912707968409,0,0,0,0,0,
7.200000e-01,0,0,0,255847894452263,1,1,0,1,0,
7.400000e-01,0,0,0,263623062749033,0,0,0,0,0,
7.600000e-01,0,0,0,272402535374518,0,0,0,0,0,
7.800000e-01,0,0,0,282400036058225,0,0,0,0,0,
8.000000e-01,0,0,0,293899514274564,0,0,0,0,1,
8.200000e-01,0,0,0,307287815202787,1,1,0,0,0,
8.400000e-01,0,0,0,323108085601178,0,0,0,0,0,
8.600000e-01,0,0,0,342151525109419,0,0,0,0,0,
8.800000e-01,0,0,0,411254321157793,1,1,0,0,0,
9.000000e-01,0,0,0,790963861688196,1,1,0,0,0,
9.200000e-01,0,0,0,870293069843540,0,0,0,0,0,
9.400000e-01,0,0,0,982682201643554,0,0,0,0,0,
9.600000e-01,0,0,0,1159621276749631,1,1,0,0,0,
9.800000e-01,0,0,0,2398156435406936,1,1,0,0,0,
1.000000e+00,0,0,0,4596385843660421255,0,0,0,0,0,
