x,newlib,openlibm,matlab,maple,mpfr64,mpfr128,crlibm,intel-mkl,mathematica,
-1.000000e+00,0,0,0,0,1,1,0,0,0,
-9.800000e-01,1,1,1,1,0,0,1,1,1,
-9.600000e-01,1,1,0,0,1,1,1,1,0,
-9.400000e-01,0,0,0,0,0,0,0,0,0,
-9.200000e-01,1,1,1,1,1,1,1,1,1,
-9.000000e-01,0,0,0,0,1,1,0,0,0,
-8.800000e-01,0,0,0,0,1,1,0,0,0,
-8.600000e-01,0,0,0,0,0,0,0,0,0,
-8.400000e-01,1,1,1,1,2,2,1,1,1,
-8.200000e-01,1,1,1,1,1,1,1,1,1,
-8.000000e-01,0,0,0,0,1,1,0,0,0,
-7.800000e-01,2,2,2,2,1,1,2,2,2,
-7.600000e-01,1,1,1,1,2,2,1,1,1,
-7.400000e-01,1,1,1,1,0,0,1,1,1,
-7.200000e-01,1,1,1,1,1,1,1,1,1,
-7.000000e-01,1,1,1,1,0,0,1,1,1,
-6.800000e-01,1,1,1,1,1,1,1,1,1,
-6.600000e-01,0,0,0,0,0,0,0,0,0,
-6.400000e-01,1,1,1,1,1,1,1,1,1,
-6.200000e-01,1,1,1,1,0,0,1,1,1,
-6.000000e-01,0,0,0,0,0,0,0,0,0,
-5.800000e-01,0,0,1,0,0,0,0,0,0,
-5.600000e-01,0,0,0,0,1,1,0,0,0,
-5.400000e-01,0,0,0,0,0,0,0,0,0,
-5.200000e-01,0,0,0,0,0,0,0,0,0,
-5.000000e-01,1,1,1,1,1,1,1,1,1,
-4.800000e-01,0,0,0,0,0,0,0,0,0,
-4.600000e-01,0,0,0,0,1,1,0,0,0,
-4.400000e-01,0,0,0,0,0,0,0,1,0,
-4.200000e-01,0,0,0,0,1,1,0,0,0,
-4.000000e-01,2,2,2,2,2,2,2,2,2,
-3.800000e-01,1,1,1,1,0,0,1,1,1,
-3.600000e-01,1,1,1,1,0,0,1,1,1,
-3.400000e-01,1,1,1,0,0,0,1,1,0,
-3.200000e-01,0,0,0,0,1,1,0,0,0,
-3.000000e-01,1,1,1,1,0,0,1,1,1,
-2.800000e-01,0,0,0,0,1,1,0,0,0,
-2.600000e-01,1,1,1,1,0,0,1,1,1,
-2.400000e-01,1,1,1,1,0,0,1,1,1,
-2.200000e-01,0,0,0,1,0,0,0,1,1,
-2.000000e-01,1,1,1,1,2,2,1,1,1,
-1.800000e-01,1,1,1,1,2,2,1,1,1,
-1.600000e-01,0,0,0,0,1,1,0,0,0,
-1.400000e-01,0,0,0,0,0,0,0,0,0,
-1.200000e-01,2,2,2,1,1,1,2,2,1,
-1.000000e-01,1,1,1,1,2,2,1,1,1,
-8.000000e-02,0,0,0,0,1,1,0,0,0,
-6.000000e-02,1,1,1,1,1,1,1,1,1,
-4.000000e-02,1,1,1,1,0,0,1,1,1,
-2.000000e-02,0,0,0,0,1,1,0,0,0,
0.000000e+00,0,0,0,0,0,0,0,0,0,
2.000000e-02,0,0,0,0,0,0,0,0,0,
4.000000e-02,1,1,1,1,1,1,1,1,1,
6.000000e-02,1,1,1,1,0,0,1,1,1,
8.000000e-02,0,0,0,0,0,0,0,0,0,
1.000000e-01,1,1,1,1,1,1,1,1,1,
1.200000e-01,1,1,1,0,1,1,1,1,0,
1.400000e-01,0,0,0,0,1,1,0,0,0,
1.600000e-01,0,0,0,0,0,0,0,0,0,
1.800000e-01,1,1,1,1,1,1,1,1,1,
2.000000e-01,906835457039432,906835457039432,906835457039432,4595515868489810423,906835457039432,906835457039432,906835457039432,906835457039432,not_finite,
2.200000e-01,887967614821997,887967614821997,887967614821997,4593569601432689108,887967614821996,887967614821996,887967614821997,887967614821996,887967614821996,
2.400000e-01,82271279779254,82271279779254,82271279779254,658170238234033,82271279779254,82271279779254,82271279779254,82271279779254,82271279779254,
2.600000e-01,41345750481039,41345750481039,41345750481039,468290605513184,41345750481039,41345750481039,41345750481039,41345750481039,41345750481039,
2.800000e-01,41577044209697,41577044209697,41577044209697,332616353677582,41577044209697,41577044209697,41577044209697,41577044209697,41577044209697,
3.000000e-01,41830523824757,41830523824757,41830523824757,334644190598062,41830523824756,41830523824756,41830523824757,41830523824756,41830523824756,
3.200000e-01,42107322007737,42107322007737,42107322007737,336858576061894,42107322007736,42107322007736,42107322007737,42107322007737,42107322007737,
3.400000e-01,42408716812523,42408716812523,42408716812523,339269734500177,42408716812522,42408716812522,42408716812523,42408716812523,42408716812523,
3.600000e-01,42736149876406,42736149876406,42736149876406,341889199011255,42736149876406,42736149876406,42736149876406,42736149876406,42736149876406,
