x,newlib,openlibm,matlab,maple,mpfr64,mpfr128,crlibm,intel-mkl,libmcr,mathematica,
0.000000e+00,not_finite,not_finite,not_finite,not_finite,not_finite,not_finite,not_finite,not_finite,not_finite,not_finite,
1.000000e-02,5896222844701938,5896222844701938,4610974756266084387,4610974756266084387,5896222844701939,5896222844701939,4610974756266084387,4610974756266084387,4610974756266084387,4610974756266084387,
2.000000e-02,8138412592771204,8138412592771204,9212271633195443482,9212271633195443482,8138412592771205,8138412592771205,9212271633195443482,9212271633195443482,9212271633195443482,9212271633195443482,
3.000000e-02,10206811275468404,10206811275468404,9212498203010927932,9212498203010927933,10206811275468404,10206811275468404,9212498203010927933,9212498203010927933,9212498203010927933,9212498203010927933,
4.000000e-02,12548573563737190,12548573563737190,9210804243159806652,9210804243159806652,12548573563737191,12548573563737191,9210804243159806652,9210804243159806652,9210804243159806652,9210804243159806652,
5.000000e-02,16378802999135262,16378802999135262,9207476488331682982,9207476488331682982,16378802999135263,16378802999135263,9207476488331682982,9207476488331682982,9207476488331682982,9207476488331682982,
6.000000e-02,26106601396540932,26106601396540932,9198159241581896744,9198159241581896744,26106601396540933,26106601396540933,9198159241581896744,9198159241581896744,9198159241581896744,9198159241581896744,
7.000000e-02,9205317570778800207,9205317570778800207,19295388671751943,19295388671751943,9205317570778800208,9205317570778800208,19295388671751943,19295388671751943,19295388671751943,19295388671751943,
8.000000e-02,9210590154851710165,9210590154851710165,14144604115121494,14144604115121494,9210590154851710165,9210590154851710165,14144604115121494,14144604115121494,14144604115121494,14144604115121494,
9.000000e-02,9212674180968062700,9212674180968062700,12060577998768960,12060577998768960,9212674180968062700,9212674180968062700,12060577998768960,12060577998768960,12060577998768960,12060577998768960,
1.000000e-01,9214334936494759226,9214334936494759226,10399822472072433,10399822472072433,9214334936494759227,9214334936494759227,10399822472072433,10399822472072433,10399822472072433,10399822472072433,
1.100000e-01,9215334425910788041,9215334425910788041,9400333056043618,9400333056043618,9215334425910788042,9215334425910788042,9400333056043618,9400333056043618,9400333056043618,9400333056043618,
1.200000e-01,9215922222518269276,9215922222518269276,8812536448562383,8812536448562383,9215922222518269277,9215922222518269277,8812536448562383,8812536448562383,8812536448562383,8812536448562383,
1.300000e-01,9216462942980947672,9216462942980947672,8271815985883987,8271815985883987,9216462942980947672,9216462942980947672,8271815985883987,8271815985883987,8271815985883987,8271815985883987,
1.400000e-01,9216887264870906719,9216887264870906719,7771187032218959,7771187032218959,9216887264870906719,9216887264870906719,7771187032218959,7771187032218959,7771187032218959,7771187032218959,
1.500000e-01,9217197981141226574,9217197981141226574,7305112626739177,7305112626739177,9217197981141226575,9217197981141226575,7305112626739177,7305112626739177,7305112626739177,7305112626739177,
1.600000e-01,9217488636800972784,9217488636800972784,6869129137119863,6869129137119863,9217488636800972784,9217488636800972784,6869129137119863,6869129137119863,6869129137119863,6869129137119863,
1.700000e-01,9217761665825194757,9217761665825194757,6459585600786903,6459585600786903,9217761665825194758,9217761665825194758,6459585600786903,6459585600786903,6459585600786903,6459585600786903,
1.800000e-01,9217801543985450035,9217801543985450035,6290998134896284,6290998134896284,9217801543985450036,9217801543985450036,6290998134896284,6290998134896284,6290998134896284,6290998134896284,
1.900000e-01,9217801543985450035,9217801543985450035,6169249576113398,6169249576113398,9217801543985450036,9217801543985450036,6169249576113398,6169249576113398,6169249576113398,6169249576113398,
2.000000e-01,9217801543985450034,9217801543985450034,6053747345368210,6053747345368210,9217801543985450035,9217801543985450035,6053747345368210,6053747345368210,6053747345368210,6053747345368210,
2.100000e-01,9217801543985450035,9217801543985450035,5943881662781810,5943881662781810,9217801543985450036,9217801543985450036,5943881662781810,5943881662781810,5943881662781810,5943881662781810,
2.200000e-01,9217801543985450036,9217801543985450036,5839127900242523,5839127900242523,9217801543985450036,9217801543985450036,5839127900242523,5839127900242523,5839127900242523,5839127900242523,
2.300000e-01,9217801543985450036,9217801543985450036,5739031429567538,5739031429567538,9217801543985450036,9217801543985450036,5739031429567538,5739031429567538,5739031429567538,5739031429567538,
2.400000e-01,9217801543985450035,9217801543985450035,5643195697748779,5643195697748779,9217801543985450035,9217801543985450035,5643195697748779,5643195697748779,5643195697748779,5643195697748779,
2.500000e-01,9217801543985450035,9217801543985450035,5551272738093807,5551272738093807,9217801543985450036,9217801543985450036,5551272738093807,5551272738093807,5551272738093807,5551272738093807,
2.600000e-01,9217801543985450035,9217801543985450035,5462955543522646,5462955543522646,9217801543985450036,9217801543985450036,5462955543522646,5462955543522646,5462955543522646,5462955543522646,
2.700000e-01,9217801543985450036,9217801543985450036,5377971880002450,5377971880002450,9217801543985450036,9217801543985450036,5377971880002450,5377971880002450,5377971880002450,5377971880002450,
2.800000e-01,9217801543985450036,9217801543985450036,5296079225634302,5296079225634302,9217801543985450037,9217801543985450037,5296079225634302,5296079225634302,5296079225634302,5296079225634302,
