x,openlibm,matlab,maple,mpfr64,mpfr128,crlibm,intel-mkl,mathematica,
-1.000000e+00,0,0,0,1,1,0,0,0,
-9.800000e-01,0,0,0,1,1,0,0,0,
-9.600000e-01,0,1,1,0,0,0,0,1,
-9.400000e-01,0,0,0,0,0,0,0,0,
-9.200000e-01,0,0,0,0,0,0,0,0,
-9.000000e-01,0,0,0,1,1,0,0,0,
-8.800000e-01,0,0,0,1,1,0,0,0,
-8.600000e-01,0,0,0,0,0,0,0,0,
-8.400000e-01,0,0,0,1,1,0,0,0,
-8.200000e-01,0,0,0,0,0,0,0,0,
-8.000000e-01,0,0,0,1,1,0,0,0,
-7.800000e-01,0,0,0,1,1,0,0,0,
-7.600000e-01,0,0,0,1,1,0,0,0,
-7.400000e-01,0,0,0,1,1,0,0,0,
-7.200000e-01,0,0,0,0,0,0,0,0,
-7.000000e-01,0,0,0,1,1,0,0,0,
-6.800000e-01,0,0,0,0,0,0,0,0,
-6.600000e-01,0,0,0,0,0,0,0,0,
-6.400000e-01,0,0,0,0,0,0,0,0,
-6.200000e-01,0,0,0,1,1,0,0,0,
-6.000000e-01,0,0,0,0,0,0,0,0,
-5.800000e-01,0,1,0,0,0,0,0,0,
-5.600000e-01,0,0,0,1,1,0,0,0,
-5.400000e-01,0,0,0,0,0,0,0,0,
-5.200000e-01,0,0,0,0,0,0,0,0,
-5.000000e-01,0,0,0,0,0,0,0,0,
-4.800000e-01,0,0,0,0,0,0,0,0,
-4.600000e-01,0,0,0,1,1,0,0,0,
-4.400000e-01,0,0,0,0,0,0,1,0,
-4.200000e-01,0,0,0,1,1,0,0,0,
-4.000000e-01,0,0,0,0,0,0,0,0,
-3.800000e-01,0,0,0,1,1,0,0,0,
-3.600000e-01,0,0,0,1,1,0,0,0,
-3.400000e-01,0,0,1,1,1,0,0,1,
-3.200000e-01,0,0,0,1,1,0,0,0,
-3.000000e-01,0,0,0,1,1,0,0,0,
-2.800000e-01,0,0,0,1,1,0,0,0,
-2.600000e-01,0,0,0,1,1,0,0,0,
-2.400000e-01,0,0,0,1,1,0,0,0,
-2.200000e-01,0,0,1,0,0,0,1,1,
-2.000000e-01,0,0,0,1,1,0,0,0,
-1.800000e-01,0,0,0,1,1,0,0,0,
-1.600000e-01,0,0,0,1,1,0,0,0,
-1.400000e-01,0,0,0,0,0,0,0,0,
-1.200000e-01,0,0,1,1,1,0,0,1,
-1.000000e-01,0,0,0,1,1,0,0,0,
-8.000000e-02,0,0,0,1,1,0,0,0,
-6.000000e-02,0,0,0,0,0,0,0,0,
-4.000000e-02,0,0,0,1,1,0,0,0,
-2.000000e-02,0,0,0,1,1,0,0,0,
0.000000e+00,0,0,0,0,0,0,0,0,
2.000000e-02,0,0,0,0,0,0,0,0,
4.000000e-02,0,0,0,0,0,0,0,0,
6.000000e-02,0,0,0,1,1,0,0,0,
8.000000e-02,0,0,0,0,0,0,0,0,
1.000000e-01,0,0,0,0,0,0,0,0,
1.200000e-01,0,0,1,0,0,0,0,1,
1.400000e-01,0,0,0,1,1,0,0,0,
1.600000e-01,0,0,0,0,0,0,0,0,
1.800000e-01,0,0,0,0,0,0,0,0,
2.000000e-01,0,0,4596422703946849855,0,0,0,0,not_finite,
2.200000e-01,0,0,4594457569047511105,1,1,0,1,1,
2.400000e-01,0,0,740441518013287,0,0,0,0,0,
2.600000e-01,0,0,509636355994223,0,0,0,0,0,
2.800000e-01,0,0,374193397887279,0,0,0,0,0,
3.000000e-01,0,0,376474714422819,1,1,0,1,1,
3.200000e-01,0,0,378965898069631,1,1,0,0,0,
3.400000e-01,0,0,381678451312700,1,1,0,0,0,
3.600000e-01,0,0,384625348887661,0,0,0,0,0,
3.800000e-01,0,0,387821231592440,0,0,0,0,0,
4.000000e-01,0,0,391282636217367,1,1,0,0,0,
4.200000e-01,0,0,395028269384008,0,0,0,0,0,
4.400000e-01,0,0,399079335134795,1,1,0,1,0,
4.600000e-01,0,0,403459928795671,0,0,0,0,0,
4.800000e-01,0,0,402300388084308,1,1,0,0,0,
5.000000e-01,0,0,206661748899122,1,1,0,0,0,
5.200000e-01,0,0,209436974210617,1,1,0,0,0,
5.400000e-01,0,0,212445231100672,1,1,0,0,0,
5.600000e-01,0,0,215710628134613,0,0,0,0,0,
5.800000e-01,0,1,219261266711775,1,1,0,0,0,
6.000000e-01,0,0,223130106037903,0,0,0,0,0,
6.200000e-01,0,0,227356070350006,0,0,0,1,1,
6.400000e-01,0,0,231985482672547,0,0,0,0,0,
6.600000e-01,0,0,237073945141970,0,0,0,0,0,
6.800000e-01,0,0,242688839919599,1,1,0,0,0,
7.000000e-01,0,0,248912707968408,0,0,0,0,0,
7.200000e-01,0,0,255847894452264,1,1,0,0,0,
7.400000e-01,0,0,263623062749032,0,0,0,0,0,
7.600000e-01,0,0,272402535374518,0,0,0,0,0,
7.800000e-01,0,0,282400036058225,0,0,0,0,0,
8.000000e-01,0,0,293899514274564,0,0,0,0,0,
8.200000e-01,0,0,307287815202787,1,1,0,0,0,
8.400000e-01,0,0,323108085601177,0,0,0,0,0,
8.600000e-01,0,0,183311041268720,1,1,0,0,0,
8.800000e-01,0,0,182812493855446,0,0,0,0,0,
9.000000e-01,0,0,197740965422049,0,0,0,0,0,
9.200000e-01,0,0,217573267460885,0,0,0,0,0,
9.400000e-01,0,0,245670550410889,1,1,0,0,0,
9.600000e-01,0,1,289905319187408,1,1,0,0,1,
9.800000e-01,0,0,375867123244839,0,0,0,0,0,
1.000000e+00,0,0,902227921235729,0,0,0,0,0,
