x,openlibm,matlab,maple,mpfr64,mpfr128,intel-mkl,mathematica,
0.000000e+00,0,0,0,0,0,0,0,
1.000000e-02,0,0,0,1,1,0,0,
2.000000e-02,0,0,0,0,0,0,0,
3.000000e-02,0,0,0,1,1,0,0,
4.000000e-02,0,0,0,1,1,0,0,
5.000000e-02,0,0,0,0,0,0,0,
6.000000e-02,0,0,0,0,0,0,0,
7.000000e-02,0,0,0,1,1,0,0,
8.000000e-02,0,0,0,0,0,0,0,
9.000000e-02,0,0,0,0,0,0,0,
1.000000e-01,0,0,0,0,0,0,0,
1.100000e-01,0,0,0,0,0,0,0,
1.200000e-01,0,0,0,1,1,0,0,
1.300000e-01,0,0,0,1,1,0,0,
1.400000e-01,0,0,0,1,1,0,0,
1.500000e-01,0,0,0,1,1,0,0,
1.600000e-01,0,0,0,1,1,0,0,
1.700000e-01,0,0,0,0,0,0,0,
1.800000e-01,0,0,0,1,1,0,0,
1.900000e-01,0,0,0,0,0,0,0,
2.000000e-01,0,0,0,0,0,0,0,
2.100000e-01,0,0,0,1,1,0,0,
2.200000e-01,0,0,0,1,1,0,0,
2.300000e-01,0,0,0,1,1,0,0,
2.400000e-01,0,0,0,0,0,0,0,
2.500000e-01,0,0,0,0,0,0,0,
2.600000e-01,0,0,0,1,1,0,0,
2.700000e-01,0,0,0,1,1,0,0,
2.800000e-01,0,0,0,1,1,0,0,
2.900000e-01,0,0,0,0,0,0,0,
3.000000e-01,0,0,0,0,0,0,0,
3.100000e-01,0,0,0,1,1,0,0,
3.200000e-01,0,0,0,0,0,0,0,
3.300000e-01,0,0,0,0,0,0,0,
3.400000e-01,0,0,0,1,1,0,0,
3.500000e-01,0,0,0,0,0,0,0,
3.600000e-01,0,0,0,0,0,0,0,
3.700000e-01,0,0,1,0,0,0,1,
3.800000e-01,0,0,0,0,0,0,0,
3.900000e-01,0,0,0,0,0,0,0,
4.000000e-01,0,0,0,0,0,0,0,
4.100000e-01,0,0,0,1,1,0,0,
4.200000e-01,0,0,0,0,0,0,0,
4.300000e-01,0,0,0,0,0,0,0,
4.400000e-01,0,0,0,0,0,0,0,
4.500000e-01,0,0,0,1,1,0,0,
4.600000e-01,0,0,0,0,0,0,0,
4.700000e-01,0,0,0,1,1,0,0,
4.800000e-01,0,0,0,1,1,0,0,
4.900000e-01,0,0,0,0,0,0,0,
5.000000e-01,0,0,0,1,1,0,0,
5.100000e-01,0,0,0,0,0,0,0,
5.200000e-01,0,0,0,1,1,0,0,
5.300000e-01,0,0,0,0,0,0,0,
5.400000e-01,0,0,0,0,0,0,0,
5.500000e-01,0,0,0,0,0,0,0,
5.600000e-01,0,0,0,1,1,0,0,
5.700000e-01,0,0,0,1,1,0,0,
5.800000e-01,0,0,0,0,0,0,0,
5.900000e-01,0,0,0,1,1,0,0,
6.000000e-01,0,0,2393893549440468559,1,1,0,not_finite,
6.100000e-01,0,0,2304821572791516181,0,0,0,0,
6.200000e-01,0,0,57428279445640,1,1,0,0,
6.300000e-01,0,0,56966985712906,1,1,0,0,
6.400000e-01,0,0,56516632617499,1,1,0,0,
6.500000e-01,0,0,56076794407655,1,1,0,0,
6.600000e-01,0,0,55647068171973,0,0,0,0,
6.700000e-01,0,0,55227072287743,1,1,0,0,
6.800000e-01,0,0,54816444996192,0,0,0,0,
6.900000e-01,0,0,54414843092586,1,1,0,0,
7.000000e-01,0,0,54021940720361,0,0,0,0,
7.100000e-01,0,0,53637428259703,0,0,0,0,
7.200000e-01,0,0,53261011301920,1,1,0,0,
7.300000e-01,0,0,52892409701904,0,0,0,0,
7.400000e-01,0,0,52531356701764,0,0,0,0,
7.500000e-01,0,0,52177598119367,0,0,0,0,
7.600000e-01,0,0,51830891596208,0,0,0,0,
7.700000e-01,0,0,51491005899537,1,1,0,0,
7.800000e-01,0,0,51157720274177,0,0,0,0,
7.900000e-01,0,0,50830823839918,1,1,0,0,
8.000000e-01,0,0,50510115030719,0,0,0,0,
8.100000e-01,0,0,50195401072372,0,0,0,0,
8.200000e-01,0,0,49886497495507,1,1,0,0,
8.300000e-01,0,0,49583227681184,0,0,0,0,
8.400000e-01,0,0,49285422436501,1,1,0,0,
8.500000e-01,0,0,48992919597909,1,1,0,0,
8.600000e-01,0,0,48705563660124,0,0,0,0,
8.700000e-01,0,0,48423205428713,0,0,0,0,
8.800000e-01,0,0,48145701694569,1,1,0,0,
8.900000e-01,0,0,47872914928682,0,0,0,0,
9.000000e-01,0,0,47604712995732,0,0,0,0,
9.100000e-01,0,0,47340968885116,0,0,0,0,
9.200000e-01,0,0,47081560458207,1,1,0,0,
9.300000e-01,0,0,46826370210678,1,1,0,0,
9.400000e-01,0,0,46575285048841,1,1,0,0,
9.500000e-01,0,0,46328196079046,1,1,0,0,
9.600000e-01,0,0,46084998409236,0,0,0,0,
9.700000e-01,0,0,45845590961850,1,1,0,0,
9.800000e-01,0,0,45609876297294,1,1,1,1,
9.900000e-01,0,0,45377760447316,1,1,0,0,
1.000000e+00,0,0,45149152757595,0,0,0,0,
