x,openlibm,matlab,maple,mpfr64,mpfr128,crlibm,intel-mkl,libmcr,mathematica,
-3.141593e+00,0,0,648954495786538,1,1,0,0,0,648954495786538,
-3.078761e+00,0,0,3,1,1,0,0,0,3,
-3.015929e+00,0,0,0,1,1,0,0,0,0,
-2.953097e+00,0,0,0,0,0,0,0,0,0,
-2.890265e+00,0,0,1,1,1,0,0,0,1,
-2.827433e+00,0,0,0,1,1,0,0,0,0,
-2.764602e+00,0,0,1,1,1,0,0,0,1,
-2.701770e+00,0,0,0,1,1,0,0,0,0,
-2.638938e+00,0,0,0,1,1,0,0,0,0,
-2.576106e+00,0,0,0,1,1,0,0,0,0,
-2.513274e+00,0,0,0,0,0,0,0,0,0,
-2.450442e+00,0,0,0,1,1,0,0,0,0,
-2.387610e+00,0,0,0,0,0,0,0,0,0,
-2.324779e+00,0,0,1,1,1,0,0,0,1,
-2.261947e+00,0,0,1,1,1,0,0,0,1,
-2.199115e+00,0,0,0,1,1,0,0,0,0,
-2.136283e+00,0,0,1,0,0,0,0,0,1,
-2.073451e+00,0,0,1,1,1,0,0,0,1,
-2.010619e+00,0,0,1,1,1,0,0,0,1,
-1.947787e+00,0,0,0,1,1,0,0,0,0,
-1.884956e+00,0,0,0,0,0,0,0,0,0,
-1.822124e+00,0,0,1,1,1,0,0,0,1,
-1.759292e+00,0,0,1,1,1,0,0,0,1,
-1.696460e+00,0,0,3,1,1,0,0,0,3,
-1.633628e+00,0,1,2,1,1,0,0,0,2,
-1.570796e+00,0,0,795179243766937,1,1,0,0,0,795179243766937,
-1.507964e+00,0,0,1,1,1,0,0,0,1,
-1.445133e+00,0,0,3,1,1,0,0,0,3,
-1.382301e+00,0,0,0,1,1,0,0,0,0,
-1.319469e+00,0,0,1,1,1,0,0,0,1,
-1.256637e+00,0,0,0,1,1,0,0,0,0,
-1.193805e+00,0,0,0,1,1,0,0,0,0,
-1.130973e+00,0,0,0,1,1,0,0,0,0,
-1.068142e+00,0,0,0,0,0,0,0,0,0,
-1.005310e+00,0,0,0,1,1,0,0,0,0,
-9.424778e-01,0,0,0,1,1,0,0,0,0,
-8.796459e-01,0,0,0,1,1,0,0,0,0,
-8.168141e-01,0,0,0,1,1,0,0,0,0,
-7.539822e-01,0,0,0,0,0,0,0,0,0,
-6.911504e-01,0,0,0,0,0,0,0,0,0,
-6.283185e-01,0,1,1,0,0,0,0,0,1,
-5.654867e-01,0,0,0,1,1,0,0,0,0,
-5.026548e-01,0,0,0,0,0,0,0,0,0,
-4.398230e-01,0,0,0,1,1,0,0,0,0,
-3.769911e-01,0,0,0,1,1,0,0,0,0,
-3.141593e-01,0,0,0,0,0,0,0,0,0,
-2.513274e-01,0,0,0,0,0,0,0,0,0,
-1.884956e-01,0,0,1,1,1,0,0,0,1,
-1.256637e-01,0,0,0,1,1,0,0,0,0,
-6.283185e-02,0,0,0,0,0,0,0,0,0,
4.440892e-16,0,0,0,0,0,0,0,0,0,
6.283185e-02,0,0,0,1,1,0,0,0,0,
1.256637e-01,0,0,0,0,0,0,0,0,0,
1.884956e-01,0,0,0,0,0,0,0,0,0,
2.513274e-01,0,0,0,0,0,0,0,0,0,
3.141593e-01,0,0,0,0,0,0,0,0,0,
3.769911e-01,0,1,0,1,1,0,0,0,0,
4.398230e-01,0,0,0,1,1,0,0,0,0,
5.026548e-01,0,0,0,1,1,0,0,0,0,
5.654867e-01,0,0,0,1,1,0,0,0,0,
6.283185e-01,0,0,4604719332862062923,1,1,0,0,0,not_finite,
6.911504e-01,0,0,4604470832226255576,0,0,0,0,0,0,
7.539822e-01,0,0,1006919847323108,0,0,0,0,0,0,
8.168141e-01,0,0,841123020092585,1,1,0,0,0,0,
8.796459e-01,0,0,648070283596408,0,0,0,0,0,0,
9.424778e-01,0,0,754756325280439,0,0,0,0,0,0,
1.005310e+00,0,0,897864370831217,0,0,0,0,0,0,
1.068142e+00,0,0,1095479835659780,0,0,0,0,0,1,
1.130973e+00,0,0,1096900505102431,0,0,0,0,0,0,
1.193805e+00,0,1,902078923343704,0,0,0,0,0,0,
1.256637e+00,0,0,1242930103873290,0,0,0,0,0,1,
1.319469e+00,0,0,1839854019489638,1,1,0,0,0,2,
1.382301e+00,0,0,1635592397914735,1,1,0,0,0,2,
1.445133e+00,0,0,3010241464879754,1,1,0,0,0,3,
1.507964e+00,0,0,4539017436370454,1,1,0,0,0,7,
1.570796e+00,0,0,224397767765615508,1,1,0,0,0,7341392851733341,
1.633628e+00,0,0,9482014063285879486,1,1,0,0,0,6,
1.696460e+00,0,0,4539017436370390,0,0,0,0,0,3,
1.759292e+00,0,0,3010241464879719,1,1,0,0,0,1,
1.822124e+00,0,0,1635592397914735,0,0,0,0,0,2,
1.884956e+00,0,0,1839854019489604,1,1,0,0,0,0,
1.947787e+00,0,0,1242930103873305,0,0,0,0,0,1,
2.010619e+00,0,0,902078923343700,0,0,0,0,0,1,
2.073451e+00,0,1,1096900505102435,1,1,0,0,0,0,
2.136283e+00,0,0,1095479835659777,1,1,0,0,0,0,
2.199115e+00,0,0,897864370831215,1,1,0,0,0,0,
2.261947e+00,0,0,754756325280437,0,0,0,0,0,0,
2.324779e+00,0,0,648070283596403,0,0,0,0,0,1,
2.387610e+00,0,0,841123020092594,1,1,0,0,0,0,
2.450442e+00,0,0,1006919847323106,0,0,0,0,0,0,
2.513274e+00,0,0,907289938443897,1,1,0,0,0,0,
2.576106e+00,0,0,827970852903615,1,1,0,0,0,0,
2.638938e+00,0,0,764392770362786,0,0,0,0,0,0,
2.701770e+00,0,0,978416834806176,1,1,0,0,0,0,
2.764602e+00,0,0,1344527554537596,0,0,0,0,0,0,
2.827433e+00,0,0,1279172040028444,1,1,0,0,0,0,
2.890265e+00,0,0,1227921496011003,1,1,0,0,0,0,
2.953097e+00,0,0,2256050417849625,1,1,0,0,0,0,
3.015929e+00,0,0,2321365071462568,1,1,0,0,0,1,
3.078761e+00,0,0,4521615608942392,0,0,0,0,0,0,
3.141593e+00,0,0,8969958398246646954,0,0,0,0,0,42353557044375,
