x,newlib,openlibm,matlab,maple,mpfr64,mpfr128,crlibm,intel-mkl,libmcr,mathematica,
0.000000e+00,0,0,0,0,0,0,0,0,0,0,
1.570796e+00,898852997326501,898852997326501,898852997326501,6835183157125141,898852997326500,898852997326500,898852997326501,898852997326501,898852997326501,6835183157125126,
1.047198e+00,0,0,0,0,1,1,0,0,0,1,
5.235988e-01,14015,14015,14015,14015,14016,14016,14015,14015,14015,126149,
7.853982e-01,12118,12118,12118,12118,12119,12119,12118,12118,12118,109051,
3.926991e-01,10166,10166,10166,10166,10166,10166,10166,10166,10166,91496,
6.283185e-01,22565,22565,22565,22565,22566,22566,22565,22565,22565,203088,
3.141593e-01,4364,4364,4364,4364,4364,4364,4364,4364,4364,39289,
2.617994e-01,9846,9846,9846,9846,9847,9847,9846,9846,9846,88618,
1.000000e+22,733439767297287,733439767297287,733439767297287,4602154479603059693,733439767297286,733439767297286,733439767297287,733439767297287,733439767297287,733439767341071,
