x,newlib,openlibm,matlab,maple,mpfr64,mpfr128,crlibm,intel-mkl,mathematica,
0.000000e+00,not_finite,not_finite,not_finite,not_finite,not_finite,not_finite,not_finite,not_finite,not_finite,
1.000000e-02,4611686018427387904,4611686018427387904,0,0,4611686018427387904,4611686018427387904,0,0,0,
2.000000e-02,9209424794074192767,9209424794074192767,0,0,9209424794074192768,9209424794074192768,0,0,0,
3.000000e-02,9211803927660191870,9211803927660191870,0,0,9211803927660191870,9211803927660191870,0,0,0,
4.000000e-02,9212572675125263615,9212572675125263615,0,0,9212572675125263616,9212572675125263616,0,0,0,
5.000000e-02,9213009119023735169,9213009119023735169,0,0,9213009119023735169,9213009119023735169,0,0,0,
6.000000e-02,9213365719653929983,9213365719653929983,0,0,9213365719653929984,9213365719653929984,0,0,0,
7.000000e-02,9213667221190764063,9213667221190764063,0,0,9213667221190764064,9213667221190764064,0,0,0,
8.000000e-02,9213928393701563263,9213928393701563263,0,0,9213928393701563263,9213928393701563263,0,0,0,
9.000000e-02,9214158764182596351,9214158764182596351,0,0,9214158764182596351,9214158764182596351,0,0,0,
1.000000e-01,9214364837600034816,9214364837600034816,0,0,9214364837600034816,9214364837600034816,0,0,0,
1.100000e-01,9214178421518580369,9214178421518580369,0,1,9214178421518580369,9214178421518580369,1,1,1,
1.200000e-01,9214008236969840002,9214008236969840002,0,0,9214008236969840002,9214008236969840002,0,0,0,
1.300000e-01,9213851682361044400,9213851682361044400,0,0,9213851682361044401,9213851682361044401,0,0,0,
1.400000e-01,9213706735433005920,9213706735433005920,0,0,9213706735433005920,9213706735433005920,0,0,0,
1.500000e-01,9213571793071368449,9213571793071368449,0,0,9213571793071368450,9213571793071368450,0,0,0,
1.600000e-01,9213445562922206721,9213445562922206721,0,0,9213445562922206722,9213445562922206722,0,0,0,
1.700000e-01,9213326987923587689,9213326987923587689,0,0,9213326987923587689,9213326987923587689,0,0,0,
1.800000e-01,9213215192441173634,9213215192441173634,0,0,9213215192441173634,9213215192441173634,0,0,0,
1.900000e-01,9213109442986655471,9213109442986655471,0,0,9213109442986655472,9213109442986655472,0,0,0,
2.000000e-01,9213009119023735168,9213009119023735168,0,0,9213009119023735169,9213009119023735169,0,0,0,
2.100000e-01,9212913690904339553,9212913690904339553,0,0,9212913690904339554,9212913690904339554,0,0,0,
2.200000e-01,9212822702942280721,9212822702942280721,0,0,9212822702942280722,9212822702942280722,0,0,0,
2.300000e-01,9212735760252536448,9212735760252536448,0,0,9212735760252536449,9212735760252536449,0,0,0,
2.400000e-01,9212652518393540353,9212652518393540353,0,0,9212652518393540354,9212652518393540354,0,0,0,
2.500000e-01,9212572675125263616,9212572675125263616,0,0,9212572675125263616,9212572675125263616,0,0,0,
2.600000e-01,9212495963784744753,9212495963784744753,0,0,9212495963784744753,9212495963784744753,0,0,0,
2.700000e-01,9212422147912507266,9212422147912507266,0,0,9212422147912507267,9212422147912507267,0,0,0,
2.800000e-01,9212351016856706273,9212351016856706273,0,0,9212351016856706273,9212351016856706273,0,0,0,
2.900000e-01,9212282382149000214,9212282382149000214,0,0,9212282382149000215,9212282382149000215,0,0,0,
3.000000e-01,9212216074495068801,9212216074495068801,0,0,9212216074495068801,9212216074495068801,0,0,0,
3.100000e-01,9212151941258778650,9212151941258778650,0,0,9212151941258778650,9212151941258778650,0,0,0,
3.200000e-01,9212043457465022084,9212043457465022084,0,0,9212043457465022085,9212043457465022085,0,0,0,
3.300000e-01,9211862899668143926,9211862899668143926,0,0,9211862899668143927,9211862899668143927,0,0,0,
3.400000e-01,9211687732469164987,9211687732469164987,0,0,9211687732469164987,9211687732469164987,0,0,0,
3.500000e-01,9211517643302005024,9211517643302005024,0,0,9211517643302005024,9211517643302005024,0,0,0,
3.600000e-01,9211352346021922822,9211352346021922822,0,0,9211352346021922823,9211352346021922823,0,0,0,
3.700000e-01,9211191578009067136,9211191578009067136,0,0,9211191578009067136,9211191578009067136,0,0,0,
3.800000e-01,9211035097658368335,9211035097658368335,0,0,9211035097658368336,9211035097658368336,0,0,0,
3.900000e-01,9210882682195536020,9210882682195536020,0,0,9210882682195536020,9210882682195536020,0,0,0,
4.000000e-01,9210734125769607425,9210734125769607425,1,0,9210734125769607425,9210734125769607425,0,0,0,
4.100000e-01,9210589237781060343,9210589237781060343,0,0,9210589237781060343,9210589237781060343,0,0,0,
4.200000e-01,9210447841411420581,9210447841411420581,0,0,9210447841411420581,9210447841411420581,0,0,0,
4.300000e-01,9210309772325907743,9210309772325907743,1,0,9210309772325907744,9210309772325907744,0,0,0,
4.400000e-01,9210174877525244086,9210174877525244086,0,0,9210174877525244086,9210174877525244086,0,0,0,
4.500000e-01,9210043014326508164,9210043014326508164,0,0,9210043014326508164,9210043014326508164,0,0,0,
