x,newlib,openlibm,matlab,maple,mpfr64,mpfr128,crlibm,intel-mkl,libmcr,mathematica,
0.000000e+00,0,0,0,0,0,0,0,0,0,0,
1.570796e+00,2204153130847897,2204153130847897,2204153130847897,5137239720885444,2204153130847898,2204153130847898,2204153130847897,2204153130847897,2204153130847897,5137239720885444,
1.047198e+00,0,0,0,0,0,0,0,0,0,0,
5.235988e-01,1,1,1,1,2,2,1,1,1,1,
7.853982e-01,1,1,1,1,1,1,1,1,1,1,
3.926991e-01,0,0,0,0,1,1,0,0,0,0,
6.283185e-01,2,2,1,1,1,1,2,2,2,1,
3.141593e-01,1,1,1,1,1,1,1,1,1,1,
2.617994e-01,0,0,0,0,1,1,0,0,0,0,
1.000000e+22,733536500991240,733536500991240,733536500991241,4609280647681568079,733536500991241,733536500991241,733536500991240,733536500991240,733536500991240,733536500991240,
