identity,x,y,newlib,openlibm,matlab,maple,mpfr64,mpfr128,crlibm,intel-mkl,libmcr,mathematica,
sin^2(x)+cos^2(x)=1,0.000000e+00,-nan,0,0,0,0,0,0,0,0,0,0,
sin^2(x)+cos^2(x)=1,1.570796e+00,-nan,0,0,0,0,1,1,0,0,0,0,
sin^2(x)+cos^2(x)=1,1.047198e+00,-nan,0,0,0,0,1,1,0,0,0,0,
sin^2(x)+cos^2(x)=1,5.235988e-01,-nan,0,0,0,0,1,1,0,0,0,0,
sin^2(x)+cos^2(x)=1,7.853982e-01,-nan,0,0,0,0,1,1,0,0,0,0,
sin^2(x)+cos^2(x)=1,3.926991e-01,-nan,0,0,0,0,1,1,0,0,0,0,
sin^2(x)+cos^2(x)=1,2.617994e-01,-nan,0,0,0,0,1,1,0,0,0,0,
sin^2(x)+cos^2(x)=1,1.000000e+22,-nan,0,0,0,0,0,0,0,0,0,0,
sin^2(x)+cos^2(x)=1,2.225074e-308,-nan,0,0,0,0,1,1,0,0,0,0,
sin^2(x)+cos^2(x)=1,1.797693e+308,-nan,0,0,0,0,0,0,0,0,0,4607182418800017408,
