x,newlib,openlibm,matlab,mpfr64,mpfr128,crlibm,intel-mkl,libmcr,mathematica,
-1.00000000000000000000,0,0,0,1,1,0,0,0,0,
-0.97999999999999998224,1,1,1,0,0,1,1,1,1,
-0.95999999999999996447,1,1,1,0,0,1,1,1,1,
-0.93999999999999994671,1,1,1,2,2,1,1,1,1,
-0.92000000000000003997,1,1,0,1,1,1,1,1,1,
-0.90000000000000002220,0,0,0,1,1,0,0,0,0,
-0.88000000000000000444,1,1,1,2,2,1,1,1,1,
-0.85999999999999998668,1,1,1,1,1,1,1,1,1,
-0.83999999999999996891,1,1,2,2,2,1,1,1,1,
-0.82000000000000006217,1,1,1,2,2,1,1,1,1,
-0.80000000000000004441,1,1,1,1,1,1,1,1,1,
-0.78000000000000002665,0,0,0,0,0,0,0,0,0,
-0.76000000000000000888,1,1,1,0,0,1,1,1,1,
-0.73999999999999999112,1,1,1,1,1,1,1,1,1,
-0.71999999999999997335,1,1,1,0,0,1,1,1,1,
-0.69999999999999995559,0,0,0,0,0,0,0,0,0,
-0.67999999999999993783,0,0,0,1,1,0,0,0,0,
-0.65999999999999992006,0,0,0,1,1,0,0,0,0,
-0.64000000000000001332,1,1,1,1,1,1,1,1,1,
-0.61999999999999999556,1,1,1,1,1,1,1,1,1,
-0.59999999999999997780,0,0,1,0,0,0,1,0,0,
-0.58000000000000007105,0,0,0,1,1,0,0,0,0,
-0.56000000000000005329,0,0,0,1,1,0,0,0,0,
-0.54000000000000003553,0,0,0,0,0,0,0,0,0,
-0.52000000000000001776,0,0,1,1,1,0,0,0,0,
-0.50000000000000000000,1,1,1,0,0,1,1,1,1,
-0.47999999999999998224,0,0,0,0,0,0,0,0,0,
-0.45999999999999996447,0,0,0,0,0,0,0,0,0,
-0.43999999999999994671,0,0,0,1,1,0,0,0,0,
-0.42000000000000003997,1,1,1,1,1,1,1,1,1,
-0.40000000000000002220,0,0,0,1,1,0,0,0,0,
-0.38000000000000000444,0,0,0,0,0,0,0,0,0,
-0.35999999999999998668,0,0,0,0,0,0,0,0,0,
-0.33999999999999996891,0,0,0,1,1,0,0,0,0,
-0.31999999999999995115,1,1,1,1,1,1,1,1,1,
-0.29999999999999993339,1,1,0,1,1,1,1,1,1,
-0.28000000000000002665,0,0,0,1,1,0,0,0,0,
-0.26000000000000000888,1,1,1,1,1,1,1,1,1,
-0.23999999999999999112,1,1,0,0,0,1,1,1,1,
-0.21999999999999997335,0,0,0,0,0,0,0,0,0,
-0.19999999999999995559,1,1,1,0,0,1,1,1,1,
-0.17999999999999993783,1,1,1,0,0,1,1,1,1,
-0.16000000000000003109,0,0,0,1,1,0,0,0,0,
-0.14000000000000001332,0,0,0,1,1,0,0,0,0,
-0.11999999999999999556,0,0,0,0,0,0,0,0,0,
-0.09999999999999997780,2,2,2,1,1,2,2,2,2,
-0.07999999999999996003,1,1,1,0,0,1,1,1,1,
-0.05999999999999994227,0,0,0,0,0,0,0,0,0,
-0.04000000000000003553,1,1,1,2,2,1,1,1,1,
-0.02000000000000001776,0,0,0,0,0,0,0,0,0,
0.00000000000000000000,0,0,0,0,0,0,0,0,0,
0.02000000000000001776,1,1,1,1,1,1,1,1,1,
0.04000000000000003553,0,0,0,0,0,0,0,0,0,
0.06000000000000005329,0,0,0,0,0,0,0,0,0,
0.08000000000000007105,0,0,0,1,1,0,0,0,0,
0.10000000000000008882,0,0,0,0,0,0,0,0,0,
0.12000000000000010658,0,0,0,0,0,0,0,0,0,
0.14000000000000012434,1,1,1,1,1,1,1,1,1,
0.15999999999999992006,1,1,1,1,1,1,1,1,1,
0.17999999999999993783,0,0,0,1,1,0,0,0,0,
0.19999999999999995559,110789931016549,110789931016549,110789931016549,110789931016548,110789931016548,110789931016549,110789931016549,110789931016549,886319448132392,
