x,newlib,openlibm,matlab,mpfr64,mpfr128,crlibm,intel-mkl,libmcr,mathematica,
-100.00000000000000000000,1,1,1,0,0,1,1,1,1,
-98.00000000000000000000,0,0,0,0,0,0,0,0,0,
-96.00000000000000000000,1,1,1,0,0,1,1,1,1,
-94.00000000000000000000,0,0,0,0,0,0,0,0,0,
-92.00000000000000000000,1,1,1,0,0,1,1,1,1,
-90.00000000000000000000,0,0,0,0,0,0,0,0,0,
-88.00000000000000000000,0,0,0,0,0,0,0,0,0,
-86.00000000000000000000,0,0,0,0,0,0,0,0,0,
-84.00000000000000000000,1,1,1,0,0,1,1,1,1,
-82.00000000000000000000,1,1,1,0,0,1,1,1,1,
-80.00000000000000000000,1,1,0,0,0,1,1,1,1,
-78.00000000000000000000,1,1,1,0,0,1,1,1,1,
-76.00000000000000000000,0,0,0,0,0,0,0,0,0,
-74.00000000000000000000,0,0,0,0,0,0,0,0,0,
-72.00000000000000000000,0,0,0,0,0,0,0,0,0,
-70.00000000000000000000,1,1,1,0,0,1,1,1,1,
-68.00000000000000000000,0,0,0,0,0,0,0,0,0,
-66.00000000000000000000,1,1,1,0,0,1,1,1,1,
-64.00000000000000000000,1,1,1,0,0,1,1,1,1,
-62.00000000000000000000,0,0,0,0,0,0,0,0,0,
-60.00000000000000000000,0,0,0,0,0,0,0,0,0,
-58.00000000000000000000,0,0,0,0,0,0,0,0,0,
-56.00000000000000000000,0,0,0,0,0,0,0,0,0,
-54.00000000000000000000,1,1,1,0,0,1,1,1,1,
-52.00000000000000000000,0,0,0,0,0,0,0,0,0,
-50.00000000000000000000,1,1,1,0,0,1,1,1,1,
-48.00000000000000000000,1,1,1,0,0,1,1,1,1,
-46.00000000000000000000,0,0,0,0,0,0,0,0,0,
-44.00000000000000000000,1,1,1,0,0,1,1,1,1,
-42.00000000000000000000,1,1,1,0,0,1,1,1,1,
-40.00000000000000000000,0,0,0,0,0,0,0,0,0,
-38.00000000000000000000,0,0,0,0,0,0,0,0,0,
-36.00000000000000000000,1,1,1,0,0,1,1,1,1,
-34.00000000000000000000,1,1,1,0,0,1,1,1,1,
-32.00000000000000000000,0,0,0,0,0,0,0,0,0,
-30.00000000000000000000,1,1,1,0,0,1,1,1,1,
-28.00000000000000000000,1,1,1,0,0,1,1,1,1,
-26.00000000000000000000,1,1,1,0,0,1,1,1,1,
-24.00000000000000000000,0,0,0,0,0,0,0,0,0,
-22.00000000000000000000,0,0,0,0,0,0,0,0,0,
-20.00000000000000000000,1,1,1,0,0,1,1,1,1,
-18.00000000000000000000,1,1,1,0,0,1,1,1,1,
-16.00000000000000000000,1,1,1,0,0,1,1,1,1,
-14.00000000000000000000,0,0,0,0,0,0,0,0,0,
-12.00000000000000000000,1,1,1,0,0,1,1,1,1,
-10.00000000000000000000,1,1,0,0,0,1,1,1,1,
-8.00000000000000000000,1,1,1,0,0,1,1,1,1,
-6.00000000000000000000,1,1,1,0,0,1,1,1,1,
-4.00000000000000000000,0,0,0,0,0,0,0,0,0,
-2.00000000000000000000,1,1,1,0,0,1,1,1,1,
0.00000000000000000000,0,0,0,0,0,0,0,0,0,
2.00000000000000000000,1,1,1,0,0,1,1,1,1,
4.00000000000000000000,0,0,0,0,0,0,0,0,0,
6.00000000000000000000,0,0,0,0,0,0,0,0,0,
8.00000000000000000000,1,1,1,0,0,1,1,1,1,
10.00000000000000000000,1,1,1,0,0,1,1,1,1,
12.00000000000000000000,0,0,0,0,0,0,0,0,0,
14.00000000000000000000,1,1,1,0,0,1,1,1,1,
16.00000000000000000000,0,0,0,0,0,0,0,0,0,
18.00000000000000000000,0,0,0,0,0,0,0,0,0,
20.00000000000000000000,0,0,0,0,0,0,0,0,129736911218075652,
22.00000000000000000000,1,1,1,0,0,1,1,1,142626095966205439,
24.00000000000000000000,0,0,0,0,0,0,0,0,12936656168626615,
26.00000000000000000000,1,1,0,0,0,1,1,1,12980502292269989,
28.00000000000000000000,0,0,0,0,0,0,0,0,13020999975685181,
0.00000000000000000000,0,0,194622659335301357,0,0,194622659335301357,194622659335301357,194622659335301357,181564254402787226,
32.00000000000000000000,0,0,0,0,0,0,0,0,13092953348062527,
34.00000000000000000000,0,0,0,0,0,0,0,0,13124863370639563,
36.00000000000000000000,0,0,0,0,0,0,0,0,12961968408751743,
38.00000000000000000000,0,0,0,0,0,0,0,0,12852318727159537,
40.00000000000000000000,1,1,0,0,0,1,1,1,12902605531489923,
42.00000000000000000000,0,0,0,0,0,0,0,0,12949052033769070,
44.00000000000000000000,1,1,1,0,0,1,1,1,12991951510136536,
46.00000000000000000000,0,0,0,0,0,0,0,0,13031574839823281,
48.00000000000000000000,0,0,0,0,0,0,0,0,13068172215558504,
50.00000000000000000000,0,0,0,0,0,0,0,0,13101974723356154,
52.00000000000000000000,1,1,1,0,0,1,1,1,13133195801656326,
54.00000000000000000000,1,1,1,0,0,1,1,1,12876584088875758,
56.00000000000000000000,0,0,0,0,0,0,0,0,12866535455871852,
58.00000000000000000000,0,0,0,0,0,0,0,0,12915736557239746,
0.00000000000000000000,0,0,389453326217198694,0,0,389453326217198694,389453326217198694,389453326217198694,376492145947691881,
62.00000000000000000000,0,0,1,0,0,0,0,0,13003153536917441,
64.00000000000000000000,0,0,0,0,0,0,0,0,13041921390361510,
66.00000000000000000000,1,1,1,0,0,1,1,1,13077728620853177,
68.00000000000000000000,1,1,1,0,0,1,1,1,13110801325209461,
70.00000000000000000000,0,0,0,0,0,0,0,0,13106065393497095,
72.00000000000000000000,0,0,0,0,0,0,0,0,12828326175091864,
74.00000000000000000000,0,0,1,0,0,0,0,0,12880445242341855,
76.00000000000000000000,1,1,1,0,0,1,1,1,12928584081308620,
78.00000000000000000000,1,1,0,0,0,1,1,1,12973046654016472,
80.00000000000000000000,0,0,0,0,0,0,0,0,13014113709521610,
82.00000000000000000000,0,0,0,0,0,0,0,0,13052044556639781,
84.00000000000000000000,1,1,1,0,0,1,1,1,13087078701294296,
86.00000000000000000000,0,0,0,0,0,0,0,0,13119437358823079,
88.00000000000000000000,0,0,0,0,0,0,0,0,13017569988609693,
90.00000000000000000000,1,1,1,0,0,1,1,1,12843060908183350,
92.00000000000000000000,0,0,0,0,0,0,0,0,12894054713518825,
94.00000000000000000000,1,1,1,0,0,1,1,1,12941154224559047,
96.00000000000000000000,0,0,0,0,0,0,0,0,12984656840722597,
98.00000000000000000000,1,1,1,0,0,1,1,1,13024837249632937,
100.00000000000000000000,1,1,1,0,0,1,1,1,13061949161572496,
