x,newlib,openlibm,matlab,maple,mpfr64,mpfr128,crlibm,intel-mkl,libmcr,mathematica,
-3.14159265358979311600,431880310423497,431880310423497,431880310423497,4368523916211608638,431880310423496,431880310423496,431880310423497,431880310423497,431880310423497,1080834806210035,
-3.07876080051799716486,0,0,0,2,1,1,0,0,0,3,
-3.01592894744620121372,2,2,2,15,1,1,2,2,2,2,
-2.95309709437440570667,4,4,4,21,4,4,4,4,4,4,
-2.89026524130260975554,2,2,2,13,1,1,2,2,2,1,
-2.82743338823081380440,1,1,1,7,0,0,1,1,1,1,
-2.76460153515901785326,2,2,2,7,1,1,2,2,2,1,
-2.70176968208722190212,1,1,1,14,0,0,1,1,1,1,
-2.63893782901542639507,0,0,0,0,1,1,0,0,0,0,
-2.57610597594363044394,0,0,0,1,1,1,0,0,0,0,
-2.51327412287183449280,1,1,1,1,1,1,1,1,1,1,
-2.45044226980003854166,0,0,0,0,1,1,0,0,0,0,
-2.38761041672824259052,2,2,2,6,2,2,2,2,2,2,
-2.32477856365644708347,0,0,0,8,1,1,0,0,0,1,
-2.26194671058465068825,6,6,6,40,5,5,6,6,6,5,
-2.19911485751285518120,3,3,3,14,2,2,3,3,3,3,
-2.13628300444105923006,2,2,2,5,2,2,2,2,2,3,
-2.07345115136926327892,3,3,3,31,2,2,3,3,3,2,
-2.01061929829746777187,1,1,1,4,0,0,1,1,1,0,
-1.94778744522567159869,3,3,3,12,2,2,3,3,3,3,
-1.88495559215387586960,1,1,1,8,1,1,1,1,1,1,
-1.82212373908207991846,1,1,1,3,0,0,1,1,1,2,
-1.75929188601028396732,2,2,2,3,1,1,2,2,2,1,
-1.69646003293848823823,0,0,0,7,1,1,0,0,0,3,
-1.63362817986669228709,2,2,3,24,3,3,2,2,2,4,
-1.57079632679489633595,462559710315444,462559710315444,462559710315444,4641646993395727,462559710315445,462559710315445,462559710315444,462559710315444,462559710315444,332619533451493,
-1.50796447372310060686,3,3,3,16,2,2,3,3,3,4,
-1.44513262065130465572,3,3,3,17,2,2,3,3,3,0,
-1.38230076757950870459,0,0,0,3,1,1,0,0,0,0,
-1.31946891450771297549,1,1,1,13,2,2,1,1,1,2,
-1.25663706143591702435,0,0,0,1,1,1,0,0,0,0,
-1.19380520836412129526,1,1,1,10,0,0,1,1,1,1,
-1.13097335529232534412,0,0,0,3,1,1,0,0,0,0,
-1.06814150222052939299,2,2,2,21,2,2,2,2,2,2,
-1.00530964914873344185,5,5,5,38,6,6,5,5,5,5,
-0.94247779607693793480,2,2,2,13,3,3,2,2,2,2,
-0.87964594300514198366,2,2,2,37,3,3,2,2,2,2,
-0.81681408993334603252,1,1,1,5,2,2,1,1,1,1,
-0.75398223686155008139,1,1,1,9,1,1,1,1,1,1,
-0.69115038378975413025,1,1,1,8,1,1,1,1,1,1,
-0.62831853071795862320,2,2,1,6,2,2,2,2,2,1,
-0.56548667764616267206,2,2,2,1,1,1,2,2,2,2,
-0.50265482457436672092,0,0,0,8,0,0,0,0,0,0,
-0.43982297150257076979,0,0,0,2,1,1,0,0,0,0,
-0.37699111843077481865,2,2,2,13,3,3,2,2,2,2,
-0.31415926535897886751,0,0,0,15,0,0,0,0,0,0,
-0.25132741228718336046,1,1,1,12,1,1,1,1,1,1,
-0.18849555921538740932,1,1,1,19,2,2,1,1,1,2,
-0.12566370614359145819,3,3,3,29,4,4,3,3,3,3,
-0.06283185307179550705,3,3,3,26,3,3,3,3,3,3,
0.00000000000000044409,900719925474099,900719925474099,900719925474099,4376598117878648013,900719925474099,900719925474099,900719925474099,900719925474099,900719925474099,900719925474099,
0.06283185307179595114,0,0,0,11,1,1,0,0,0,0,
0.12566370614359190228,1,1,1,11,1,1,1,1,1,1,
0.18849555921538785341,0,0,0,1,0,0,0,0,0,0,
0.25132741228718380455,1,1,1,2,1,1,1,1,1,1,
0.31415926535897975569,1,1,1,13,1,1,1,1,1,1,
0.37699111843077570683,3,3,2,13,2,2,3,3,3,3,
0.43982297150257121388,2,2,2,10,1,1,2,2,2,2,
0.50265482457436716501,1,1,1,3,0,0,1,1,1,1,
0.56548667764616311615,2,2,2,3,1,1,2,2,2,2,
0.62831853071795906729,1308822663357506,1308822663357506,1308822663357506,4603410510198705417,1308822663357505,1308822663357505,1308822663357506,1308822663357506,1308822663357506,4603410510198705417,
0.69115038378975501843,1490280651046282,1490280651046282,1490280651046282,4604136342149461554,1490280651046282,1490280651046282,1490280651046282,1490280651046282,1490280651046282,4602980551575209294,
0.75398223686155052548,201383969464621,201383969464621,201383969464621,805535877858491,201383969464621,201383969464621,201383969464621,201383969464621,201383969464621,805535877858487,
0.81681408993334647661,113336988799871,113336988799871,113336988799871,727786031292720,113336988799870,113336988799870,113336988799871,113336988799871,113336988799871,727786031292714,
0.87964594300514242775,129614056719283,129614056719283,129614056719283,518456226877136,129614056719283,129614056719283,129614056719283,129614056719283,129614056719283,518456226877125,
0.94247779607693793480,150951265056088,150951265056088,150951265056088,603805060224350,150951265056088,150951265056088,150951265056088,150951265056088,150951265056088,603805060224351,
1.00530964914873433003,179572874166245,179572874166245,179572874166245,718291496664987,179572874166245,179572874166245,179572874166245,179572874166245,179572874166245,718291496664972,
1.06814150222052983707,219095967131955,219095967131955,219095967131955,876383868527837,219095967131955,219095967131955,219095967131955,219095967131955,219095967131955,876383868527825,
1.13097335529232623230,137861906610834,137861906610834,137861906610834,959038598491627,137861906610834,137861906610834,137861906610834,137861906610834,137861906610834,959038598491597,
1.19380520836412173935,180415784668743,180415784668743,180415784668744,721663138674975,180415784668743,180415784668743,180415784668743,180415784668743,180415784668743,721663138674961,
1.25663706143591724640,248586020774659,248586020774659,248586020774659,994344083098647,248586020774659,248586020774659,248586020774659,248586020774659,248586020774659,994344083098631,
1.31946891450771364163,367970803897928,367970803897928,367970803897928,1471883215591715,367970803897927,367970803897927,367970803897928,367970803897928,367970803897928,1471883215591710,
1.38230076757950914867,303416677617149,303416677617149,303416677617149,1332175720297578,303416677617148,303416677617148,303416677617149,303416677617149,303416677617149,1332175720297586,
1.44513262065130554390,602048292975951,602048292975951,602048292975951,2408193171903813,602048292975950,602048292975950,602048292975951,602048292975951,602048292975951,2408193171903803,
1.50796447372310105095,898325108850692,898325108850692,898325108850692,3640692327519735,898325108850691,898325108850691,898325108850692,898325108850692,898325108850692,3640692327519762,
1.57079632679489655800,1633123935319535,1633123935319535,1633123935319535,222764643830296025,1633123935319534,1633123935319534,1633123935319535,1633123935319535,1633123935319535,222764643830295973,
1.63362817986669295323,9466940675105376793,9466940675105376793,9466940675105376793,9679418156813117461,9466940675105376794,9466940675105376794,9466940675105376793,9466940675105376793,9466940675105376793,15073388180502693,
1.69646003293848846027,945717000967686,945717000967686,945717000967686,3593300435402663,945717000967686,945717000967686,945717000967686,945717000967686,945717000967686,3593300435402704,
1.75929188601028485550,602048292975948,602048292975948,602048292975948,2408193171903797,602048292975947,602048292975947,602048292975948,602048292975948,602048292975948,2408193171903771,
1.82212373908208036255,421925687446144,421925687446144,421925687446144,1213666710468583,421925687446144,421925687446144,421925687446144,421925687446144,421925687446144,1213666710468591,
1.88495559215387586960,367970803897922,367970803897922,367970803897922,1471883215591696,367970803897921,367970803897921,367970803897922,367970803897922,367970803897922,1471883215591682,
1.94778744522567226483,248586020774660,248586020774660,248586020774660,994344083098636,248586020774660,248586020774660,248586020774660,248586020774660,248586020774660,994344083098645,
2.01061929829746777187,180415784668739,180415784668739,180415784668739,721663138674958,180415784668739,180415784668739,180415784668739,180415784668739,180415784668739,721663138674961,
2.07345115136926416710,275723813221664,275723813221664,275723813221663,821176691880767,275723813221663,275723813221663,275723813221664,275723813221664,275723813221664,821176691880771,
2.13628300444105967415,219095967131955,219095967131955,219095967131955,876383868527806,219095967131954,219095967131954,219095967131955,219095967131955,219095967131955,876383868527822,
2.19911485751285606938,179572874166240,179572874166240,179572874166240,718291496664930,179572874166239,179572874166239,179572874166240,179572874166240,179572874166240,718291496664975,
2.26194671058465157643,150951265056087,150951265056087,150951265056087,603805060224345,150951265056087,150951265056087,150951265056087,150951265056087,150951265056087,603805060224350,
2.32477856365644708347,129614056719278,129614056719278,129614056719278,518456226877089,129614056719278,129614056719278,129614056719278,129614056719278,129614056719278,518456226877125,
2.38761041672824347870,226673977599741,226673977599741,226673977599741,614449042492846,226673977599740,226673977599740,226673977599741,226673977599741,226673977599741,614449042492853,
2.45044226980003898575,201383969464620,201383969464620,201383969464620,805535877858475,201383969464620,201383969464620,201383969464620,201383969464620,201383969464620,805535877858486,
2.51327412287183538098,181457987688779,181457987688779,181457987688779,725831950755116,181457987688778,181457987688778,181457987688779,181457987688779,181457987688779,725831950755118,
2.57610597594363088803,165594170580723,165594170580723,165594170580723,662376682322895,165594170580722,165594170580722,165594170580723,165594170580723,165594170580723,662376682322892,
2.63893782901542639507,152878554072557,152878554072557,152878554072557,611514216290225,152878554072557,152878554072557,152878554072557,152878554072557,152878554072557,611514216290229,
2.70176968208722279030,285313380191358,285313380191358,285313380191358,693103454614818,285313380191357,285313380191357,285313380191358,285313380191358,285313380191358,693103454614818,
2.76460153515901829735,268905510907515,268905510907515,268905510907515,1075622043630068,268905510907515,268905510907515,268905510907515,268905510907515,268905510907515,1075622043630081,
2.82743338823081469258,255834408005689,255834408005689,255834408005689,1023337632022755,255834408005688,255834408005688,255834408005689,255834408005689,255834408005689,1023337632022755,
2.89026524130261019963,245584299202199,245584299202199,245584299202199,982337196808796,245584299202198,245584299202198,245584299202199,245584299202199,245584299202199,982337196808804,
2.95309709437440570667,475552437197501,475552437197501,475552437197501,1780497980652118,475552437197500,475552437197500,475552437197501,475552437197501,475552437197501,1780497980652124,
3.01592894744620210190,464273014292511,464273014292511,464273014292511,1857092057170032,464273014292510,464273014292510,464273014292511,464273014292511,464273014292511,1857092057170057,
3.07876080051799760895,913902303027714,913902303027714,913902303027714,3607713305914657,913902303027714,913902303027714,913902303027714,913902303027714,913902303027714,3607713305914678,
3.14159265358979400418,8959167687095731960,8959167687095731960,8959167687095731960,10790711150914956,8959167687095731960,8959167687095731960,8959167687095731960,8959167687095731960,8959167687095731960,10790711150914994,
