x,newlib,openlibm,matlab,maple,mpfr64,mpfr128,crlibm,intel-mkl,libmcr,mathematica,
-3.14159265358979311600,1,1,1,4368955796522032134,0,0,1,1,1,648954495786539,
-3.07876080051799716486,1,1,1,3,0,0,1,1,1,2,
-3.01592894744620121372,1,1,1,16,0,0,1,1,1,1,
-2.95309709437440570667,0,0,0,25,0,0,0,0,0,0,
-2.89026524130260975554,1,1,1,14,0,0,1,1,1,0,
-2.82743338823081380440,1,1,1,7,0,0,1,1,1,1,
-2.76460153515901785326,1,1,1,8,0,0,1,1,1,0,
-2.70176968208722190212,1,1,1,14,0,0,1,1,1,1,
-2.63893782901542639507,1,1,1,1,0,0,1,1,1,1,
-2.57610597594363044394,1,1,1,0,0,0,1,1,1,1,
-2.51327412287183449280,0,0,0,0,0,0,0,0,0,0,
-2.45044226980003854166,1,1,1,1,0,0,1,1,1,1,
-2.38761041672824259052,0,0,0,8,0,0,0,0,0,0,
-2.32477856365644708347,1,1,1,7,0,0,1,1,1,0,
-2.26194671058465068825,1,1,1,45,0,0,1,1,1,0,
-2.19911485751285518120,1,1,1,16,0,0,1,1,1,1,
-2.13628300444105923006,0,0,0,7,0,0,0,0,0,1,
-2.07345115136926327892,1,1,1,33,0,0,1,1,1,0,
-2.01061929829746777187,1,1,1,4,0,0,1,1,1,0,
-1.94778744522567159869,1,1,1,14,0,0,1,1,1,1,
-1.88495559215387586960,0,0,0,9,0,0,0,0,0,0,
-1.82212373908207991846,1,1,1,3,0,0,1,1,1,2,
-1.75929188601028396732,1,1,1,4,0,0,1,1,1,0,
-1.69646003293848823823,1,1,1,8,0,0,1,1,1,4,
-1.63362817986669228709,1,1,0,27,0,0,1,1,1,1,
-1.57079632679489633595,1,1,1,5104206703711172,0,0,1,1,1,795179243766938,
-1.50796447372310060686,1,1,1,18,0,0,1,1,1,2,
-1.44513262065130465572,1,1,1,19,0,0,1,1,1,2,
-1.38230076757950870459,1,1,1,2,0,0,1,1,1,1,
-1.31946891450771297549,1,1,1,15,0,0,1,1,1,0,
-1.25663706143591702435,1,1,1,2,0,0,1,1,1,1,
-1.19380520836412129526,1,1,1,10,0,0,1,1,1,1,
-1.13097335529232534412,1,1,1,4,0,0,1,1,1,1,
-1.06814150222052939299,0,0,0,23,0,0,0,0,0,0,
-1.00530964914873344185,1,1,1,44,0,0,1,1,1,1,
-0.94247779607693793480,1,1,1,16,0,0,1,1,1,1,
-0.87964594300514198366,1,1,1,40,0,0,1,1,1,1,
-0.81681408993334603252,1,1,1,7,0,0,1,1,1,1,
-0.75398223686155008139,0,0,0,8,0,0,0,0,0,0,
-0.69115038378975413025,0,0,0,9,0,0,0,0,0,0,
-0.62831853071795862320,0,0,1,8,0,0,0,0,0,1,
-0.56548667764616267206,1,1,1,0,0,0,1,1,1,1,
-0.50265482457436672092,0,0,0,8,0,0,0,0,0,0,
-0.43982297150257076979,1,1,1,3,0,0,1,1,1,1,
-0.37699111843077481865,1,1,1,16,0,0,1,1,1,1,
-0.31415926535897886751,0,0,0,15,0,0,0,0,0,0,
-0.25132741228718336046,0,0,0,13,0,0,0,0,0,0,
-0.18849555921538740932,1,1,1,21,0,0,1,1,1,0,
-0.12566370614359145819,1,1,1,33,0,0,1,1,1,1,
-0.06283185307179550705,0,0,0,29,0,0,0,0,0,0,
0.00000000000000044409,0,0,0,4377498837804122112,0,0,0,0,0,0,
0.06283185307179595114,1,1,1,12,0,0,1,1,1,1,
0.12566370614359190228,0,0,0,12,0,0,0,0,0,0,
0.18849555921538785341,0,0,0,1,0,0,0,0,0,0,
0.25132741228718380455,0,0,0,3,0,0,0,0,0,0,
0.31415926535897975569,0,0,0,14,0,0,0,0,0,0,
0.37699111843077570683,1,1,0,15,0,0,1,1,1,1,
0.43982297150257121388,1,1,1,11,0,0,1,1,1,1,
0.50265482457436716501,1,1,1,3,0,0,1,1,1,1,
