identity,x,y,newlib,openlibm,mpfr64,mpfr128,crlibm,intel-mkl,libmcr,mathematica,
pow(x*y,0.00000000000000000000,            0.000000,4607182418800017408,4607182418800017408,4607182418800017408,4607182418800017408,0,0,0,0,
pow(x*y,0.00000000000000000000,            0.000000,9007199254740992,9007199254740992,9007199254740992,9007199254740992,not_finite,not_finite,not_finite,0,
pow(x*y,0.00000000000000000000,            0.000000,4503599627370496,4503599627370496,4503599627370496,4503599627370496,0,0,0,0,
pow(x*y,0.00000000000000000000,            0.000000,9248423309782024192,9248423309782024192,9248423309782024192,9248423309782024192,0,0,0,0,
pow(x*y,0.00000000000000000000,            0.000000,25051272927248384,25051272927248384,25051272927248384,25051272927248384,0,0,0,0,
pow(x*y,0.00000000000000000000,            0.000000,9208059798121716122,9208059798121716122,9208059798121716122,9208059798121716122,0,0,0,0,
pow(x*y,0.00000000000000000000,            0.000000,8896360923788697318,8896360923788697318,8896360923788697318,8896360923788697318,1,1,1,0,
pow(x*y,0.00000000000000000000,            0.000000,317768545684280722,317768545684280722,317768545684280722,317768545684280722,0,0,0,0,
pow(x*y,0.00000000000000000000,            0.000000,4613937818241073152,4613937818241073152,4613937818241073152,4613937818241073152,0,0,0,0,
pow(x*y,0.00000000000000000000,            0.000000,4600427019358961663,4600427019358961663,4600427019358961663,4600427019358961663,not_finite,not_finite,not_finite,0,
