identity,x,y,newlib,openlibm,mpfr64,mpfr128,crlibm,intel-mkl,libmcr,mathematica,
cos(x-y)=sin(x)*sin(y)+cos(x)*cos(y),0.00000000000000000000,            1.570796,0,0,0,0,0,0,0,7734036154451642,
cos(x-y)=sin(x)*sin(y)+cos(x)*cos(y),1.57079632679489655800,            1.047198,0,0,0,0,0,0,0,0,
cos(x-y)=sin(x)*sin(y)+cos(x)*cos(y),1.04719755119659763132,            0.785398,0,0,0,0,0,0,0,0,
cos(x-y)=sin(x)*sin(y)+cos(x)*cos(y),0.78539816339744827900,            0.628319,0,0,0,0,0,0,0,0,
cos(x-y)=sin(x)*sin(y)+cos(x)*cos(y),0.62831853071795862320,            0.523599,0,0,0,0,0,0,1,0,
cos(x-y)=sin(x)*sin(y)+cos(x)*cos(y),0.52359877559829881566,            0.392699,1,1,0,0,1,1,0,0,
cos(x-y)=sin(x)*sin(y)+cos(x)*cos(y),0.39269908169872413950,            0.314159,0,0,0,0,0,0,0,0,
cos(x-y)=sin(x)*sin(y)+cos(x)*cos(y),0.31415926535897931160,            0.261799,0,0,0,0,0,0,0,0,
cos(x-y)=sin(x)*sin(y)+cos(x)*cos(y),0.26179938779914940783,            0.000000,0,0,0,0,0,0,0,0,
cos(x-y)=sin(x)*sin(y)+cos(x)*cos(y),10000000000000000000000.00000000000000000000,            0.000000,0,0,1157294565244775,0,0,0,0,0,
