x,newlib,openlibm,matlab,maple,mpfr64,mpfr128,crlibm,intel-mkl,libmcr,mathematica,
0.000000e+00,707423775202847,707423775202847,707423775202847,707423775202817,707423775202847,707423775202847,707423775202847,707423775202847,4609045633149472505,707423775202847,
0.000000e+00,5918447177776184,5918447177776184,4603834609746899168,4603834609746899168,5918447177776184,5918447177776184,4603834609746899168,4603834609746899168,4603834609746899168,4603834609746899168,
0.000000e+00,2381328301761963,2381328301761963,2122271325608533,2122271325608526,2381328301761963,2381328301761963,2122271325608533,2122271325608533,4612134385226437315,2122271325608533,
0.000000e+00,1886463400540919,1886463400540919,471615850135227,471615850135262,1886463400540919,1886463400540919,471615850135227,471615850135228,4607866593524134433,471615850135227,
0.000000e+00,471615850135229,471615850135229,1673904526559121,1673904526559108,471615850135229,471615850135229,1673904526559121,1673904526559121,4610224672774810581,1673904526559121,
0.000000e+00,2475983213209955,2475983213209955,2027616414160541,2027616414160544,2475983213209955,2475983213209955,2027616414160541,2027616414160542,4607277073711465397,2027616414160541,
0.000000e+00,1061135662804262,1061135662804262,1673904526559124,1673904526559113,1061135662804262,1061135662804262,1673904526559124,1673904526559124,4610814192587479614,1673904526559124,
0.000000e+00,3560367927100037,3560367927100037,3301310950946605,3301310950946604,3560367927100037,3560367927100037,3301310950946605,3301310950946605,4606192688997575315,3301310950946605,
0.000000e+00,1650655475473301,1650655475473301,1673904526559122,1673904526559112,1650655475473301,1650655475473301,1673904526559122,1673904526559122,4611403712400148653,1673904526559122,
0.000000e+00,3088752076964814,3088752076964814,4606664304847710538,3088752076964784,3088752076964814,3088752076964814,4606664304847710538,4606664304847710538,4606664304847710538,3088752076964814,
0.000000e+00,5918447177776184,5918447177776184,4603834609746899168,4603834609746899168,5918447177776184,5918447177776184,4603834609746899168,4603834609746899168,4603834609746899168,4603834609746899168,
0.000000e+00,5918447177776184,5918447177776184,4603834609746899168,4603834609746899168,5918447177776184,5918447177776184,4603834609746899168,4603834609746899168,4603834609746899168,4603834609746899168,
0.000000e+00,5918447177776184,5918447177776184,4603834609746899168,4603834609746899168,5918447177776184,5918447177776184,4603834609746899168,4603834609746899168,4603834609746899168,4603834609746899168,
