x,newlib,openlibm,matlab,maple,mpfr64,mpfr128,crlibm,intel-mkl,libmcr,mathematica,
-1.000000e+00,707423775202847,707423775202847,707423775202847,707423775202817,707423775202848,707423775202848,707423775202847,707423775202847,4609045633149472505,707423775202847,
-9.800000e-01,617200983079273,617200983079273,617200983079273,617200983079242,617200983079274,617200983079274,617200983079273,617200983079273,4608233628020360350,617200983079273,
-9.600000e-01,579614270754791,579614270754791,579614270754790,579614270754752,579614270754791,579614270754791,579614270754791,579614270754791,4607895347609439994,579614270754790,
-9.400000e-01,550623738836049,550623738836049,550623738836049,550623738836024,550623738836049,550623738836049,550623738836049,550623738836049,4607634432822171328,550623738836049,
-9.200000e-01,526056683794961,526056683794961,526056683794961,526056683794937,526056683794961,526056683794961,526056683794961,526056683794961,4607413329326801529,526056683794961,
-9.000000e-01,504299357048871,504299357048871,504299357048871,504299357048852,504299357048872,504299357048872,504299357048871,504299357048871,4607217513386086731,504299357048871,
-8.800000e-01,627397543317185,627397543317185,627397543317185,627397543317180,627397543317186,627397543317186,627397543317185,627397543317185,4606896674234396368,627397543317185,
-8.600000e-01,773647538401549,773647538401549,773647538401549,773647538401509,773647538401549,773647538401549,773647538401549,773647538401549,4606567611745456558,773647538401549,
-8.400000e-01,898272869731298,898272869731298,898272869731298,898272869731291,898272869731299,898272869731299,898272869731298,898272869731298,4606259675372858088,898272869731298,
-8.200000e-01,865962061171181,865962061171181,865962061171181,865962061171174,865962061171181,865962061171181,865962061171181,865962061171181,4605968878095817030,865962061171181,
-8.000000e-01,835233279650901,835233279650901,835233279650901,835233279650898,835233279650902,835233279650902,835233279650901,835233279650901,4605692319062134523,835233279650901,
-7.800000e-01,805843328223442,805843328223442,805843328223442,805843328223440,805843328223443,805843328223443,805843328223442,805843328223442,4605427809499287418,805843328223442,
-7.600000e-01,777603324617623,777603324617623,777603324617623,777603324617617,777603324617624,777603324617624,777603324617623,777603324617623,4605173649466835012,777603324617623,
-7.400000e-01,750363071080169,750363071080169,750363071080169,750363071080162,750363071080170,750363071080170,750363071080169,750363071080169,4604928487184997948,750363071080169,
-7.200000e-01,724000764805266,724000764805266,724000764805266,724000764805266,724000764805266,724000764805266,724000764805266,724000764805266,4604691226428523819,724000764805266,
-7.000000e-01,698415975360039,698415975360039,698415975360039,698415975360039,698415975360040,698415975360040,698415975360039,698415975360039,4604460963323516782,698415975360039,
-6.800000e-01,673524704563199,673524704563199,673524704563199,673524704563194,673524704563199,673524704563199,673524704563199,673524704563199,4604236941886345214,673524704563199,
-6.600000e-01,649255820571239,649255820571239,649255820571239,649255820571234,649255820571239,649255820571239,649255820571239,649255820571239,4604018521930417573,649255820571239,
-6.400000e-01,625548426057044,625548426057044,625548426057044,625548426057044,625548426057044,625548426057044,625548426057044,625548426057044,4603805155379789799,625548426057044,
-6.200000e-01,602349877789789,602349877789789,602349877789789,602349877789782,602349877789790,602349877789790,602349877789789,602349877789789,4603596368445384506,602349877789789,
-6.000000e-01,579614270754788,579614270754788,579614270754788,579614270754785,579614270754788,579614270754788,579614270754788,579614270754788,4603391747982069501,579614270754788,
-5.800000e-01,557301260150998,557301260150998,557301260150997,557301260150996,557301260150998,557301260150998,557301260150998,557301260150998,4603190930886635389,557301260150998,
-5.600000e-01,535375133479820,535375133479820,535375133479820,535375133479818,535375133479821,535375133479821,535375133479820,535375133479820,4602993595746594792,535375133479820,
-5.400000e-01,513804070666359,513804070666359,513804070666359,513804070666350,513804070666359,513804070666359,513804070666359,513804070666359,4602799456181273640,513804070666359,
-5.200000e-01,563123246920167,563123246920167,563123246920167,563123246920166,563123246920167,563123246920167,563123246920167,563123246920167,4602537691773919160,563123246920167,
-5.000000e-01,730672826288660,730672826288660,730672826288660,730672826288652,730672826288660,730672826288660,730672826288660,730672826288660,4602160705220340050,730672826288660,
-4.800000e-01,896002225407959,896002225407959,896002225407959,896002225407958,896002225407959,896002225407959,896002225407959,896002225407959,4601788714072321629,896002225407959,
-4.600000e-01,861079599173936,861079599173936,861079599173936,861079599173930,861079599173937,861079599173937,861079599173936,861079599173936,4601421336310471344,861079599173936,
-4.400000e-01,820733606294369,820733606294369,820733606294369,820733606294363,820733606294369,820733606294369,820733606294369,820733606294368,4601058222374555240,820733606294369,
-4.200000e-01,780825672780890,780825672780890,780825672780890,780825672780890,780825672780891,780825672780891,780825672780890,780825672780890,4600699050972933926,780825672780890,
-4.000000e-01,741322845842490,741322845842490,741322845842490,741322845842489,741322845842490,741322845842490,741322845842490,741322845842490,4600343525530488314,741322845842490,
-3.800000e-01,702194582220751,702194582220751,702194582220751,702194582220741,702194582220752,702194582220752,702194582220751,702194582220751,4599991371157892686,702194582220751,
-3.600000e-01,663412459061506,663412459061506,663412459061506,663412459061507,663412459061507,663412459061507,663412459061506,663412459061506,4599642332049459491,663412459061506,
-3.400000e-01,624949924172742,624949924172742,624949924172742,624949924172730,624949924172743,624949924172743,624949924172742,624949924172742,4599296169235460593,624949924172743,
-3.200000e-01,586782079041473,586782079041473,586782079041473,586782079041472,586782079041474,586782079041474,586782079041473,586782079041473,4598952658629279162,586782079041473,
-3.000000e-01,548885489234507,548885489234507,548885489234507,548885489234500,548885489234508,548885489234508,548885489234507,548885489234507,4598611589321016498,548885489234507,
-2.800000e-01,511238017792228,511238017792228,511238017792228,511238017792212,511238017792229,511238017792229,511238017792228,511238017792228,4598272762078035961,511238017792228,
-2.600000e-01,713050203342505,713050203342505,713050203342505,713050203342489,713050203342506,713050203342506,713050203342505,713050203342505,4597696756494598405,713050203342505,
-2.400000e-01,873215005141127,873215005141127,873215005141127,873215005141119,873215005141128,873215005141128,873215005141127,873215005141127,4597026955336805560,873215005141127,
-2.200000e-01,799170853339799,799170853339799,799170853339799,799170853339785,799170853339799,799170853339799,799170853339799,799170853339798,4596360557970593602,799170853339798,
-2.000000e-01,725468365631548,725468365631548,725468365631548,725468365631521,725468365631549,725468365631549,725468365631548,725468365631548,4595697235581219327,725468365631548,
-1.800000e-01,652072411514451,652072411514451,652072411514451,652072411514428,652072411514452,652072411514452,652072411514451,652072411514451,4595036671994165456,652072411514451,
-1.600000e-01,578949091804920,578949091804920,578949091804920,578949091804898,578949091804921,578949091804921,578949091804920,578949091804920,4594378562116779675,578949091804920,
-1.400000e-01,506065579957795,506065579957795,506065579957795,506065579957765,506065579957795,506065579957795,506065579957795,506065579957795,4593722610510155544,506065579957795,
-1.200000e-01,866779951247373,866779951247373,866779951247373,866779951247368,866779951247374,866779951247374,866779951247373,866779951247373,4592465440224391288,866779951247374,
-1.000000e-01,721782336988589,721782336988589,721782336988589,721782336988533,721782336988590,721782336988590,721782336988589,721782336988589,4591160461696062165,721782336988589,
-8.000000e-02,577077421435739,577077421435739,577077421435739,577077421435741,577077421435740,577077421435740,577077421435739,577077421435739,4589858117456086574,577077421435739,
