x,newlib,openlibm,matlab,mpfr64,mpfr128,crlibm,intel-mkl,libmcr,
-4.000000e+00,0,0,0,0,0,0,0,756588440305386,
-3.900000e+00,1,1,1,0,0,1,1,1913779172538555,
-3.800000e+00,0,0,0,0,0,0,0,3451380550661440,
-3.700000e+00,0,0,0,0,0,0,0,4761955162464145,
-3.600000e+00,1,1,1,0,0,1,1,5971694547429113,
-3.500000e+00,0,0,0,0,0,0,0,8080151768430334,
-3.400000e+00,0,0,0,0,0,0,0,10031665855425484,
-3.300000e+00,0,0,0,0,0,0,0,13504474839259724,
-3.200000e+00,1,1,1,0,0,1,0,19801193175568838,
-3.100000e+00,1,1,1,0,0,1,1,9194506157180773709,
-3.000000e+00,0,0,0,0,0,0,0,9202607822004501967,
-2.900000e+00,0,0,0,0,0,0,0,9206303304244713615,
-2.800000e+00,1,1,1,0,0,1,1,9208284490421696761,
-2.700000e+00,0,0,0,0,0,0,0,9210343128497463300,
-2.600000e+00,0,0,0,0,0,0,0,9211693373093864624,
-2.500000e+00,1,1,1,0,0,1,1,9212943206770739390,
-2.400000e+00,1,1,0,0,0,1,1,9214401018557661186,
-2.300000e+00,0,0,0,0,0,0,0,9215625316899146968,
-2.200000e+00,1,1,1,0,0,1,1,9216697665684786996,
-2.100000e+00,0,0,0,0,0,0,0,9218130854162700863,
-2.000000e+00,1,1,1,0,0,1,1,9219767664882552637,
-1.900000e+00,0,0,0,0,0,0,0,9221344818742202356,
-1.800000e+00,0,0,0,0,0,0,0,9223981208336808642,
-1.700000e+00,0,0,0,0,0,0,0,9227710006672714400,
-1.600000e+00,0,0,0,0,0,0,0,9237251967242988017,
-1.500000e+00,1,1,1,0,0,1,1,17100573320319195,
-1.400000e+00,1,1,1,0,0,1,1,11476870821099109,
-1.300000e+00,1,1,1,0,0,1,1,8875918527913267,
-1.200000e+00,1,1,1,0,0,1,1,6908340377757347,
-1.100000e+00,1,1,1,0,0,1,1,5849262243224953,
-1.000000e+00,1,1,1,0,0,1,1,4443302723761805,
-9.000000e-01,0,0,0,0,0,0,0,3578236067683705,
-8.000000e-01,1,1,1,0,0,1,1,3063153337289591,
-7.000000e-01,0,0,0,0,0,0,0,2085728821486590,
-6.000000e-01,0,0,0,0,0,0,0,1294490430151464,
-5.000000e-01,1,1,1,0,0,1,1,1071922210245626,
-4.000000e-01,1,1,1,0,0,1,1,761772016754455,
-3.000000e-01,0,0,0,0,0,0,0,322087629875857,
-2.000000e-01,1,1,1,0,0,1,1,191474164772830,
-1.000000e-01,0,0,0,0,0,0,0,47991769546547,
0.000000e+00,0,0,0,0,0,0,0,0,
1.000000e-01,0,0,0,0,0,0,0,47991769546548,
2.000000e-01,1,1,1,0,0,1,1,191474164772833,
3.000000e-01,1,1,1,0,0,1,1,322087629875858,
4.000000e-01,0,0,0,0,0,0,0,761772016754458,
5.000000e-01,0,0,0,0,0,0,0,1071922210245627,
6.000000e-01,0,0,0,0,0,0,0,1294490430151471,
7.000000e-01,1,1,0,0,0,1,0,2085728821486595,
8.000000e-01,0,0,0,0,0,0,0,3063153337289595,
9.000000e-01,0,0,0,0,0,0,0,3578236067683708,
1.000000e+00,0,0,0,0,0,0,0,4443302723761806,
1.100000e+00,1,1,1,0,0,1,1,5849262243224970,
1.200000e+00,1,1,1,0,0,1,1,6908340377757354,
1.300000e+00,0,0,0,0,0,0,0,8875918527913293,
1.400000e+00,1,1,1,0,0,1,1,11476870821099126,
1.500000e+00,0,0,0,0,0,0,0,17100573320319196,
1.600000e+00,1,1,1,0,0,1,1,9237251967242987871,
1.700000e+00,0,0,0,0,0,0,0,9227710006672714370,
1.800000e+00,0,0,0,0,0,0,0,9223981208336808623,
1.900000e+00,0,0,0,0,0,0,0,9221344818742202346,
2.000000e+00,0,0,0,0,0,0,0,9219767664882552636,
2.100000e+00,0,0,1,0,0,0,0,9218130854162700847,
2.200000e+00,0,0,0,0,0,0,0,9216697665684786995,
2.300000e+00,0,0,0,0,0,0,0,9215625316899146959,
2.400000e+00,1,1,1,0,0,1,1,9214401018557661177,
2.500000e+00,0,0,0,0,0,0,0,9212943206770739389,
2.600000e+00,0,0,0,0,0,0,0,9211693373093864613,
2.700000e+00,1,1,1,0,0,1,1,9210343128497463299,
2.800000e+00,1,1,1,0,0,1,1,9208284490421696742,
2.900000e+00,0,0,0,0,0,0,0,9206303304244713598,
3.000000e+00,1,1,1,0,0,1,1,9202607822004501966,
3.100000e+00,1,1,0,0,0,1,0,9194506157180773643,
3.200000e+00,0,0,0,0,0,0,1,19801193175568837,
3.300000e+00,0,0,0,0,0,0,0,13504474839259691,
3.400000e+00,1,1,1,0,0,1,1,10031665855425474,
3.500000e+00,1,1,1,0,0,1,1,8080151768430333,
3.600000e+00,0,0,0,0,0,0,0,5971694547429102,
3.700000e+00,1,1,1,0,0,1,1,4761955162464144,
3.800000e+00,1,1,1,0,0,1,1,3451380550661426,
3.900000e+00,0,0,0,0,0,0,0,1913779172538547,
4.000000e+00,1,1,1,0,0,1,1,756588440305385,
-1.797693e+308,1,1,1,0,0,1,1,9182123893886206365,
-1.617924e+308,1,1,1,0,0,1,1,9216351733787203450,
-1.438155e+308,1,1,1,0,0,1,1,9233757087848144547,
-1.258385e+308,1,1,1,0,0,1,1,1448229686577445,
-1.078616e+308,1,1,1,0,0,1,1,6727876164478375,
-8.988466e+307,1,1,1,0,0,1,1,36045344454182139,
-7.190773e+307,1,1,1,0,0,1,1,9204504769200320189,
-5.393079e+307,1,1,1,0,0,1,1,9218115461784655601,
-3.595386e+307,1,1,1,0,0,1,1,13744798973186170,
-1.797693e+307,1,1,1,0,0,1,1,3237775448907143,
1.797693e+307,0,0,0,0,0,0,0,9213830270829815154,
3.595386e+307,0,0,0,0,0,0,0,9222106825558628676,
5.393079e+307,0,0,0,0,0,0,0,19717876129585639,
7.190773e+307,0,0,0,0,0,0,0,2234527842347890,
8.988466e+307,0,0,0,0,0,0,0,36045344454182140,
1.078616e+308,0,0,0,0,0,0,0,15184273332236966,
1.258385e+308,0,0,0,0,0,0,0,1448229686577444,
1.438155e+308,0,0,0,0,0,0,0,9233757087848144546,
