x,y,newlib,openlibm,matlab,mpfr64,mpfr128,intel-mkl,mathematica,
-1.000000e+00,-1.000000e+00,1,1,1,0,0,1,1,
-8.000000e-01,-1.000000e+00,0,0,0,0,0,0,0,
-6.000000e-01,-1.000000e+00,1,1,1,0,0,1,1,
-4.000000e-01,-1.000000e+00,1,1,1,0,0,1,1,
-2.000000e-01,-1.000000e+00,0,0,0,0,0,0,0,
0.000000e+00,-1.000000e+00,0,0,0,0,0,0,0,
2.000000e-01,-1.000000e+00,0,0,0,0,0,0,0,
4.000000e-01,-1.000000e+00,0,0,0,0,0,0,0,
6.000000e-01,-1.000000e+00,1,1,1,0,0,1,1,
8.000000e-01,-1.000000e+00,1,1,1,0,0,1,1,
1.000000e+00,-1.000000e+00,0,0,0,0,0,0,0,
-1.000000e+00,-8.000000e-01,0,0,0,0,0,0,0,
-8.000000e-01,-8.000000e-01,1,1,1,0,0,1,1,
-6.000000e-01,-8.000000e-01,1,1,1,0,0,1,1,
-4.000000e-01,-8.000000e-01,0,0,1,0,0,0,0,
-2.000000e-01,-8.000000e-01,0,0,1,0,0,0,0,
0.000000e+00,-8.000000e-01,0,0,0,0,0,0,0,
2.000000e-01,-8.000000e-01,1,1,1,0,0,1,1,
4.000000e-01,-8.000000e-01,0,0,0,0,0,0,0,
6.000000e-01,-8.000000e-01,1,1,1,0,0,1,1,
8.000000e-01,-8.000000e-01,0,0,0,0,0,0,0,
1.000000e+00,-8.000000e-01,1,1,1,0,0,1,1,
-1.000000e+00,-6.000000e-01,1,1,1,0,0,1,1,
-8.000000e-01,-6.000000e-01,1,1,1,0,0,1,1,
-6.000000e-01,-6.000000e-01,1,1,1,0,0,1,1,
-4.000000e-01,-6.000000e-01,1,1,1,0,0,1,1,
-2.000000e-01,-6.000000e-01,1,1,1,0,0,1,1,
0.000000e+00,-6.000000e-01,0,0,0,0,0,0,0,
2.000000e-01,-6.000000e-01,1,1,1,0,0,1,1,
4.000000e-01,-6.000000e-01,1,1,0,0,0,0,1,
6.000000e-01,-6.000000e-01,1,1,1,0,0,1,1,
8.000000e-01,-6.000000e-01,0,0,0,0,0,0,0,
1.000000e+00,-6.000000e-01,0,0,0,0,0,0,0,
-1.000000e+00,-4.000000e-01,0,0,0,0,0,0,0,
-8.000000e-01,-4.000000e-01,0,0,0,0,0,0,0,
-6.000000e-01,-4.000000e-01,1,1,1,0,0,1,1,
-4.000000e-01,-4.000000e-01,1,1,1,0,0,1,1,
-2.000000e-01,-4.000000e-01,1,1,1,0,0,1,1,
0.000000e+00,-4.000000e-01,0,0,0,0,0,0,0,
2.000000e-01,-4.000000e-01,0,0,0,0,0,0,0,
4.000000e-01,-4.000000e-01,1,1,1,0,0,1,1,
6.000000e-01,-4.000000e-01,0,0,0,0,0,0,0,
8.000000e-01,-4.000000e-01,1,1,1,0,0,1,1,
1.000000e+00,-4.000000e-01,1,1,1,0,0,1,1,
-1.000000e+00,-2.000000e-01,0,0,0,0,0,0,0,
-8.000000e-01,-2.000000e-01,0,0,0,0,0,0,0,
-6.000000e-01,-2.000000e-01,1,1,0,0,0,1,1,
-4.000000e-01,-2.000000e-01,1,1,1,0,0,1,1,
-2.000000e-01,-2.000000e-01,1,1,1,0,0,1,1,
0.000000e+00,-2.000000e-01,0,0,0,0,0,0,0,
2.000000e-01,-2.000000e-01,1,1,1,0,0,1,1,
4.000000e-01,-2.000000e-01,1,1,1,0,0,1,1,
6.000000e-01,-2.000000e-01,0,0,1,0,0,0,0,
8.000000e-01,-2.000000e-01,1,1,1,0,0,1,1,
1.000000e+00,-2.000000e-01,1,1,1,0,0,1,1,
-1.000000e+00,0.000000e+00,1,1,1,0,0,1,1,
-8.000000e-01,0.000000e+00,1,1,1,0,0,1,1,
-6.000000e-01,0.000000e+00,1,1,1,0,0,1,1,
-4.000000e-01,0.000000e+00,1,1,1,0,0,1,1,
-2.000000e-01,0.000000e+00,1,1,1,0,0,1,1,
0.000000e+00,0.000000e+00,0,0,0,0,0,0,not_finite,
2.000000e-01,0.000000e+00,0,0,0,0,0,0,0,
4.000000e-01,0.000000e+00,0,0,0,0,0,0,0,
6.000000e-01,0.000000e+00,0,0,0,0,0,0,0,
8.000000e-01,0.000000e+00,0,0,0,0,0,0,0,
1.000000e+00,0.000000e+00,0,0,0,0,0,0,0,
-1.000000e+00,2.000000e-01,1,1,1,0,0,1,1,
-8.000000e-01,2.000000e-01,0,0,0,0,0,0,0,
-6.000000e-01,2.000000e-01,0,0,0,0,0,0,0,
-4.000000e-01,2.000000e-01,1,1,1,0,0,1,1,
-2.000000e-01,2.000000e-01,1,1,1,0,0,1,1,
0.000000e+00,2.000000e-01,0,0,0,0,0,0,0,
2.000000e-01,2.000000e-01,0,0,0,0,0,0,0,
4.000000e-01,2.000000e-01,0,0,0,0,0,0,0,
6.000000e-01,2.000000e-01,1,1,1,0,0,1,1,
8.000000e-01,2.000000e-01,1,1,1,0,0,1,1,
1.000000e+00,2.000000e-01,0,0,0,0,0,0,0,
-1.000000e+00,4.000000e-01,0,0,0,0,0,0,0,
-8.000000e-01,4.000000e-01,0,0,0,0,0,0,0,
-6.000000e-01,4.000000e-01,0,0,0,0,0,0,0,
-4.000000e-01,4.000000e-01,0,0,0,0,0,0,0,
-2.000000e-01,4.000000e-01,1,1,1,0,0,1,0,
0.000000e+00,4.000000e-01,0,0,0,0,0,0,0,
2.000000e-01,4.000000e-01,0,0,0,0,0,0,1,
4.000000e-01,4.000000e-01,0,0,0,0,0,0,0,
6.000000e-01,4.000000e-01,0,0,1,0,0,0,0,
8.000000e-01,4.000000e-01,1,1,1,0,0,1,1,
1.000000e+00,4.000000e-01,1,1,1,0,0,1,1,
-1.000000e+00,6.000000e-01,0,0,0,0,0,0,0,
-8.000000e-01,6.000000e-01,1,1,1,0,0,1,1,
-6.000000e-01,6.000000e-01,1,1,1,0,0,1,1,
-4.000000e-01,6.000000e-01,0,0,0,0,0,0,0,
-2.000000e-01,6.000000e-01,1,1,1,0,0,1,1,
0.000000e+00,6.000000e-01,0,0,0,0,0,0,0,
2.000000e-01,6.000000e-01,0,0,0,0,0,0,0,
4.000000e-01,6.000000e-01,0,0,0,0,0,0,0,
6.000000e-01,6.000000e-01,0,0,0,0,0,0,0,
8.000000e-01,6.000000e-01,0,0,0,0,0,0,0,
1.000000e+00,6.000000e-01,1,1,1,0,0,1,1,
-1.000000e+00,8.000000e-01,1,1,1,0,0,1,1,
-8.000000e-01,8.000000e-01,1,1,1,0,0,1,1,
-6.000000e-01,8.000000e-01,0,0,1,0,0,0,0,
-4.000000e-01,8.000000e-01,1,1,0,0,0,1,1,
-2.000000e-01,8.000000e-01,1,1,0,0,0,1,1,
0.000000e+00,8.000000e-01,0,0,0,0,0,0,0,
2.000000e-01,8.000000e-01,0,0,1,0,0,0,1,
4.000000e-01,8.000000e-01,0,0,0,0,0,0,0,
