x,newlib,openlibm,matlab,maple,mpfr64,mpfr128,crlibm,intel-mkl,libmcr,mathematica,
0.000000e+00,0,0,0,0,0,0,0,0,0,0,
1.570796e+00,1210899032342047,1210899032342047,1210899032342047,4363241297862319592,1210899032342046,1210899032342046,1210899032342047,1210899032342047,1210899032342047,6523137122109595,
1.047198e+00,1,1,1,18,0,0,1,1,1,1,
5.235988e-01,1,1,1,5,0,0,1,1,1,1,
7.853982e-01,1,1,1,6,2,2,1,1,1,1,
3.926991e-01,1,1,1,6,1,1,1,1,1,1,
6.283185e-01,2,2,2,2,1,1,2,2,2,2,
3.141593e-01,1,1,1,4,1,1,1,1,1,1,
2.617994e-01,2,2,2,1,1,1,2,2,2,2,
1.000000e+22,733439767306046,733439767306046,733439767306046,4602154479603050934,733439767306045,733439767306045,733439767306046,733439767306046,733439767306046,733439767306046,
