x,newlib,openlibm,matlab,maple,mpfr64,mpfr128,crlibm,intel-mkl,libmcr,mathematica,
-3.141593e+00,0,0,0,0,0,0,0,0,0,0,
-3.078761e+00,0,0,0,5,0,0,0,0,0,0,
-3.015929e+00,1,1,1,8,0,0,1,1,1,1,
-2.953097e+00,0,0,0,6,0,0,0,0,0,0,
-2.890265e+00,1,1,1,2,0,0,1,1,1,1,
-2.827433e+00,1,1,1,6,0,0,1,1,1,1,
-2.764602e+00,0,0,0,3,0,0,0,0,0,0,
-2.701770e+00,1,1,1,4,0,0,1,1,1,1,
-2.638938e+00,1,1,1,6,0,0,1,1,1,1,
-2.576106e+00,0,0,0,10,0,0,0,0,0,0,
-2.513274e+00,1,1,1,4,0,0,1,1,1,1,
-2.450442e+00,0,0,0,10,0,0,0,0,0,0,
-2.387610e+00,1,1,1,4,0,0,1,1,1,1,
-2.324779e+00,1,1,1,8,0,0,1,1,1,1,
-2.261947e+00,0,0,0,4,0,0,0,0,0,0,
-2.199115e+00,1,1,1,10,0,0,1,1,1,1,
-2.136283e+00,1,1,1,5,0,0,1,1,1,1,
-2.073451e+00,1,1,1,20,0,0,1,1,1,1,
-2.010619e+00,1,1,1,14,0,0,1,1,1,0,
-1.947787e+00,1,1,1,3,0,0,1,1,1,1,
-1.884956e+00,1,1,1,7,0,0,1,1,1,0,
-1.822124e+00,1,1,1,24,0,0,1,1,1,1,
-1.759292e+00,1,1,1,15,0,0,1,1,1,1,
-1.696460e+00,0,0,0,41,0,0,0,0,0,2,
-1.633628e+00,0,0,0,13,0,0,0,0,0,1,
-1.570796e+00,1,1,1,8332262628278037,0,0,1,1,1,729241397489057,
-1.507964e+00,1,1,1,37,0,0,1,1,1,1,
-1.445133e+00,1,1,1,16,0,0,1,1,1,1,
-1.382301e+00,0,0,0,34,0,0,0,0,0,1,
-1.319469e+00,0,0,0,35,0,0,0,0,0,1,
-1.256637e+00,0,0,0,12,0,0,0,0,0,1,
-1.193805e+00,1,1,1,1,0,0,1,1,1,1,
-1.130973e+00,0,0,0,3,0,0,0,0,0,1,
-1.068142e+00,1,1,1,9,0,0,1,1,1,1,
-1.005310e+00,1,1,1,1,0,0,1,1,1,1,
-9.424778e-01,0,0,0,1,0,0,0,0,0,0,
-8.796459e-01,1,1,1,7,0,0,1,1,1,1,
-8.168141e-01,1,1,1,7,0,0,1,1,1,1,
-7.539822e-01,1,1,1,6,0,0,1,1,1,1,
-6.911504e-01,1,1,1,3,0,0,1,1,1,1,
-6.283185e-01,1,1,1,3,0,0,1,1,1,1,
-5.654867e-01,1,1,1,1,0,0,1,1,1,1,
-5.026548e-01,1,1,1,5,0,0,1,1,1,1,
-4.398230e-01,1,1,1,5,0,0,1,1,1,1,
-3.769911e-01,1,1,1,4,0,0,1,1,1,1,
-3.141593e-01,1,1,1,6,0,0,1,1,1,1,
-2.513274e-01,1,1,1,1,0,0,1,1,1,1,
-1.884956e-01,1,1,1,5,0,0,1,1,1,1,
-1.256637e-01,1,1,1,7,0,0,1,1,1,1,
-6.283185e-02,0,0,0,5,0,0,0,0,0,0,
4.440892e-16,1,1,1,1,0,0,1,1,1,1,
6.283185e-02,1,1,1,4,0,0,1,1,1,1,
1.256637e-01,0,0,0,7,0,0,0,0,0,0,
1.884956e-01,0,0,0,5,0,0,0,0,0,0,
2.513274e-01,1,1,1,0,0,0,1,1,1,1,
3.141593e-01,0,0,0,4,0,0,0,0,0,0,
3.769911e-01,1,1,1,1,0,0,1,1,1,1,
4.398230e-01,1,1,1,3,0,0,1,1,1,1,
5.026548e-01,1,1,1,3,0,0,1,1,1,1,
5.654867e-01,0,0,0,8,0,0,0,0,0,0,
6.283185e-01,1,1,1,not_finite,0,0,1,1,1,not_finite,
6.911504e-01,1,1,1,7,0,0,1,1,1,1,
7.539822e-01,1,1,1,3,0,0,1,1,1,1,
8.168141e-01,1,1,1,4,0,0,1,1,1,1,
8.796459e-01,0,0,0,4,0,0,0,0,0,0,
9.424778e-01,0,0,0,1,0,0,0,0,0,0,
1.005310e+00,1,1,1,1,0,0,1,1,1,1,
1.068142e+00,1,1,1,2,0,0,1,1,1,2,
1.130973e+00,1,1,1,0,0,0,1,1,1,1,
1.193805e+00,1,1,1,12,0,0,1,1,1,1,
1.256637e+00,0,0,0,8,0,0,0,0,0,1,
1.319469e+00,1,1,1,11,0,0,1,1,1,2,
1.382301e+00,1,1,1,18,0,0,1,1,1,2,
1.445133e+00,0,0,0,21,0,0,0,0,0,2,
1.507964e+00,1,1,1,5,0,0,1,1,1,3,
1.570796e+00,1,1,1,4364452196894661638,0,0,1,1,1,7734036154451641,
1.633628e+00,0,0,0,11,0,0,0,0,0,3,
1.696460e+00,0,0,0,49,0,0,0,0,0,1,
1.759292e+00,0,0,0,10,0,0,0,0,0,1,
1.822124e+00,0,0,0,39,0,0,0,0,0,1,
1.884956e+00,1,1,1,7,0,0,1,1,1,0,
1.947787e+00,1,1,1,8,0,0,1,1,1,0,
2.010619e+00,1,1,1,14,0,0,1,1,1,0,
2.073451e+00,1,1,1,16,0,0,1,1,1,0,
2.136283e+00,0,0,0,1,0,0,0,0,0,0,
2.199115e+00,0,0,0,7,0,0,0,0,0,0,
2.261947e+00,0,0,0,1,0,0,0,0,0,0,
2.324779e+00,1,1,1,8,0,0,1,1,1,1,
2.387610e+00,0,0,0,0,0,0,0,0,0,0,
2.450442e+00,1,1,1,4,0,0,1,1,1,1,
2.513274e+00,0,0,0,8,0,0,0,0,0,0,
2.576106e+00,1,1,1,4,0,0,1,1,1,1,
2.638938e+00,1,1,1,6,0,0,1,1,1,1,
2.701770e+00,0,0,0,7,0,0,0,0,0,0,
2.764602e+00,1,1,1,5,0,0,1,1,1,1,
2.827433e+00,0,0,0,8,0,0,0,0,0,0,
2.890265e+00,1,1,1,3,0,0,1,1,1,1,
2.953097e+00,0,0,0,6,0,0,0,0,0,0,
3.015929e+00,1,1,1,9,0,0,1,1,1,1,
3.078761e+00,1,1,1,6,0,0,1,1,1,1,
3.141593e+00,0,0,0,0,0,0,0,0,0,0,
