x,newlib,openlibm,matlab,maple,mpfr64,mpfr128,crlibm,intel-mkl,libmcr,mathematica,
-1.000000e+02,1,1,1,152610947915,0,0,1,1,1,1,
-9.800000e+01,0,0,0,3050651582109,0,0,0,0,0,0,
-9.600000e+01,1,1,1,3429377574436,0,0,1,1,1,1,
-9.400000e+01,0,0,0,3082695283869,0,0,0,0,0,0,
-9.200000e+01,1,1,1,5203034153907,0,0,1,1,1,1,
-9.000000e+01,0,0,0,2459731349054,0,0,0,0,0,0,
-8.800000e+01,0,0,0,3526192090924,0,0,0,0,0,0,
-8.600000e+01,0,0,0,7239712337668,0,0,0,0,0,0,
-8.400000e+01,1,1,1,10294953621396,0,0,1,1,1,1,
-8.200000e+01,1,1,1,7784412090468,0,0,1,1,1,1,
-8.000000e+01,1,1,0,18151196875267,0,0,1,1,1,1,
-7.800000e+01,1,1,1,16905788080652,0,0,1,1,1,1,
-7.600000e+01,0,0,0,2428832221680,0,0,0,0,0,0,
-7.400000e+01,0,0,0,942798864765,0,0,0,0,0,0,
-7.200000e+01,0,0,0,170045734812,0,0,0,0,0,0,
-7.000000e+01,1,1,1,5195483140470,0,0,1,1,1,1,
-6.800000e+01,0,0,0,7187300502496,0,0,0,0,0,0,
-6.600000e+01,1,1,1,1862598571714,0,0,1,1,1,1,
-6.400000e+01,1,1,1,16997139820932,0,0,1,1,1,1,
-6.200000e+01,0,0,0,27514301309536,0,0,0,0,0,0,
-6.000000e+01,0,0,0,2431643501316,0,0,0,0,0,0,
-5.800000e+01,0,0,0,204649100000,0,0,0,0,0,0,
-5.600000e+01,0,0,0,972264454185,0,0,0,0,0,0,
-5.400000e+01,1,1,1,3577827080452,0,0,1,1,1,1,
-5.200000e+01,0,0,0,949624870624,0,0,0,0,0,0,
-5.000000e+01,1,1,1,5317558673114,0,0,1,1,1,1,
-4.800000e+01,1,1,1,25712146424195,0,0,1,1,1,1,
-4.600000e+01,0,0,0,20348724408742,0,0,0,0,0,0,
-4.400000e+01,1,1,1,940629133138,0,0,1,1,1,1,
-4.200000e+01,1,1,1,496109121553,0,0,1,1,1,1,
-4.000000e+01,0,0,0,2136298769858,0,0,0,0,0,0,
-3.800000e+01,0,0,0,1407125351473,0,0,0,0,0,0,
-3.600000e+01,1,1,1,967815245041,0,0,1,1,1,1,
-3.400000e+01,1,1,1,19818102360734,0,0,1,1,1,1,
-3.200000e+01,0,0,0,22712781599809,0,0,0,0,0,0,
-3.000000e+01,1,1,1,1883278110322,0,0,1,1,1,1,
-2.800000e+01,1,1,1,4357654846731,0,0,1,1,1,1,
-2.600000e+01,1,1,1,1127728635076,0,0,1,1,1,1,
-2.400000e+01,0,0,0,7528928057844,0,0,0,0,0,0,
-2.200000e+01,0,0,0,1028858023031,0,0,0,0,0,0,
-2.000000e+01,1,1,1,2789287904118,0,0,1,1,1,1,
-1.800000e+01,1,1,1,9060821862137,0,0,1,1,1,1,
-1.600000e+01,1,1,1,35121205218581,0,0,1,1,1,1,
-1.400000e+01,0,0,0,4451122218656,0,0,0,0,0,0,
-1.200000e+01,1,1,1,2778319564,0,0,1,1,1,1,
-1.000000e+01,1,1,0,4392167528,0,0,1,1,1,1,
-8.000000e+00,1,1,1,6863987135,0,0,1,1,1,1,
-6.000000e+00,1,1,1,407364887,0,0,1,1,1,1,
-4.000000e+00,0,0,0,32070190,0,0,0,0,0,0,
-2.000000e+00,1,1,1,8524870,0,0,1,1,1,1,
0.000000e+00,0,0,0,0,0,0,0,0,0,0,
2.000000e+00,1,1,1,78082,0,0,1,1,1,1,
4.000000e+00,0,0,0,442512,0,0,0,0,0,0,
6.000000e+00,0,0,0,127805,0,0,0,0,0,0,
8.000000e+00,1,1,1,91761,0,0,1,1,1,1,
1.000000e+01,1,1,1,1321260,0,0,1,1,1,1,
1.200000e+01,0,0,0,8425302688614,0,0,0,0,0,0,
1.400000e+01,1,1,1,11185315317206,0,0,1,1,1,1,
1.600000e+01,0,0,0,2088148402144,0,0,0,0,0,0,
1.800000e+01,0,0,0,5372851437379,0,0,0,0,0,0,
2.000000e+01,0,0,0,129736911218075652,0,0,0,0,0,129736911218075652,
2.200000e+01,1,1,1,142626095966205439,0,0,1,1,1,142626095966205439,
2.400000e+01,0,0,0,12946959153717175,0,0,0,0,0,12936656168626615,
2.600000e+01,1,1,0,12977650723875676,0,0,1,1,1,12980502292269989,
2.800000e+01,0,0,0,13012139817449370,0,0,0,0,0,13020999975685181,
5.074054e-321,0,0,194622659335301357,181579585467449344,0,0,194622659335301357,194622659335301357,194622659335301357,181564254402787226,
3.200000e+01,0,0,0,13086028333803052,0,0,0,0,0,13092953348062527,
3.400000e+01,0,0,0,13122492822331127,0,0,0,0,0,13124863370639563,
3.600000e+01,0,0,0,12965662348971382,0,0,0,0,0,12961968408751743,
3.800000e+01,0,0,0,12854781821389927,0,0,0,0,0,12852318727159537,
4.000000e+01,1,1,0,12891588470768362,0,0,1,1,1,12902605531489923,
4.200000e+01,0,0,0,12961091622425945,0,0,0,0,0,12949052033769070,
4.400000e+01,1,1,1,12989119250450993,0,0,1,1,1,12991951510136536,
4.600000e+01,0,0,0,13007942083162787,0,0,0,0,0,13031574839823281,
4.800000e+01,0,0,0,13065803697859803,0,0,0,0,0,13068172215558504,
5.000000e+01,0,0,0,13099484421916969,0,0,0,0,0,13101974723356154,
5.200000e+01,1,1,1,13137683343414932,0,0,1,1,1,13133195801656326,
5.400000e+01,1,1,1,12877785719368656,0,0,1,1,1,12876584088875758,
5.600000e+01,0,0,0,12868780474576666,0,0,0,0,0,12866535455871852,
5.800000e+01,0,0,0,12921918661637297,0,0,0,0,0,12915736557239746,
5.078995e-321,0,0,389453326217198694,376512919397650630,0,0,389453326217198694,389453326217198694,389453326217198694,376492145947691881,
6.200000e+01,0,0,1,13014838083488691,0,0,0,0,0,13003153536917441,
6.400000e+01,0,0,0,13040725709503186,0,0,0,0,0,13041921390361510,
6.600000e+01,1,1,1,13073316735552614,0,0,1,1,1,13077728620853177,
6.800000e+01,1,1,1,13107602898747161,0,0,1,1,1,13110801325209461,
7.000000e+01,0,0,0,13112142025930587,0,0,0,0,0,13106065393497095,
7.200000e+01,0,0,0,12812121078872878,0,0,0,0,0,12828326175091864,
7.400000e+01,0,0,1,12874546606469342,0,0,0,0,0,12880445242341855,
7.600000e+01,1,1,1,12947363390195317,0,0,1,1,1,12928584081308620,
7.800000e+01,1,1,0,13006356037836323,0,0,1,1,1,12973046654016472,
8.000000e+01,0,0,0,13012740673279720,0,0,0,0,0,13014113709521610,
8.200000e+01,0,0,0,13052719347151345,0,0,0,0,0,13052044556639781,
8.400000e+01,1,1,1,13092495595071707,0,0,1,1,1,13087078701294296,
8.600000e+01,0,0,0,13111098018254380,0,0,0,0,0,13119437358823079,
8.800000e+01,0,0,0,13007504280489563,0,0,0,0,0,13017569988609693,
9.000000e+01,1,1,1,12851723169996031,0,0,1,1,1,12843060908183350,
9.200000e+01,0,0,0,12896723491445791,0,0,0,0,0,12894054713518825,
9.400000e+01,1,1,1,12939192487182590,0,0,1,1,1,12941154224559047,
9.600000e+01,0,0,0,12987940971518055,0,0,0,0,0,12984656840722597,
9.800000e+01,1,1,1,13029306979542059,0,0,1,1,1,13024837249632937,
1.000000e+02,1,1,1,13058671050635287,0,0,1,1,1,13061949161572496,
