x,y,newlib,openlibm,matlab,mpfr64,mpfr128,mathematica,
3.000000e+00,0.000000e+00,not_finite,not_finite,not_finite,not_finite,not_finite,not_finite,
3.000000e+00,0.000000e+00,not_finite,not_finite,2251799813685248,not_finite,not_finite,2251799813685248,
1.200000e+01,0.000000e+00,not_finite,not_finite,5629499534213120,not_finite,not_finite,3377699720527872,
0.000000e+00,0.000000e+00,not_finite,not_finite,2251799813685248,not_finite,not_finite,2251799813685248,
8.000000e+00,0.000000e+00,4503599627370496,4503599627370496,4607182418800017408,4503599627370496,4503599627370496,4611686018427387904,
1.100000e+01,0.000000e+00,4503599627370496,4503599627370496,4609434218613702656,4503599627370496,4503599627370496,4609434218613702656,
1.400000e+01,0.000000e+00,2251799813685248,2251799813685248,2251799813685248,2251799813685248,2251799813685248,2251799813685248,
2.225074e-308,0.000000e+00,0,0,0,0,0,9218868437227405311,
2.225074e-308,0.000000e+00,2251799813685248,2251799813685248,2251799813685248,2251799813685248,2251799813685248,2251799813685248,
-2.225074e-308,0.000000e+00,2251799813685248,2251799813685248,2251799813685248,2251799813685248,2251799813685248,2251799813685248,
1.797693e+308,0.000000e+00,2251799813685248,2251799813685248,2251799813685248,2251799813685248,2251799813685248,2251799813685248,
2.225074e-308,0.000000e+00,0,0,0,0,0,0,
-2.225074e-308,0.000000e+00,0,0,0,0,0,0,
