x,y,newlib,openlibm,matlab,mpfr64,mpfr128,intel-mkl,
4.000000e+00,0.000000e+00,0,0,0,0,0,0,
5.000000e+00,0.000000e+00,0,0,0,0,0,0,
5.069114e-321,0.000000e+00,2533274790395904,2533274790395904,2251799813685248,2533274790395904,2533274790395904,2251799813685248,
7.000000e+00,0.000000e+00,0,0,0,0,0,0,
2.000000e+01,0.000000e+00,0,0,0,0,0,0,
3.500000e+01,0.000000e+00,0,0,0,0,0,0,
9.000000e+00,0.000000e+00,0,0,0,0,0,0,
2.800000e+01,0.000000e+00,0,0,0,0,0,0,
9.500000e+01,0.000000e+00,0,0,0,0,0,0,
7.486176e+06,0.000000e+00,0,0,0,0,0,0,
