x,newlib,openlibm,matlab,mpfr64,mpfr128,crlibm,intel-mkl,libmcr,
0.000000e+00,not_finite,not_finite,not_finite,not_finite,not_finite,not_finite,not_finite,not_finite,
1.000000e-02,4503599627370495,4503599627370495,4612367379483415830,4503599627370496,4503599627370496,4612367379483415830,4612367379483415830,4612367379483415830,
2.000000e-02,6064428319411836,6064428319411836,9214345617468802850,6064428319411837,6064428319411837,9214345617468802850,9214345617468802850,9214345617468802850,
3.000000e-02,6977454574305667,6977454574305667,9215727559712090669,6977454574305667,6977454574305667,9215727559712090670,9215727559712090670,9215727559712090670,
4.000000e-02,8002250040192189,8002250040192189,9215350566683351653,8002250040192190,8002250040192190,9215350566683351653,9215350566683351653,9215350566683351653,
5.000000e-02,9509673862015393,9509673862015393,9214345617468802851,9509673862015394,9509673862015394,9214345617468802851,9214345617468802851,9214345617468802851,
6.000000e-02,10741328804873686,10741328804873686,9213524514173563990,10741328804873687,10741328804873687,9213524514173563990,9213524514173563990,9213524514173563990,
7.000000e-02,13073635559357875,13073635559357875,9211539323891194275,13073635559357876,13073635559357876,9211539323891194275,9211539323891194275,9211539323891194275,
8.000000e-02,15662240083764372,15662240083764372,9209072518883067287,15662240083764372,15662240083764372,9209072518883067287,9209072518883067287,9209072518883067287,
9.000000e-02,20348184344880585,20348184344880585,9204386574621951075,20348184344880585,20348184344880585,9204386574621951075,9204386574621951075,9204386574621951075,
1.000000e-01,8980859018032796949,8980859018032796949,243875740934034710,8980859018032796950,8980859018032796950,243875740934034710,243875740934034710,243875740934034710,
1.100000e-01,9203685002945477031,9203685002945477031,21049756021354628,9203685002945477032,9203685002945477032,21049756021354628,21049756021354628,21049756021354628,
1.200000e-01,9207693674488242724,9207693674488242724,17041084478588935,9207693674488242725,9207693674488242725,17041084478588935,17041084478588935,17041084478588935,
1.300000e-01,9210174542014240693,9210174542014240693,14560216952590966,9210174542014240693,9210174542014240693,14560216952590966,14560216952590966,14560216952590966,
1.400000e-01,9211266369175753108,9211266369175753108,13392082727372570,9211266369175753108,9211266369175753108,13392082727372570,13392082727372570,13392082727372570,
1.500000e-01,9212198517986712675,9212198517986712675,12304575781253076,9212198517986712676,9212198517986712676,12304575781253076,12304575781253076,12304575781253076,
1.600000e-01,9213070484965951301,9213070484965951301,11287280972141346,9213070484965951301,9213070484965951301,11287280972141346,11287280972141346,11287280972141346,
1.700000e-01,9213613697278476019,9213613697278476019,10607554147505641,9213613697278476020,9213613697278476020,10607554147505641,10607554147505641,10607554147505641,
1.800000e-01,9213871115889746699,9213871115889746699,10221426230599620,9213871115889746700,9213871115889746700,10221426230599620,10221426230599620,10221426230599620,
