x,newlib,openlibm,matlab,maple,mpfr64,mpfr128,crlibm,intel-mkl,libmcr,mathematica,
0.000000e+00,not_finite,not_finite,not_finite,not_finite,not_finite,not_finite,not_finite,not_finite,not_finite,not_finite,
1.000000e-02,4616870979110786325,4616870979110786325,0,0,4616870979110786326,4616870979110786326,0,0,0,0,
2.000000e-02,9220410045788214685,9220410045788214685,1,2,9220410045788214686,9220410045788214686,1,1,1,1,
3.000000e-02,9222705014286396336,9222705014286396336,0,2,9222705014286396336,9222705014286396336,1,1,1,1,
4.000000e-02,9223352816723543841,9223352816723543841,1,2,9223352816723543842,9223352816723543842,1,1,1,1,
5.000000e-02,9223855291330818243,9223855291330818243,1,0,9223855291330818244,9223855291330818244,1,1,1,1,
6.000000e-02,9224265842978437665,9224265842978437665,11,11,9224265842978437666,9224265842978437666,11,11,11,11,
7.000000e-02,9224612959450552143,9224612959450552143,7,8,9224612959450552144,9224612959450552144,7,7,7,7,
8.000000e-02,9224734758966831652,9224734758966831652,7,6,9224734758966831652,9224734758966831652,7,7,7,7,
9.000000e-02,9224734758966831649,9224734758966831649,11,11,9224734758966831649,9224734758966831649,11,11,11,11,
1.000000e-01,9224734758966831653,9224734758966831653,6,7,9224734758966831654,9224734758966831654,6,6,6,6,
1.100000e-01,9224734758966831658,9224734758966831658,1,1,9224734758966831659,9224734758966831659,1,1,1,1,
1.200000e-01,9224734758966831658,9224734758966831658,1,0,9224734758966831659,9224734758966831659,1,1,1,1,
1.300000e-01,9224734758966831652,9224734758966831652,7,8,9224734758966831652,9224734758966831652,7,7,7,7,
1.400000e-01,9224658451903125669,9224658451903125669,9,10,9224658451903125669,9224658451903125669,9,9,9,9,
1.500000e-01,9224503093767965751,9224503093767965751,0,0,9224503093767965752,9224503093767965752,0,0,0,0,
1.600000e-01,9224357765938092646,9224357765938092646,1,2,9224357765938092646,9224357765938092646,1,1,1,1,
1.700000e-01,9224221251425981653,9224221251425981653,7,7,9224221251425981654,9224221251425981654,7,7,7,7,
1.800000e-01,9224092542120346314,9224092542120346314,5,5,9224092542120346315,9224092542120346315,5,5,5,5,
1.900000e-01,9223970793561563433,9223970793561563433,0,1,9223970793561563434,9223970793561563434,0,0,0,0,
2.000000e-01,9223855291330818243,9223855291330818243,1,1,9223855291330818244,9223855291330818244,1,1,1,1,
2.100000e-01,9223745425648231842,9223745425648231842,3,4,9223745425648231843,9223745425648231843,3,3,3,3,
2.200000e-01,9223640671885692552,9223640671885692552,7,7,9223640671885692552,9223640671885692552,7,7,7,7,
2.300000e-01,9223540575415017574,9223540575415017574,0,1,9223540575415017574,9223540575415017574,0,0,0,0,
2.400000e-01,9223444739683198807,9223444739683198807,7,6,9223444739683198807,9223444739683198807,7,7,7,7,
2.500000e-01,9223352816723543841,9223352816723543841,1,0,9223352816723543842,9223352816723543842,1,1,1,1,
2.600000e-01,9223264499528972678,9223264499528972678,3,2,9223264499528972679,9223264499528972679,3,3,3,3,
2.700000e-01,9223179515865452476,9223179515865452476,10,11,9223179515865452476,9223179515865452476,10,10,10,10,
2.800000e-01,9223097623211084333,9223097623211084333,5,4,9223097623211084334,9223097623211084334,5,5,5,5,
2.900000e-01,9223018604583671347,9223018604583671347,5,4,9223018604583671347,9223018604583671347,5,5,5,5,
3.000000e-01,9222942265075924406,9222942265075924406,6,6,9222942265075924406,9222942265075924406,6,6,6,6,
3.100000e-01,9222868428959000821,9222868428959000821,7,7,9222868428959000822,9222868428959000822,7,7,7,7,
3.200000e-01,9222796937246051300,9222796937246051300,7,8,9222796937246051300,9222796937246051300,7,7,7,7,
3.300000e-01,9222727645630798724,9222727645630798724,1,0,9222727645630798724,9222727645630798724,1,1,1,1,
3.400000e-01,9222660422733940318,9222660422733940318,2,2,9222660422733940319,9222660422733940319,2,2,2,2,
3.500000e-01,9222595148603809932,9222595148603809932,4,4,9222595148603809932,9222595148603809932,4,4,4,4,
3.600000e-01,9222531713428304980,9222531713428304980,0,0,9222531713428304980,9222531713428304980,0,0,0,0,
3.700000e-01,9222444130963706223,9222444130963706223,5,5,9222444130963706224,9222444130963706224,5,5,5,5,
3.800000e-01,9222263976302273453,9222263976302273453,6,7,9222263976302273453,9222263976302273453,6,6,6,6,
3.900000e-01,9222088501515943714,9222088501515943714,7,7,9222088501515943714,9222088501515943714,7,7,7,7,
4.000000e-01,9221917469610037885,9221917469610037885,7,7,9221917469610037886,9221917469610037886,7,7,7,7,
4.100000e-01,9221750661148746682,9221750661148746682,9,9,9221750661148746682,9221750661148746682,9,9,9,9,
4.200000e-01,9221587872562278685,9221587872562278685,9,10,9221587872562278686,9221587872562278686,9,9,9,9,
4.300000e-01,9221428914653226102,9221428914653226102,3,2,9221428914653226102,9221428914653226102,3,3,3,3,
4.400000e-01,9221273611274660833,9221273611274660833,1,1,9221273611274660833,9221273611274660833,1,1,1,1,
4.500000e-01,9221121798156798911,9221121798156798911,0,1,9221121798156798911,9221121798156798911,0,0,0,0,
4.600000e-01,9220973321862635874,9220973321862635874,6,5,9220973321862635875,9220973321862635875,6,6,6,6,
4.700000e-01,9220828038855906942,9220828038855906942,10,9,9220828038855906943,9220828038855906943,10,10,10,10,
4.800000e-01,9220685814667179597,9220685814667179597,1,1,9220685814667179598,9220685814667179598,2,2,2,2,
4.900000e-01,9220546523145935263,9220546523145935263,7,8,9220546523145935263,9220546523145935263,7,7,7,7,
5.000000e-01,9220410045788214679,9220410045788214679,7,6,9220410045788214680,9220410045788214680,7,7,7,7,
