x,newlib,openlibm,matlab,maple,mpfr64,mpfr128,crlibm,intel-mkl,mathematica,
0.000000e+00,not_finite,not_finite,not_finite,not_finite,not_finite,not_finite,not_finite,not_finite,not_finite,
1.000000e-02,0,0,0,0,0,0,0,0,0,
2.000000e-02,4,4,4,35,5,5,4,4,4,
3.000000e-02,4,4,4,30,4,4,4,4,4,
4.000000e-02,4,4,4,30,5,5,4,4,4,
5.000000e-02,1,1,1,5,1,1,1,1,1,
6.000000e-02,4,4,4,25,5,5,4,4,4,
7.000000e-02,2,2,2,12,3,3,2,2,2,
8.000000e-02,4,4,4,25,4,4,4,4,4,
9.000000e-02,4,4,4,20,4,4,4,4,4,
1.000000e-01,0,0,0,0,0,0,0,0,0,
1.100000e-01,1,1,1,1,1,1,1,1,1,
1.200000e-01,1,1,1,1,1,1,1,1,1,
1.300000e-01,0,0,0,2,1,1,0,0,1,
1.400000e-01,0,0,0,1,0,0,0,0,0,
1.500000e-01,1,1,1,6,2,2,1,1,1,
1.600000e-01,0,0,0,2,1,1,0,0,0,
1.700000e-01,1,1,0,0,1,1,0,0,0,
1.800000e-01,2,2,2,7,2,2,2,2,2,
1.900000e-01,1,1,1,1,0,0,1,1,1,
2.000000e-01,1,1,1,6,2,2,1,1,1,
2.100000e-01,1,1,1,5,2,2,1,1,2,
2.200000e-01,1,1,1,5,2,2,1,1,1,
2.300000e-01,0,0,0,0,1,1,0,0,0,
2.400000e-01,0,0,0,0,1,1,0,0,0,
2.500000e-01,0,0,0,4,0,0,0,0,0,
2.600000e-01,1,1,1,1,1,1,1,1,1,
2.700000e-01,0,0,0,6,1,1,0,0,0,
2.800000e-01,2,2,2,5,2,2,2,2,1,
2.900000e-01,1,1,1,7,2,2,1,1,1,
3.000000e-01,2,2,2,4,2,2,2,2,2,
3.100000e-01,0,0,0,3,0,0,0,0,0,
3.200000e-01,0,0,0,0,1,1,0,0,0,
3.300000e-01,1,1,1,8,2,2,1,1,1,
3.400000e-01,4,4,4,12,4,4,4,4,4,
3.500000e-01,0,0,0,6,0,0,0,0,0,
3.600000e-01,1,1,1,12,2,2,1,1,1,
3.700000e-01,0,0,0,0,0,0,0,0,0,
3.800000e-01,1,1,1,14,2,2,1,1,1,
3.900000e-01,1,1,1,13,1,1,1,1,1,
4.000000e-01,2,2,2,9,2,2,2,2,2,
4.100000e-01,1,1,1,8,1,1,1,1,1,
4.200000e-01,1,1,1,9,1,1,1,1,1,
4.300000e-01,1,1,1,7,2,2,1,1,1,
4.400000e-01,1,1,1,9,1,1,1,1,1,
4.500000e-01,0,0,0,6,0,0,0,0,0,
4.600000e-01,2,2,2,14,3,3,2,2,2,
4.700000e-01,1,1,1,9,1,1,1,1,1,
4.800000e-01,2,2,2,12,3,3,2,2,2,
4.900000e-01,1,1,1,5,2,2,1,1,2,
5.000000e-01,0,0,0,4,0,0,0,0,0,
5.100000e-01,1,1,1,10,2,2,1,1,1,
5.200000e-01,1,1,1,13,2,2,2,2,2,
5.300000e-01,1,1,1,2,1,1,1,1,1,
5.400000e-01,2,2,2,7,2,2,1,1,1,
5.500000e-01,0,0,0,2,1,1,0,0,0,
5.600000e-01,0,0,0,10,1,1,0,0,0,
5.700000e-01,2,2,2,17,3,3,3,3,3,
5.800000e-01,6,6,4,22,5,5,5,5,5,
5.900000e-01,4,4,4,26,5,5,4,4,4,
6.000000e-01,37560235375496771,37560235375496771,37560235375496771,9621137226321710,37560235375496770,37560235375496770,37560235375496770,37560235375496770,9621137226321712,
6.100000e-01,37631686157340421,37631686157340421,37631686157340421,9598181107487436,37631686157340420,37631686157340420,37631686157340421,37631686157340421,9598181107487450,
6.200000e-01,56540027090473,56540027090473,56540027090473,197890094816652,56540027090472,56540027090472,56540027090472,56540027090472,197890094816651,
6.300000e-01,55635347743047,55635347743047,55635347743047,194723717100662,55635347743046,55635347743046,55635347743047,55635347743047,194723717100667,
6.400000e-01,54759164028644,54759164028644,54759164028644,191657074100245,54759164028643,54759164028643,54759164028644,54759164028644,191657074100255,
6.500000e-01,53910150460216,53910150460216,53910150460216,188685526610740,53910150460215,53910150460215,53910150460215,53910150460215,188685526610769,
6.600000e-01,53087062504612,53087062504612,53087062504612,185804718766142,53087062504612,53087062504612,53087062504612,53087062504612,185804718766157,
6.700000e-01,52288730495089,52288730495089,52288730495089,183010556732808,52288730495088,52288730495088,52288730495088,52288730495088,183010556732819,
6.800000e-01,51514054085018,51514054085018,51514054085019,180299189297560,51514054085018,51514054085018,51514054085018,51514054085018,180299189297580,
6.900000e-01,50761997187481,50761997187481,50761997187481,177666990156174,50761997187480,50761997187480,50761997187481,50761997187481,177666990156197,
7.000000e-01,50031583351749,50031583351749,50031583351749,175110541731117,50031583351749,50031583351749,50031583351749,50031583351749,175110541731140,
7.100000e-01,49321891533346,49321891533346,49321891533346,172626620366708,49321891533345,49321891533345,49321891533346,49321891533346,172626620366713,
7.200000e-01,48632052219066,48632052219066,48632052219066,170212182766720,48632052219066,48632052219066,48632052219066,48632052219066,170212182766746,
7.300000e-01,47961243872777,47961243872777,47961243872777,167864353554710,47961243872776,47961243872776,47961243872777,47961243872777,167864353554730,
7.400000e-01,47308689671330,47308689671330,47308689671330,165580413849656,47308689671330,47308689671330,47308689671330,47308689671330,165580413849660,
7.500000e-01,48880900807675,48880900807675,48880900807675,163357790761960,48880900807673,48880900807673,48880900807674,48880900807674,163357790761989,
7.600000e-01,92110884413953,92110884413953,92110884413953,322388095448837,92110884413953,92110884413953,92110884413953,92110884413953,322388095448833,
7.700000e-01,90906786046398,90906786046398,90906786046398,318173751162360,90906786046397,90906786046397,90906786046398,90906786046398,318173751162406,
7.800000e-01,89733762495600,89733762495600,89733762495600,314068168734601,89733762495600,89733762495600,89733762495601,89733762495601,314068168734609,
7.900000e-01,88590626123430,88590626123430,88590626123430,310067191431984,88590626123429,88590626123429,88590626123430,88590626123430,310067191432026,
8.000000e-01,87476249051191,87476249051191,87476249051191,306166871679153,87476249051191,87476249051191,87476249051191,87476249051191,306166871679193,
8.100000e-01,86389559447543,86389559447543,86389559447543,302363458066379,86389559447542,86389559447542,86389559447543,86389559447543,302363458066407,
8.200000e-01,85329538089737,85329538089737,85329538089737,298653383314069,85329538089737,85329538089737,85329538089737,85329538089737,298653383314086,
8.300000e-01,84295215174997,84295215174997,84295215174997,295033253112484,84295215174997,84295215174997,84295215174997,84295215174997,295033253112504,
8.400000e-01,83285667361014,83285667361014,83285667361014,291499835763547,83285667361013,83285667361013,83285667361014,83285667361014,291499835763552,
8.500000e-01,82300015016592,82300015016592,82300015016592,288050052558057,82300015016591,82300015016591,82300015016591,82300015016591,288050052558083,
8.600000e-01,81337419665284,81337419665284,81337419665284,284680968828484,81337419665283,81337419665283,81337419665284,81337419665284,284680968828504,
8.700000e-01,160794163212654,160794163212654,160794163212654,346495189468243,160794163212653,160794163212653,160794163212654,160794163212654,346495189468264,
8.800000e-01,158956475397486,158956475397486,158956475397486,556347663891165,158956475397485,158956475397485,158956475397486,158956475397486,556347663891234,
8.900000e-01,157160318591370,157160318591370,157160318591370,550061115069768,157160318591368,157160318591368,157160318591369,157160318591369,550061115069821,
9.000000e-01,155404300634511,155404300634511,155404300634511,543915052220774,155404300634511,155404300634511,155404300634511,155404300634511,543915052220804,
9.100000e-01,153687090902243,153687090902243,153687090902243,537904818157846,153687090902242,153687090902242,153687090902243,153687090902243,537904818157863,
9.200000e-01,152007416942244,152007416942244,152007416942244,532025959297825,152007416942243,152007416942243,152007416942243,152007416942243,532025959297880,
9.300000e-01,150364061329917,150364061329917,150364061329917,526274214654727,150364061329916,150364061329916,150364061329916,150364061329916,526274214654686,
9.400000e-01,297511717450984,297511717450984,297511717450984,1002804841702881,297511717450983,297511717450983,297511717450984,297511717450984,1002804841702861,
9.500000e-01,294363386236282,294363386236282,294363386236282,1030271851826941,294363386236281,294363386236281,294363386236281,294363386236281,1030271851827031,
9.600000e-01,291280990486252,291280990486252,291280990486252,1019483466701851,291280990486251,291280990486251,291280990486252,291280990486252,1019483466701909,
9.700000e-01,576524960638332,576524960638332,576524960638332,1411467819893421,576524960638332,576524960638332,576524960638332,576524960638332,1411467819893307,
9.800000e-01,570611779909408,570611779909408,570611779909408,1997141229682885,570611779909407,570611779909407,570611779909408,570611779909408,1997141229682978,
9.900000e-01,1129637333779219,1129637333779219,1129637333779219,3399507288640053,1129637333779218,1129637333779218,1129637333779219,1129637333779219,3399507288640141,
1.000000e+00,4562085495292742656,4562085495292742656,4562085495292742656,9596804872849036,4562085495292742656,4562085495292742656,4562085495292742656,4562085495292742656,9596804872849139,
