x,newlib,openlibm,matlab,mpfr64,mpfr128,crlibm,intel-mkl,
0.000000e+00,not_finite,not_finite,not_finite,not_finite,not_finite,not_finite,not_finite,
1.000000e-02,3860228252031854,3860228252031854,4607825790175356050,3860228252031854,3860228252031854,4607825790175356050,4607825790175356050,
2.000000e-02,4572575452992859,4572575452992859,9204852218621199908,4572575452992860,4572575452992860,9204852218621199908,9204852218621199908,
3.000000e-02,5365619981659227,5365619981659227,9206438307678532643,5365619981659227,5365619981659227,9206438307678532643,9206438307678532643,
4.000000e-02,5928294029292507,5928294029292507,9206644381095971108,5928294029292508,5928294029292508,9206644381095971108,9206644381095971108,
5.000000e-02,6870157651857975,6870157651857975,9206138961371877194,6870157651857975,6870157651857975,9206138961371877194,9206138961371877194,
6.000000e-02,7939959542442419,7939959542442419,9205425760111487564,7939959542442420,7939959542442420,9205425760111487564,9205425760111487564,
7.000000e-02,8844464152944663,8844464152944663,9204822757037819400,8844464152944664,8844464152944664,9204822757037819400,9204822757037819400,
8.000000e-02,9812320217471977,9812320217471977,9204116073484091286,9812320217471977,9812320217471977,9204116073484091286,9204116073484091286,
9.000000e-02,11424913584703584,11424913584703584,9202733850597892767,11424913584703584,11424913584703584,9202733850597892767,9202733850597892767,
1.000000e-01,12867427506772846,12867427506772846,9201497410093261970,12867427506772846,12867427506772846,9201497410093261970,9201497410093261970,
1.100000e-01,14833881271796456,14833881271796456,9199344540246783913,14833881271796456,14833881271796456,9199344540246783914,9199344540246783914,
1.200000e-01,17216464954161608,17216464954161608,9196791772015678394,17216464954161608,17216464954161608,9196791772015678394,9196791772015678394,
1.300000e-01,22165054187326104,22165054187326104,9191686628173718296,22165054187326105,22165054187326105,9191686628173718296,9191686628173718296,
1.400000e-01,9175554802337681674,9175554802337681674,38151933095324246,9175554802337681674,9175554802337681674,38151933095324246,38151933095324246,
1.500000e-01,9190546691684966310,9190546691684966310,23025101386402139,9190546691684966311,9190546691684966311,23025101386402139,23025101386402139,
1.600000e-01,9194333596159818132,9194333596159818132,19111966762388589,9194333596159818133,9194333596159818133,19111966762388589,19111966762388589,
1.700000e-01,9196082792928023837,9196082792928023837,17244194995563852,9196082792928023837,9196082792928023837,17244194995563852,17244194995563852,
1.800000e-01,9197647929681820607,9197647929681820607,15567262759353027,9197647929681820607,9197647929681820607,15567262759353027,15567262759353027,
1.900000e-01,9198735835768119758,9198735835768119758,14373607218535713,9198735835768119759,9198735835768119759,14373607218535713,14373607218535713,
2.000000e-01,9199337779545641581,9199337779545641581,13671339478093587,9199337779545641582,9199337779545641582,13671339478093587,13671339478093587,
2.100000e-01,9199910348262015271,9199910348262015271,13003342642324282,9199910348262015272,9199910348262015272,13003342642324282,13003342642324282,
2.200000e-01,9200456276034368258,9200456276034368258,12366426907912463,9200456276034368259,9200456276034368259,12366426907912463,12366426907912463,
2.300000e-01,9200977932172833896,9200977932172833896,11757828079702552,9200977932172833897,9200977932172833897,11757828079702552,11757828079702552,
2.400000e-01,9201477383326810466,9201477383326810466,11175135066729887,9201477383326810467,9201477383326810467,11175135066729887,11175135066729887,
2.500000e-01,9201864878166111161,9201864878166111161,10707796959152455,9201864878166111161,9201864878166111161,10707796959152455,10707796959152455,
2.600000e-01,9202018300847148885,9202018300847148885,10477662937595868,9202018300847148885,9202018300847148885,10477662937595868,10477662937595868,
2.700000e-01,9202165932591623858,9202165932591623858,10256215320883408,9202165932591623859,9202165932591623859,10256215320883408,10256215320883408,
2.800000e-01,9202308194703225844,9202308194703225844,10042822153480429,9202308194703225844,9202308194703225844,10042822153480429,10042822153480429,
2.900000e-01,9202445464118637962,9202445464118637962,9836918030362252,9202445464118637963,9202445464118637963,9836918030362252,9836918030362252,
3.000000e-01,9202578079426500788,9202578079426500788,9637995068568013,9202578079426500788,9202578079426500788,9637995068568013,9637995068568013,
3.100000e-01,9202706345899081091,9202706345899081091,9445595359697559,9202706345899081091,9202706345899081091,9445595359697559,9445595359697559,
3.200000e-01,9202784152843939255,9202784152843939255,9259304621082829,9202784152843939256,9202784152843939256,9259304621082829,9259304621082829,
3.300000e-01,9202784152843939255,9202784152843939255,9078746824204671,9202784152843939256,9202784152843939256,9078746824204671,9078746824204671,
3.400000e-01,9202784152843939254,9202784152843939254,8903579625225733,9202784152843939254,9202784152843939254,8903579625225733,8903579625225733,
3.500000e-01,9202784152843939255,9202784152843939255,8733490458065769,9202784152843939255,9202784152843939255,8733490458065769,8733490458065769,
3.600000e-01,9202784152843939255,9202784152843939255,8568193177983567,9202784152843939256,9202784152843939256,8568193177983567,8568193177983567,
3.700000e-01,9202784152843939255,9202784152843939255,8407425165127881,9202784152843939255,9202784152843939255,8407425165127881,8407425165127881,
3.800000e-01,9202784152843939254,9202784152843939254,8250944814429081,9202784152843939255,9202784152843939255,8250944814429081,8250944814429081,
3.900000e-01,9202784152843939254,9202784152843939254,8098529351596766,9202784152843939254,9202784152843939254,8098529351596766,8098529351596766,
4.000000e-01,9202784152843939255,9202784152843939255,7949972925668171,9202784152843939255,9202784152843939255,7949972925668170,7949972925668170,
4.100000e-01,9202784152843939254,9202784152843939254,7805084937121089,9202784152843939254,9202784152843939254,7805084937121089,7805084937121089,
4.200000e-01,9202784152843939256,9202784152843939256,7663688567481325,9202784152843939256,9202784152843939256,7663688567481325,7663688567481325,
4.300000e-01,9202784152843939253,9202784152843939253,7525619481968491,9202784152843939254,9202784152843939254,7525619481968490,7525619481968490,
4.400000e-01,9202778788753879551,9202778788753879551,7396088771364535,9202778788753879551,9202778788753879551,7396088771364535,7396088771364535,
4.500000e-01,9202690879954722270,9202690879954722270,7352134371785894,9202690879954722270,9202690879954722270,7352134371785894,7352134371785894,
4.600000e-01,9202604903374391005,9202604903374391005,7309146081620262,9202604903374391006,9202604903374391006,7309146081620262,7309146081620262,
4.700000e-01,9202520775896875424,9202520775896875424,7267082342862471,9202520775896875424,9202520775896875424,7267082342862471,7267082342862471,
4.800000e-01,9202438419656398814,9202438419656398814,7225904222624167,9202438419656398815,9202438419656398815,7225904222624167,7225904222624167,
4.900000e-01,9202357761604329053,9202357761604329053,7185575196589285,9202357761604329054,9202357761604329054,7185575196589285,7185575196589285,
