x,newlib,openlibm,matlab,mpfr64,mpfr128,crlibm,intel-mkl,
0.000000e+00,not_finite,not_finite,not_finite,not_finite,not_finite,not_finite,not_finite,
1.000000e-02,0,0,4611686018427387904,0,0,4611686018427387904,4611686018427387904,
2.000000e-02,1,1,9209424794074192768,0,0,9209424794074192768,9209424794074192768,
3.000000e-02,0,0,9211803927660191870,0,0,9211803927660191870,9211803927660191870,
4.000000e-02,1,1,9212572675125263616,0,0,9212572675125263616,9212572675125263616,
5.000000e-02,0,0,9213009119023735169,0,0,9213009119023735169,9213009119023735169,
6.000000e-02,1,1,9213365719653929984,0,0,9213365719653929984,9213365719653929984,
7.000000e-02,1,1,9213667221190764064,0,0,9213667221190764064,9213667221190764064,
8.000000e-02,0,0,9213928393701563263,0,0,9213928393701563263,9213928393701563263,
9.000000e-02,0,0,9214158764182596351,0,0,9214158764182596351,9214158764182596351,
1.000000e-01,0,0,9214364837600034816,0,0,9214364837600034816,9214364837600034816,
1.100000e-01,0,0,9214178421518580369,0,0,9214178421518580370,9214178421518580370,
1.200000e-01,0,0,9214008236969840002,0,0,9214008236969840002,9214008236969840002,
1.300000e-01,1,1,9213851682361044401,0,0,9213851682361044401,9213851682361044401,
1.400000e-01,0,0,9213706735433005920,0,0,9213706735433005920,9213706735433005920,
1.500000e-01,1,1,9213571793071368450,0,0,9213571793071368450,9213571793071368450,
1.600000e-01,1,1,9213445562922206722,0,0,9213445562922206722,9213445562922206722,
1.700000e-01,0,0,9213326987923587689,0,0,9213326987923587689,9213326987923587689,
1.800000e-01,0,0,9213215192441173634,0,0,9213215192441173634,9213215192441173634,
1.900000e-01,1,1,9213109442986655472,0,0,9213109442986655472,9213109442986655472,
2.000000e-01,1,1,9213009119023735169,0,0,9213009119023735169,9213009119023735169,
2.100000e-01,1,1,9212913690904339554,0,0,9212913690904339554,9212913690904339554,
2.200000e-01,1,1,9212822702942280722,0,0,9212822702942280722,9212822702942280722,
2.300000e-01,1,1,9212735760252536449,0,0,9212735760252536449,9212735760252536449,
2.400000e-01,1,1,9212652518393540354,0,0,9212652518393540354,9212652518393540354,
2.500000e-01,0,0,9212572675125263616,0,0,9212572675125263616,9212572675125263616,
2.600000e-01,0,0,9212495963784744753,0,0,9212495963784744753,9212495963784744753,
2.700000e-01,1,1,9212422147912507267,0,0,9212422147912507267,9212422147912507267,
2.800000e-01,0,0,9212351016856706273,0,0,9212351016856706273,9212351016856706273,
2.900000e-01,1,1,9212282382149000215,0,0,9212282382149000215,9212282382149000215,
3.000000e-01,0,0,9212216074495068801,0,0,9212216074495068801,9212216074495068801,
3.100000e-01,0,0,9212151941258778650,0,0,9212151941258778650,9212151941258778650,
3.200000e-01,1,1,9212043457465022085,0,0,9212043457465022085,9212043457465022085,
3.300000e-01,1,1,9211862899668143927,0,0,9211862899668143927,9211862899668143927,
3.400000e-01,0,0,9211687732469164987,0,0,9211687732469164987,9211687732469164987,
3.500000e-01,0,0,9211517643302005024,0,0,9211517643302005024,9211517643302005024,
3.600000e-01,1,1,9211352346021922823,0,0,9211352346021922823,9211352346021922823,
3.700000e-01,0,0,9211191578009067136,0,0,9211191578009067136,9211191578009067136,
3.800000e-01,1,1,9211035097658368336,0,0,9211035097658368336,9211035097658368336,
3.900000e-01,0,0,9210882682195536020,0,0,9210882682195536020,9210882682195536020,
4.000000e-01,0,0,9210734125769607426,0,0,9210734125769607425,9210734125769607425,
4.100000e-01,0,0,9210589237781060343,0,0,9210589237781060343,9210589237781060343,
4.200000e-01,0,0,9210447841411420581,0,0,9210447841411420581,9210447841411420581,
4.300000e-01,1,1,9210309772325907745,0,0,9210309772325907744,9210309772325907744,
4.400000e-01,0,0,9210174877525244086,0,0,9210174877525244086,9210174877525244086,
4.500000e-01,0,0,9210043014326508164,0,0,9210043014326508164,9210043014326508164,
4.600000e-01,1,1,9209914049456011268,0,0,9209914049456011268,9209914049456011268,
4.700000e-01,0,0,9209787858239737895,0,0,9209787858239737895,9209787858239737895,
4.800000e-01,1,1,9209664323879022982,0,0,9209664323879022982,9209664323879022982,
4.900000e-01,1,1,9209543336800918339,0,0,9209543336800918339,9209543336800918339,
5.000000e-01,0,0,9209424794074192767,0,0,9209424794074192767,9209424794074192767,
5.100000e-01,1,1,9209308598883165885,0,0,9209308598883165885,9209308598883165885,
5.200000e-01,1,1,9209194660052636179,0,0,9209194660052636180,9209194660052636180,
