x,newlib,openlibm,matlab,maple,mpfr64,mpfr128,intel-mkl,mathematica,
0.000000e+00,0,0,0,0,0,0,0,0,
1.000000e-02,1,1,1,1,0,0,1,1,
2.000000e-02,3,3,3,15,3,3,3,3,
3.000000e-02,4,4,4,22,3,3,4,4,
4.000000e-02,1,1,1,1,0,0,1,1,
5.000000e-02,0,0,0,1,0,0,0,0,
6.000000e-02,4,4,4,25,4,4,4,4,
7.000000e-02,0,0,0,1,1,1,0,0,
8.000000e-02,1,1,1,1,1,1,1,1,
9.000000e-02,0,0,0,0,0,0,0,0,
1.000000e-01,2,2,2,15,2,2,2,2,
1.100000e-01,0,0,0,1,0,0,0,0,
1.200000e-01,2,2,2,6,1,1,2,2,
1.300000e-01,2,2,2,15,1,1,2,2,
1.400000e-01,2,2,2,1,1,1,2,2,
1.500000e-01,2,2,2,11,1,1,2,2,
1.600000e-01,1,1,1,1,0,0,1,1,
1.700000e-01,1,1,1,2,1,1,1,1,
1.800000e-01,1,1,1,8,0,0,1,1,
1.900000e-01,1,1,1,5,1,1,1,1,
2.000000e-01,2,2,2,15,2,2,2,2,
2.100000e-01,1,1,1,1,2,2,1,1,
2.200000e-01,0,0,0,0,1,1,0,0,
2.300000e-01,0,0,0,1,1,1,0,0,
2.400000e-01,2,2,2,9,2,2,2,2,
2.500000e-01,0,0,0,0,0,0,0,0,
2.600000e-01,0,0,0,5,1,1,0,0,
2.700000e-01,1,1,1,1,0,0,1,1,
2.800000e-01,0,0,0,1,1,1,0,0,
2.900000e-01,0,0,0,3,0,0,0,0,
3.000000e-01,1,1,1,0,1,1,1,1,
3.100000e-01,1,1,1,1,0,0,1,1,
3.200000e-01,1,1,1,1,1,1,1,1,
3.300000e-01,1,1,1,7,1,1,1,1,
3.400000e-01,0,0,0,1,1,1,0,0,
3.500000e-01,0,0,0,5,0,0,0,0,
3.600000e-01,0,0,0,0,0,0,0,0,
3.700000e-01,0,0,0,1,0,0,0,1,
3.800000e-01,0,0,0,6,0,0,0,0,
3.900000e-01,1,1,1,6,1,1,1,1,
4.000000e-01,1,1,1,7,1,1,1,1,
4.100000e-01,2,2,2,6,1,1,2,2,
4.200000e-01,0,0,0,0,0,0,0,0,
4.300000e-01,0,0,0,1,0,0,0,0,
4.400000e-01,0,0,0,1,0,0,0,0,
4.500000e-01,2,2,2,6,1,1,2,2,
4.600000e-01,0,0,0,7,0,0,0,0,
4.700000e-01,1,1,1,3,0,0,1,1,
4.800000e-01,2,2,2,6,1,1,2,2,
4.900000e-01,1,1,1,1,1,1,1,1,
5.000000e-01,0,0,0,5,1,1,0,0,
5.100000e-01,0,0,0,0,0,0,0,0,
5.200000e-01,1,1,1,7,0,0,1,1,
5.300000e-01,1,1,1,6,1,1,1,1,
5.400000e-01,0,0,0,4,0,0,0,0,
5.500000e-01,0,0,0,3,0,0,0,0,
5.600000e-01,2,2,2,1,1,1,2,2,
5.700000e-01,1,1,1,1,0,0,1,1,
5.800000e-01,0,0,0,7,0,0,0,0,
5.900000e-01,2,2,2,6,1,1,2,2,
6.000000e-01,0,0,0,not_finite,1,1,0,not_finite,
6.100000e-01,0,0,0,4,0,0,0,0,
6.200000e-01,1,1,1,2,2,2,1,1,
6.300000e-01,0,0,0,2,1,1,0,0,
6.400000e-01,1,1,1,1,0,0,1,1,
6.500000e-01,1,1,1,1,0,0,1,1,
6.600000e-01,1,1,1,1,1,1,1,1,
6.700000e-01,1,1,1,2,2,2,1,1,
6.800000e-01,1,1,1,2,1,1,1,1,
6.900000e-01,0,0,0,5,1,1,0,0,
7.000000e-01,1,1,1,4,1,1,1,1,
7.100000e-01,1,1,1,6,1,1,1,1,
7.200000e-01,0,0,0,0,1,1,0,0,
7.300000e-01,0,0,0,1,0,0,0,0,
7.400000e-01,2,2,2,4,2,2,2,2,
7.500000e-01,1,1,1,4,1,1,1,1,
7.600000e-01,1,1,1,5,1,1,1,1,
7.700000e-01,2,2,2,0,1,1,2,2,
7.800000e-01,0,0,0,6,0,0,0,0,
7.900000e-01,2,2,2,6,1,1,2,2,
8.000000e-01,1,1,1,7,1,1,1,1,
8.100000e-01,1,1,1,1,1,1,1,1,
8.200000e-01,1,1,1,6,0,0,1,1,
8.300000e-01,1,1,1,7,1,1,1,1,
8.400000e-01,1,1,1,1,2,2,1,1,
8.500000e-01,1,1,1,6,0,0,1,1,
8.600000e-01,0,0,0,3,0,0,0,0,
8.700000e-01,0,0,0,4,0,0,0,0,
8.800000e-01,1,1,1,8,0,0,1,1,
8.900000e-01,1,1,1,2,1,1,1,1,
9.000000e-01,0,0,0,7,0,0,0,0,
9.100000e-01,1,1,1,5,1,1,1,1,
9.200000e-01,1,1,1,7,0,0,1,1,
9.300000e-01,0,0,0,5,1,1,0,0,
9.400000e-01,1,1,1,7,0,0,1,1,
9.500000e-01,0,0,0,4,1,1,0,0,
9.600000e-01,1,1,1,1,1,1,1,1,
9.700000e-01,2,2,2,2,1,1,2,2,
9.800000e-01,1,1,1,4,0,0,0,0,
9.900000e-01,1,1,1,1,2,2,1,1,
1.000000e+00,0,0,0,0,0,0,0,0,
