x,newlib,openlibm,matlab,maple,mpfr64,mpfr128,intel-mkl,mathematica,
0.000000e+00,0,0,0,0,0,0,0,0,
1.000000e-02,0,0,0,0,1,1,0,0,
2.000000e-02,9,9,9,9,9,9,9,9,
3.000000e-02,14,14,14,12,13,13,14,14,
4.000000e-02,0,0,0,0,1,1,0,0,
5.000000e-02,1,1,1,0,1,1,1,1,
6.000000e-02,14,14,14,15,14,14,14,14,
7.000000e-02,1,1,1,0,0,0,1,1,
8.000000e-02,0,0,0,0,0,0,0,0,
9.000000e-02,0,0,0,0,0,0,0,0,
1.000000e-01,9,9,9,8,9,9,9,9,
1.100000e-01,1,1,1,0,1,1,1,1,
1.200000e-01,4,4,4,4,3,3,4,4,
1.300000e-01,9,9,9,8,8,8,9,9,
1.400000e-01,2,2,2,1,1,1,2,2,
1.500000e-01,7,7,7,6,6,6,7,7,
1.600000e-01,0,0,0,0,1,1,0,0,
1.700000e-01,1,1,1,0,1,1,1,1,
1.800000e-01,5,5,5,4,4,4,5,5,
1.900000e-01,3,3,3,3,3,3,3,3,
2.000000e-01,9,9,9,8,9,9,9,9,
2.100000e-01,1,1,1,1,0,0,1,1,
2.200000e-01,0,0,0,0,1,1,0,0,
2.300000e-01,0,0,0,1,1,1,0,0,
2.400000e-01,6,6,6,5,6,6,6,6,
2.500000e-01,0,0,0,0,0,0,0,0,
2.600000e-01,3,3,3,2,2,2,3,3,
2.700000e-01,2,2,2,0,1,1,2,2,
2.800000e-01,1,1,1,0,0,0,1,1,
2.900000e-01,2,2,2,1,2,2,2,2,
3.000000e-01,0,0,0,1,0,0,0,0,
3.100000e-01,1,1,1,1,0,0,1,1,
3.200000e-01,0,0,0,0,0,0,0,0,
3.300000e-01,4,4,4,4,4,4,4,4,
3.400000e-01,1,1,1,0,0,0,1,1,
3.500000e-01,3,3,3,2,3,3,3,3,
3.600000e-01,0,0,0,0,0,0,0,0,
3.700000e-01,1,1,1,0,1,1,1,0,
3.800000e-01,3,3,3,3,3,3,3,3,
3.900000e-01,4,4,4,3,4,4,4,4,
4.000000e-01,4,4,4,4,4,4,4,4,
4.100000e-01,4,4,4,4,3,3,4,4,
4.200000e-01,0,0,0,0,0,0,0,0,
4.300000e-01,1,1,1,0,1,1,1,1,
4.400000e-01,1,1,1,0,1,1,1,1,
4.500000e-01,5,5,5,3,4,4,5,5,
4.600000e-01,4,4,4,3,4,4,4,4,
4.700000e-01,2,2,2,2,1,1,2,2,
4.800000e-01,4,4,4,4,3,3,4,4,
4.900000e-01,0,0,0,0,0,0,0,0,
5.000000e-01,3,3,3,2,2,2,3,3,
5.100000e-01,0,0,0,0,0,0,0,0,
5.200000e-01,4,4,4,4,3,3,4,4,
5.300000e-01,3,3,3,4,3,3,3,3,
5.400000e-01,2,2,2,2,2,2,2,2,
5.500000e-01,1,1,1,2,1,1,1,1,
5.600000e-01,2,2,2,1,1,1,2,2,
5.700000e-01,0,0,0,0,1,1,0,0,
5.800000e-01,4,4,4,3,4,4,4,4,
5.900000e-01,5,5,5,3,4,4,5,5,
6.000000e-01,4503599627370497,4503599627370497,4503599627370497,4600648566459822663,4503599627370496,4503599627370496,4503599627370497,2389389949813098062,
6.100000e-01,4503599627370496,4503599627370496,4503599627370496,4600706467423922669,4503599627370496,4503599627370496,4503599627370496,2300317973164145685,
6.200000e-01,28714139722823,28714139722823,28714139722823,28714139722821,28714139722822,28714139722822,28714139722823,28714139722817,
6.300000e-01,28483492856454,28483492856454,28483492856454,28483492856453,28483492856453,28483492856453,28483492856454,28483492856452,
6.400000e-01,28258316308751,28258316308751,28258316308751,28258316308750,28258316308750,28258316308750,28258316308751,28258316308748,
6.500000e-01,28038397203828,28038397203828,28038397203828,28038397203827,28038397203827,28038397203827,28038397203828,28038397203827,
6.600000e-01,27823534085986,27823534085986,27823534085986,27823534085987,27823534085986,27823534085986,27823534085986,27823534085987,
6.700000e-01,27613536143872,27613536143872,27613536143872,27613536143871,27613536143871,27613536143871,27613536143872,27613536143871,
6.800000e-01,27408222498097,27408222498097,27408222498097,27408222498096,27408222498097,27408222498097,27408222498097,27408222498095,
6.900000e-01,27207421546294,27207421546294,27207421546294,27207421546293,27207421546293,27207421546293,27207421546294,27207421546292,
7.000000e-01,27010970360183,27010970360183,27010970360183,27010970360183,27010970360183,27010970360183,27010970360183,27010970360178,
7.100000e-01,26818714129854,26818714129854,26818714129854,26818714129854,26818714129854,26818714129854,26818714129854,26818714129849,
7.200000e-01,26630505650964,26630505650964,26630505650964,26630505650963,26630505650963,26630505650963,26630505650964,26630505650956,
7.300000e-01,26446204850952,26446204850952,26446204850952,26446204850952,26446204850952,26446204850952,26446204850952,26446204850952,
7.400000e-01,26265678350883,26265678350883,26265678350883,26265678350882,26265678350883,26265678350883,26265678350883,26265678350881,
7.500000e-01,26088799059686,26088799059686,26088799059686,26088799059687,26088799059686,26088799059686,26088799059686,26088799059681,
7.600000e-01,25915445798106,25915445798106,25915445798106,25915445798107,25915445798106,25915445798106,25915445798106,25915445798102,
7.700000e-01,25745502949772,25745502949772,25745502949772,25745502949771,25745502949771,25745502949771,25745502949772,25745502949765,
7.800000e-01,25578860137090,25578860137090,25578860137090,25578860137089,25578860137090,25578860137090,25578860137090,25578860137087,
