x,openlibm,matlab,crlibm,intel-mkl,
0.000000e+00,0,0,0,0,
0.000000e+00,0,4609753056924675352,4609753056924675352,4609753056924675352,
0.000000e+00,0,4503599627370496,4503599627370496,4503599627370496,
0.000000e+00,0,2358079250676146,2358079250676146,2358079250676147,
0.000000e+00,0,2145520376694350,2145520376694350,2145520376694350,
0.000000e+00,0,4503599627370496,4503599627370496,4503599627370497,
0.000000e+00,0,2735040189363386,2735040189363386,2735040189363386,
0.000000e+00,0,6861678878046642,6861678878046642,6861678878046642,
0.000000e+00,0,3324560002032423,3324560002032423,3324560002032423,
0.000000e+00,0,4609753056924675352,4609753056924675352,4609753056924675352,
0.000000e+00,0,4609753056924675352,4609753056924675352,4609753056924675352,
0.000000e+00,0,4609753056924675352,4609753056924675352,4609753056924675352,
0.000000e+00,0,4609753056924675352,4609753056924675352,4609753056924675352,
