x,openlibm,matlab,maple,mpfr64,mpfr128,crlibm,intel-mkl,libmcr,mathematica,
-1.000000e+00,0,0,30,1,1,0,0,4609753056924675352,0,
-9.800000e-01,0,0,31,1,1,0,0,4608850829003439623,0,
-9.600000e-01,0,1,39,0,0,0,0,4608474961880194785,1,
-9.400000e-01,0,0,25,0,0,0,0,4608185056561007377,0,
-9.200000e-01,0,0,24,0,0,0,0,4607939386010596490,0,
-9.000000e-01,0,0,19,1,1,0,0,4607721812743135602,0,
-8.800000e-01,0,0,5,1,1,0,0,4607524071777713553,0,
-8.600000e-01,0,0,40,0,0,0,0,4607341259283858107,0,
-8.400000e-01,0,0,7,1,1,0,0,4607157948242589386,0,
-8.200000e-01,0,0,7,0,0,0,0,4606834840156988211,0,
-8.000000e-01,0,0,3,1,1,0,0,4606527552341785424,0,
-7.800000e-01,0,0,2,1,1,0,0,4606233652827510860,0,
-7.600000e-01,0,0,6,1,1,0,0,4605951252791452635,0,
-7.400000e-01,0,0,7,1,1,0,0,4605678850256078117,0,
-7.200000e-01,0,0,0,0,0,0,0,4605415227193329085,0,
-7.000000e-01,0,0,0,1,1,0,0,4605159379298876821,0,
-6.800000e-01,0,0,5,0,0,0,0,4604910466590908413,0,
-6.600000e-01,0,0,5,0,0,0,0,4604667777750988812,0,
-6.400000e-01,0,0,0,0,0,0,0,4604430703805846843,0,
-6.200000e-01,0,0,7,1,1,0,0,4604198718323174295,0,
-6.000000e-01,0,0,3,0,0,0,0,4603971362252824289,0,
-5.800000e-01,0,1,2,0,0,0,0,4603748232146786387,0,
-5.600000e-01,0,0,2,1,1,0,0,4603528970880074612,0,
-5.400000e-01,0,0,9,0,0,0,0,4603313260251939999,0,
-5.200000e-01,0,0,1,0,0,0,0,4603100815020839327,0,
-5.000000e-01,0,0,8,0,0,0,0,4602891378046628710,0,
-4.800000e-01,0,0,1,0,0,0,0,4602684716297729588,0,
-4.600000e-01,0,0,6,1,1,0,0,4602282415909645280,0,
-4.400000e-01,0,0,6,0,0,0,1,4601878955980849609,0,
-4.200000e-01,0,0,0,1,1,0,0,4601479876645714816,0,
-4.000000e-01,0,0,1,0,0,0,0,4601084848376330804,0,
-3.800000e-01,0,0,10,1,1,0,0,4600693565740113437,0,
-3.600000e-01,0,0,1,1,1,0,0,4600305744508520997,0,
-3.400000e-01,0,0,12,1,1,0,0,4599921119159633335,1,
-3.200000e-01,0,0,1,1,1,0,0,4599539440708320635,0,
-3.000000e-01,0,0,7,1,1,0,0,4599160474810251005,0,
-2.800000e-01,0,0,16,1,1,0,0,4598784000095828189,0,
-2.600000e-01,0,0,16,1,1,0,0,4598409806697940910,0,
-2.400000e-01,0,0,8,1,1,0,0,4597900170341946687,0,
-2.200000e-01,0,0,14,0,0,0,1,4597159728823933401,1,
-2.000000e-01,0,0,27,1,1,0,0,4596422703946850875,0,
-1.800000e-01,0,0,23,1,1,0,0,4595688744405679907,0,
-1.600000e-01,0,0,22,1,1,0,0,4594957511208584595,0,
-1.400000e-01,0,0,30,0,0,0,0,4594228676090113339,0,
-1.200000e-01,0,0,5,1,1,0,0,4593332220175638661,1,
-1.000000e-01,0,0,56,1,1,0,0,4591882244033050754,0,
-8.000000e-02,0,0,2,1,1,0,0,4590435194877522313,0,
-6.000000e-02,0,0,53,0,0,0,0,4588812928889968799,0,
-4.000000e-02,0,0,6,1,1,0,0,4585926966895361374,0,
-2.000000e-02,0,0,142,1,1,0,0,4581422213307818143,0,
0.000000e+00,0,0,0,0,0,0,0,0,0,
2.000000e-02,0,0,142,0,0,0,0,4581422213307818143,0,
4.000000e-02,0,0,6,0,0,0,0,4585926966895361374,0,
6.000000e-02,0,0,69,1,1,0,0,4588812928889968815,0,
8.000000e-02,0,0,6,0,0,0,0,4590435194877522321,0,
1.000000e-01,0,0,64,0,0,0,0,4591882244033050762,0,
1.200000e-01,0,0,13,0,0,0,0,4593332220175638669,1,
1.400000e-01,0,0,34,1,1,0,0,4594228676090113343,0,
1.600000e-01,0,0,18,0,0,0,0,4594957511208584591,0,
1.800000e-01,0,0,23,0,0,0,0,4595688744405679907,0,
2.000000e-01,0,0,4596422703946849855,0,0,0,0,4596422703946850875,4596422703946849855,
2.200000e-01,0,0,4597159728823933401,1,1,0,1,4597159728823933401,4594457569047511105,
2.400000e-01,0,0,740441518013300,0,0,0,0,4597900170341946687,740441518013287,
2.600000e-01,0,0,509636355994231,0,0,0,0,4598409806697940910,509636355994223,
2.800000e-01,0,0,374193397887295,0,0,0,0,4598784000095828189,374193397887279,
3.000000e-01,0,0,376474714422835,1,1,0,1,4599160474810251008,376474714422819,
3.200000e-01,0,0,378965898069640,1,1,0,0,4599539440708320638,378965898069631,
3.400000e-01,0,0,381678451312704,1,1,0,0,4599921119159633338,381678451312700,
3.600000e-01,0,0,384625348887676,0,0,0,0,4600305744508520999,384625348887661,
3.800000e-01,0,0,387821231592441,0,0,0,0,4600693565740113439,387821231592440,
4.000000e-01,0,0,391282636217379,1,1,0,0,4601084848376330806,391282636217367,
4.200000e-01,0,0,395028269384011,0,0,0,0,4601479876645714814,395028269384008,
4.400000e-01,0,0,399079335134811,1,1,0,1,4601878955980849609,399079335134795,
4.600000e-01,0,0,403459928795677,0,0,0,0,4602282415909645280,403459928795671,
4.800000e-01,0,0,402300388084314,1,1,0,0,4602684716297729588,402300388084308,
5.000000e-01,0,0,206661748899123,1,1,0,0,4602891378046628710,206661748899122,
5.200000e-01,0,0,209436974210625,1,1,0,0,4603100815020839327,209436974210617,
5.400000e-01,0,0,212445231100673,1,1,0,0,4603313260251939999,212445231100672,
5.600000e-01,0,0,215710628134622,0,0,0,0,4603528970880074612,215710628134613,
5.800000e-01,0,1,219261266711777,1,1,0,0,4603748232146786387,219261266711775,
6.000000e-01,0,0,223130106037905,0,0,0,0,4603971362252824290,223130106037903,
6.200000e-01,0,0,227356070350010,0,0,0,1,4604198718323174296,227356070350006,
6.400000e-01,0,0,231985482672556,0,0,0,0,4604430703805846844,231985482672547,
6.600000e-01,0,0,237073945141971,0,0,0,0,4604667777750988814,237073945141970,
6.800000e-01,0,0,242688839919606,1,1,0,0,4604910466590908413,242688839919599,
7.000000e-01,0,0,248912707968413,0,0,0,0,4605159379298876821,248912707968408,
7.200000e-01,0,0,255847894452264,1,1,0,0,4605415227193329085,255847894452264,
7.400000e-01,0,0,263623062749032,0,0,0,0,4605678850256078117,263623062749032,
7.600000e-01,0,0,272402535374525,0,0,0,0,4605951252791452635,272402535374518,
7.800000e-01,0,0,282400036058231,0,0,0,0,4606233652827510860,282400036058225,
8.000000e-01,0,0,293899514274566,0,0,0,0,4606527552341785424,293899514274564,
