x,openlibm,matlab,maple,mpfr64,mpfr128,intel-mkl,mathematica,
5.000000e-01,0,0,0,0,0,0,0,
5.000000e-01,0,0,0,0,0,0,0,
5.000000e-01,0,0,0,0,0,0,0,
-5.000000e-01,0,0,0,0,0,0,0,
-5.000000e-01,0,0,0,0,0,0,0,
-5.000000e-01,0,0,0,0,0,0,0,
-1.797693e+308,0,0,not_finite,4327959241903046655,4327959241903046655,0,9218868437227405311,
1.797693e+308,0,0,not_finite,4327959241903046655,4327959241903046655,0,4611686018427387903,
-2.225074e-308,0,0,0,0,0,0,4607182418800017408,
2.225074e-308,0,0,0,0,0,0,4607182418800017408,
1.000000e+00,0,0,0,0,0,0,4607182418800017408,
-1.000000e+00,0,0,0,0,0,0,0,
