x,openlibm,matlab,maple,mpfr64,mpfr128,crlibm,intel-mkl,libmcr,mathematica,
-1.000000e+00,0,0,6,1,1,0,0,0,0,
-9.800000e-01,0,0,10,1,1,0,0,0,0,
-9.600000e-01,0,0,1,1,1,0,0,0,0,
-9.400000e-01,0,0,2,1,1,0,0,0,0,
-9.200000e-01,0,1,2,0,0,0,0,0,0,
-9.000000e-01,0,0,2,1,1,0,0,0,0,
-8.800000e-01,0,0,7,1,1,0,0,0,0,
-8.600000e-01,0,0,15,0,0,0,0,0,0,
-8.400000e-01,0,1,13,1,1,0,0,0,0,
-8.200000e-01,0,0,4,1,1,0,0,0,0,
-8.000000e-01,0,0,10,0,0,0,0,0,0,
-7.800000e-01,0,0,9,0,0,0,0,0,0,
-7.600000e-01,0,0,4,1,1,0,0,0,0,
-7.400000e-01,0,0,7,0,0,0,0,0,0,
-7.200000e-01,0,0,12,1,1,0,0,0,0,
-7.000000e-01,0,0,9,0,0,0,0,0,0,
-6.800000e-01,0,0,6,1,1,0,0,0,0,
-6.600000e-01,0,0,3,1,1,0,0,0,0,
-6.400000e-01,0,0,5,0,0,0,0,0,0,
-6.200000e-01,0,0,4,0,0,0,0,0,0,
-6.000000e-01,0,1,4,0,0,0,1,0,0,
-5.800000e-01,0,0,0,1,1,0,0,0,0,
-5.600000e-01,0,0,8,1,1,0,0,0,0,
-5.400000e-01,0,0,6,0,0,0,0,0,0,
-5.200000e-01,0,1,3,1,1,0,0,0,0,
-5.000000e-01,0,0,4,1,1,0,0,0,0,
-4.800000e-01,0,0,8,0,0,0,0,0,0,
-4.600000e-01,0,0,0,0,0,0,0,0,0,
-4.400000e-01,0,0,4,1,1,0,0,0,0,
-4.200000e-01,0,0,7,0,0,0,0,0,0,
-4.000000e-01,0,0,3,1,1,0,0,0,0,
-3.800000e-01,0,0,7,0,0,0,0,0,0,
-3.600000e-01,0,0,0,0,0,0,0,0,0,
-3.400000e-01,0,0,7,1,1,0,0,0,0,
-3.200000e-01,0,0,8,0,0,0,0,0,0,
-3.000000e-01,0,1,8,0,0,0,0,0,0,
-2.800000e-01,0,0,4,1,1,0,0,0,0,
-2.600000e-01,0,0,2,0,0,0,0,0,0,
-2.400000e-01,0,1,4,1,1,0,0,0,0,
-2.200000e-01,0,0,4,0,0,0,0,0,0,
-2.000000e-01,0,0,8,1,1,0,0,0,0,
-1.800000e-01,0,0,1,1,1,0,0,0,0,
-1.600000e-01,0,0,3,1,1,0,0,0,0,
-1.400000e-01,0,0,8,1,1,0,0,0,0,
-1.200000e-01,0,0,4,0,0,0,0,0,0,
-1.000000e-01,0,0,6,1,1,0,0,0,0,
-8.000000e-02,0,0,8,1,1,0,0,0,0,
-6.000000e-02,0,0,6,0,0,0,0,0,0,
-4.000000e-02,0,0,2,1,1,0,0,0,0,
-2.000000e-02,0,0,2,0,0,0,0,0,0,
0.000000e+00,0,0,0,0,0,0,0,0,0,
2.000000e-02,0,0,26,0,0,0,0,0,0,
4.000000e-02,0,0,37,0,0,0,0,0,0,
6.000000e-02,0,0,2,0,0,0,0,0,0,
8.000000e-02,0,0,39,1,1,0,0,0,0,
1.000000e-01,0,0,35,0,0,0,0,0,0,
1.200000e-01,0,0,26,0,0,0,0,0,0,
1.400000e-01,0,0,33,0,0,0,0,0,0,
1.600000e-01,0,0,0,0,0,0,0,0,0,
1.800000e-01,0,0,1,1,1,0,0,0,0,
2.000000e-01,0,0,997109379148941,1,1,0,0,0,997109379148941,
2.200000e-01,0,0,1108231072177878,0,0,0,0,0,1108231072177878,
2.400000e-01,0,0,113366500134167,1,1,0,0,0,113366500134164,
2.600000e-01,0,0,115656655351038,0,0,0,0,0,115656655351017,
2.800000e-01,0,1,117993074772128,0,0,0,0,0,117993074772120,
3.000000e-01,0,0,120376692996426,1,1,0,0,0,120376692996395,
3.200000e-01,0,0,122808463502925,1,1,0,0,0,122808463502911,
3.400000e-01,0,0,125289359032329,1,1,0,0,0,125289359032297,
3.600000e-01,0,0,127820371975860,0,0,0,0,0,127820371975842,
3.800000e-01,0,0,130402514772475,0,0,0,0,0,130402514772473,
4.000000e-01,0,0,133036820313757,1,1,0,0,0,133036820313736,
4.200000e-01,0,0,135724342356973,0,0,0,0,0,135724342356970,
4.400000e-01,0,0,138466155946850,1,1,0,0,0,138466155946833,
4.600000e-01,0,1,141263357845340,1,1,0,0,0,141263357845313,
4.800000e-01,0,0,144117066970475,1,1,0,0,0,144117066970467,
5.000000e-01,0,0,147028424844012,1,1,0,0,0,147028424843996,
5.200000e-01,0,0,149998596047905,1,1,0,0,0,149998596047868,
5.400000e-01,0,0,153028768690196,1,1,0,0,0,153028768690167,
5.600000e-01,0,0,156120154880391,1,1,0,0,0,156120154880353,
5.800000e-01,0,0,159273991214125,0,0,0,0,0,159273991214120,
6.000000e-01,0,0,162491539268071,0,0,0,0,0,162491539268056,
6.200000e-01,0,0,165774086104322,1,1,0,0,0,165774086104281,
6.400000e-01,0,0,169122944785308,1,1,0,0,0,169122944785298,
6.600000e-01,0,0,172539454899239,0,0,0,0,0,172539454899231,
6.800000e-01,0,0,176024983095689,1,1,0,0,0,176024983095681,
7.000000e-01,0,0,148612579512750,1,1,0,0,0,148612579512716,
7.200000e-01,0,0,91604349466524,0,0,0,0,0,91604349466509,
7.400000e-01,0,0,93454880078029,0,0,0,0,0,93454880078012,
7.600000e-01,0,0,95342793887638,0,0,0,0,0,95342793887628,
7.800000e-01,0,0,97268846086072,0,0,0,0,0,97268846086053,
8.000000e-01,0,0,99233807119850,1,1,0,0,0,99233807119848,
8.200000e-01,0,0,101238462999643,1,1,0,0,0,101238462999625,
8.400000e-01,0,0,103283615614480,1,1,0,0,0,103283615614467,
8.600000e-01,0,0,105370083052691,0,0,0,0,0,105370083052687,
8.800000e-01,0,0,107498699929094,1,1,0,0,0,107498699929082,
9.000000e-01,0,0,109670317718783,0,0,0,0,0,109670317718783,
9.200000e-01,0,0,111885805097862,1,1,0,0,0,111885805097862,
9.400000e-01,0,0,114146048290829,0,0,0,0,0,114146048290812,
9.600000e-01,0,0,116451951425049,1,1,0,0,0,116451951425046,
9.800000e-01,0,1,118804436892579,0,0,0,0,0,118804436892562,
1.000000e+00,0,1,121204445718931,0,0,0,0,0,121204445718916,
