x,openlibm,matlab,maple,mpfr64,mpfr128,crlibm,intel-mkl,mathematica,
0.000000e+00,not_finite,not_finite,not_finite,not_finite,not_finite,not_finite,not_finite,not_finite,
1.000000e-02,0,0,0,0,0,0,0,0,
2.000000e-02,0,0,39,1,1,0,0,0,
3.000000e-02,0,0,34,0,0,0,0,0,
4.000000e-02,0,0,34,1,1,0,0,0,
5.000000e-02,0,0,6,0,0,0,0,0,
6.000000e-02,0,0,29,1,1,0,0,0,
7.000000e-02,0,0,14,1,1,0,0,0,
8.000000e-02,0,0,29,0,0,0,0,0,
9.000000e-02,0,0,24,0,0,0,0,0,
1.000000e-01,0,0,0,0,0,0,0,0,
1.100000e-01,0,0,0,0,0,0,0,0,
1.200000e-01,0,0,2,0,0,0,0,0,
1.300000e-01,0,0,2,1,1,0,0,1,
1.400000e-01,0,0,1,0,0,0,0,0,
1.500000e-01,0,0,7,1,1,0,0,0,
1.600000e-01,0,0,2,1,1,0,0,0,
1.700000e-01,0,1,1,0,0,1,1,1,
1.800000e-01,0,0,9,0,0,0,0,0,
1.900000e-01,0,0,0,1,1,0,0,0,
2.000000e-01,0,0,7,1,1,0,0,0,
2.100000e-01,0,0,6,1,1,0,0,1,
2.200000e-01,0,0,6,1,1,0,0,0,
2.300000e-01,0,0,0,1,1,0,0,0,
2.400000e-01,0,0,0,1,1,0,0,0,
2.500000e-01,0,0,4,0,0,0,0,0,
2.600000e-01,0,0,0,0,0,0,0,0,
2.700000e-01,0,0,6,1,1,0,0,0,
2.800000e-01,0,0,7,0,0,0,0,1,
2.900000e-01,0,0,8,1,1,0,0,0,
3.000000e-01,0,0,6,0,0,0,0,0,
3.100000e-01,0,0,3,0,0,0,0,0,
3.200000e-01,0,0,0,1,1,0,0,0,
3.300000e-01,0,0,9,1,1,0,0,0,
3.400000e-01,0,0,16,0,0,0,0,0,
3.500000e-01,0,0,6,0,0,0,0,0,
3.600000e-01,0,0,13,1,1,0,0,0,
3.700000e-01,0,0,0,0,0,0,0,0,
3.800000e-01,0,0,15,1,1,0,0,0,
3.900000e-01,0,0,14,0,0,0,0,0,
4.000000e-01,0,0,11,0,0,0,0,0,
4.100000e-01,0,0,9,0,0,0,0,0,
4.200000e-01,0,0,10,0,0,0,0,0,
4.300000e-01,0,0,8,1,1,0,0,0,
4.400000e-01,0,0,10,0,0,0,0,0,
4.500000e-01,0,0,6,0,0,0,0,0,
4.600000e-01,0,0,16,1,1,0,0,0,
4.700000e-01,0,0,10,0,0,0,0,0,
4.800000e-01,0,0,14,1,1,0,0,0,
4.900000e-01,0,0,6,1,1,0,0,1,
5.000000e-01,0,0,4,0,0,0,0,0,
5.100000e-01,0,0,11,1,1,0,0,0,
5.200000e-01,0,0,14,1,1,1,1,1,
5.300000e-01,0,0,1,0,0,0,0,0,
5.400000e-01,0,0,9,0,0,1,1,1,
5.500000e-01,0,0,2,1,1,0,0,0,
5.600000e-01,0,0,10,1,1,0,0,0,
5.700000e-01,0,0,19,1,1,1,1,1,
5.800000e-01,0,2,28,1,1,1,1,1,
5.900000e-01,0,0,30,1,1,0,0,0,
6.000000e-01,0,0,47181372601818481,1,1,1,1,47181372601818483,
6.100000e-01,0,0,47229867264827857,1,1,0,0,47229867264827871,
6.200000e-01,0,0,254430121907125,1,1,1,1,254430121907124,
6.300000e-01,0,0,250359064843709,1,1,0,0,250359064843714,
6.400000e-01,0,0,246416238128889,1,1,0,0,246416238128899,
6.500000e-01,0,0,242595677070956,1,1,1,1,242595677070985,
6.600000e-01,0,0,238891781270754,0,0,0,0,238891781270769,
6.700000e-01,0,0,235299287227897,1,1,1,1,235299287227908,
6.800000e-01,0,1,231813243382578,0,0,0,0,231813243382598,
6.900000e-01,0,0,228428987343655,1,1,0,0,228428987343678,
7.000000e-01,0,0,225142125082866,0,0,0,0,225142125082889,
7.100000e-01,0,0,221948511900054,1,1,0,0,221948511900059,
7.200000e-01,0,0,218844234985786,0,0,0,0,218844234985812,
7.300000e-01,0,0,215825597427487,1,1,0,0,215825597427507,
7.400000e-01,0,0,212889103520986,0,0,0,0,212889103520990,
7.500000e-01,0,0,212238691569635,2,2,1,1,212238691569664,
7.600000e-01,0,0,414498979862790,0,0,0,0,414498979862786,
7.700000e-01,0,0,409080537208758,1,1,0,0,409080537208804,
7.800000e-01,0,0,403801931230201,0,0,1,1,403801931230209,
7.900000e-01,0,0,398657817555414,1,1,0,0,398657817555456,
8.000000e-01,0,0,393643120730344,0,0,0,0,393643120730384,
8.100000e-01,0,0,388753017513922,1,1,0,0,388753017513950,
8.200000e-01,0,0,383982921403806,0,0,0,0,383982921403823,
8.300000e-01,0,0,379328468287481,0,0,0,0,379328468287501,
8.400000e-01,0,0,374785503124561,1,1,0,0,374785503124566,
8.500000e-01,0,0,370350067574649,1,1,1,1,370350067574675,
8.600000e-01,0,0,366018388493768,1,1,0,0,366018388493788,
8.700000e-01,0,0,507289352680897,1,1,0,0,507289352680918,
8.800000e-01,0,0,715304139288651,1,1,0,0,715304139288720,
8.900000e-01,0,0,707221433661138,2,2,1,1,707221433661191,
9.000000e-01,0,0,699319352855285,0,0,0,0,699319352855315,
9.100000e-01,0,0,691591909060089,1,1,0,0,691591909060106,
9.200000e-01,0,0,684033376240069,1,1,1,1,684033376240124,
9.300000e-01,0,0,676638275984644,1,1,1,1,676638275984603,
9.400000e-01,0,0,1300316559153865,1,1,0,0,1300316559153845,
9.500000e-01,0,0,1324635238063223,1,1,1,1,1324635238063313,
9.600000e-01,0,0,1310764457188103,1,1,0,0,1310764457188161,
9.700000e-01,0,0,1987992780531753,0,0,0,0,1987992780531639,
