x,openlibm,matlab,maple,mpfr64,mpfr128,intel-mkl,mathematica,
0.000000e+00,0,0,0,0,0,0,0,
1.000000e+00,0,0,0,0,0,0,0,
2.000000e+00,0,0,23,1,1,0,0,
3.000000e+00,0,0,32,0,0,0,0,
4.000000e+00,0,0,0,0,0,0,0,
5.000000e+00,0,0,0,1,1,0,0,
6.000000e+00,0,0,18,0,0,0,0,
7.000000e+00,0,0,2,1,1,0,0,
8.000000e+00,0,0,1,1,1,0,0,
9.000000e+00,0,0,0,0,0,0,0,
1.000000e+01,0,0,21,1,1,0,0,
1.100000e+01,0,0,0,0,0,0,0,
1.200000e+01,0,0,10,0,0,0,0,
1.300000e+01,0,0,21,0,0,0,0,
1.400000e+01,0,0,3,0,0,0,0,
5.069114e-321,0,2404631789037377751,2404631789037377735,0,0,2404631789037377751,2404631789037377751,
1.600000e+01,0,0,0,0,0,0,0,
1.700000e+01,0,0,1,1,1,0,0,
1.800000e+01,0,0,5,0,0,0,0,
1.900000e+01,0,0,4,1,1,0,0,
2.000000e+01,0,0,11,1,1,0,0,
2.100000e+01,0,0,0,0,0,0,0,
2.200000e+01,0,0,0,1,1,0,0,
2.300000e+01,0,0,1,0,0,0,0,
2.400000e+01,0,0,6,0,0,0,0,
2.500000e+01,0,0,0,0,0,0,0,
2.600000e+01,0,0,5,0,0,0,0,
2.700000e+01,0,0,2,1,1,0,0,
2.800000e+01,0,0,2,1,1,0,0,
2.900000e+01,0,0,4,0,0,0,0,
5.074054e-321,0,2406578816908187668,2406578816908187667,1,1,2406578816908187668,2406578816908187668,
3.100000e+01,0,0,2,0,0,0,0,
3.200000e+01,0,0,1,1,1,0,0,
3.300000e+01,0,0,10,0,0,0,0,
3.400000e+01,0,0,1,1,1,0,0,
3.500000e+01,0,0,7,1,1,0,0,
3.600000e+01,0,0,0,0,0,0,0,
3.700000e+01,0,0,1,0,0,0,0,
3.800000e+01,0,0,7,0,0,0,0,
3.900000e+01,0,0,9,1,1,0,0,
4.000000e+01,0,0,10,1,1,0,0,
4.100000e+01,0,0,10,0,0,0,0,
4.200000e+01,0,0,0,1,1,0,0,
4.300000e+01,0,0,0,0,0,0,0,
4.400000e+01,0,0,0,0,0,0,0,
4.500000e+01,0,0,11,1,1,0,0,
4.600000e+01,0,0,9,0,0,0,0,
4.700000e+01,0,0,4,0,0,0,0,
4.800000e+01,0,0,10,0,0,0,0,
4.900000e+01,0,0,0,0,0,0,0,
5.000000e+01,0,0,6,1,1,0,0,
5.100000e+01,0,0,0,1,1,1,0,
5.200000e+01,0,0,9,0,0,0,0,
5.300000e+01,0,0,9,0,0,0,0,
5.400000e+01,0,0,5,1,1,0,0,
5.500000e+01,0,0,3,1,1,0,0,
5.600000e+01,0,0,3,0,0,0,0,
5.700000e+01,0,0,0,1,1,0,0,
5.800000e+01,0,0,10,1,1,0,0,
5.900000e+01,0,0,9,0,0,0,0,
5.078995e-321,0,2409130997046046314,2211276204558737520,1,1,2409130997046046314,0,
6.100000e+01,0,0,4620479577809908840,0,0,0,2315218304444544287,
6.200000e+01,0,0,71785349307054,1,1,0,71785349307050,
6.300000e+01,0,0,71208732141134,1,1,0,71208732141133,
6.400000e+01,0,0,70645790771875,0,0,0,70645790771873,
6.500000e+01,0,0,35047996504784,0,0,0,35047996504784,
6.600000e+01,0,0,34779417607484,1,1,0,34779417607484,
6.700000e+01,0,0,34516920179839,1,1,0,34516920179839,
6.800000e+01,0,0,34260278122620,1,1,0,34260278122620,
6.900000e+01,0,0,34009276932867,1,1,0,34009276932866,
7.000000e+01,0,0,33763712950229,1,1,0,33763712950226,
7.100000e+01,0,0,33523392662318,1,1,0,33523392662315,
7.200000e+01,0,0,33288132063704,0,0,0,33288132063699,
7.300000e+01,0,0,33057756063690,0,0,0,33057756063690,
7.400000e+01,0,0,32832097938603,0,0,0,32832097938603,
7.500000e+01,0,0,32610998824609,1,1,0,32610998824605,
7.600000e+01,0,0,32394307247634,1,1,0,32394307247630,
7.700000e+01,0,0,32181878687214,1,1,0,32181878687210,
7.800000e+01,0,0,31973575171362,1,1,1,31973575171361,
7.900000e+01,0,0,31769264899952,0,0,0,31769264899948,
8.000000e+01,0,0,31568821894205,1,1,0,31568821894200,
8.100000e+01,0,0,31372125670237,0,0,0,31372125670232,
8.200000e+01,0,0,31179060934692,1,1,0,31179060934692,
8.300000e+01,0,0,30989517300744,1,1,0,30989517300740,
8.400000e+01,0,0,30803389022818,0,0,0,30803389022813,
8.500000e+01,0,0,30620574748693,0,0,0,30620574748693,
8.600000e+01,0,0,30440977287582,1,1,0,30440977287578,
8.700000e+01,0,0,30264503392948,1,1,0,30264503392946,
8.800000e+01,0,0,30091063559108,1,1,0,30091063559105,
8.900000e+01,0,0,29920571830431,0,0,0,29920571830426,
9.000000e+01,0,0,29752945622335,1,1,0,29752945622333,
9.100000e+01,0,0,29588105553202,0,0,0,29588105553197,
9.200000e+01,0,0,29425975286382,0,0,0,29425975286379,
9.300000e+01,0,0,29266481381679,0,0,0,29266481381674,
9.400000e+01,0,0,29109553155529,1,1,0,29109553155526,
9.500000e+01,0,0,28955122549408,0,0,0,28955122549403,
9.600000e+01,0,0,28803124005775,0,0,0,28803124005773,
9.700000e+01,0,0,28653494351157,0,0,0,28653494351156,
9.800000e+01,0,0,28506172685811,1,1,0,28506172685809,
9.900000e+01,0,0,28361100279575,0,0,0,28361100279572,
1.000000e+02,0,0,28218220473497,0,0,0,28218220473497,
