identity,x,y,newlib,openlibm,maple,mpfr64,mpfr128,crlibm,intel-mkl,libmcr,mathematica,
exp(a)/exp(b)=exp(a-b),0.000000e+00,5.000000e+00,0,0,0,0,0,0,0,0,0,
exp(a)/exp(b)=exp(a-b),2.000000e+00,-2.000000e+00,0,0,0,0,0,0,0,0,0,
exp(a)/exp(b)=exp(a-b),2.000000e+00,0.000000e+00,0,0,0,0,0,0,0,0,0,
exp(a)/exp(b)=exp(a-b),-2.000000e+00,5.000000e+00,1,1,0,0,0,1,1,1,0,
exp(a)/exp(b)=exp(a-b),-2.000000e+00,1.000000e+22,0,0,0,0,0,0,0,0,0,
exp(a)/exp(b)=exp(a-b),8.000000e+00,8.000000e+00,0,0,0,0,0,0,0,0,0,
exp(a)/exp(b)=exp(a-b),-1.000000e-22,-1.000000e-23,0,0,0,1,0,0,0,0,0,
exp(a)/exp(b)=exp(a-b),1.000000e+22,3.000000e+00,not_finite,not_finite,0,0,0,not_finite,not_finite,not_finite,not_finite,
exp(a)/exp(b)=exp(a-b),2.225074e-308,3.000000e+00,0,0,0,0,0,0,0,0,0,
exp(a)/exp(b)=exp(a-b),1.797693e+308,3.000000e+00,not_finite,not_finite,0,0,0,not_finite,not_finite,not_finite,not_finite,
