identity,x,y,newlib,openlibm,maple,mpfr64,mpfr128,intel-mkl,mathematica,
sqrt(a)/sqrt(b)=sqrt(a/b),0.000000e+00,5.000000e+00,0,0,not_finite,0,0,0,0,
sqrt(a)/sqrt(b)=sqrt(a/b),2.000000e+00,2.000000e+00,0,0,0,0,0,0,0,
sqrt(a)/sqrt(b)=sqrt(a/b),2.000000e+00,1.000000e-22,0,0,0,0,0,0,0,
sqrt(a)/sqrt(b)=sqrt(a/b),1.000000e-22,1.000000e+24,1,1,0,0,0,1,0,
sqrt(a)/sqrt(b)=sqrt(a/b),1.000000e-22,1.000000e-24,1,1,0,0,0,1,0,
sqrt(a)/sqrt(b)=sqrt(a/b),2.000000e+00,2.225074e-308,0,0,0,0,0,0,0,
sqrt(a)/sqrt(b)=sqrt(a/b),2.225074e-308,1.797693e+308,2251799813685248,2251799813685248,0,0,0,2251799813685248,0,
sqrt(a)/sqrt(b)=sqrt(a/b),1.797693e+308,2.225074e-308,not_finite,not_finite,0,0,0,not_finite,0,
sqrt(a)/sqrt(b)=sqrt(a/b),2.225074e-308,3.000000e+00,1,1,0,0,0,1,0,
sqrt(a)/sqrt(b)=sqrt(a/b),1.797693e+308,3.000000e+00,0,0,0,0,0,0,0,
