identity,x,y,newlib,openlibm,mpfr64,mpfr128,crlibm,intel-mkl,libmcr,mathematica,
pow(x,0.000000e+00,0.000000e+00,4617315517961601024,4617315517961601024,4617315517961601024,4617315517961601024,not_finite,not_finite,not_finite,0,
pow(x,0.000000e+00,0.000000e+00,4611686018427387904,4611686018427387904,4611686018427387904,4611686018427387904,1,1,1,0,
pow(x,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,0,
pow(x,0.000000e+00,0.000000e+00,4617315517961601024,4617315517961601024,4617315517961601024,4617315517961601024,0,0,0,0,
pow(x,0.000000e+00,0.000000e+00,4636737291354636288,4636737291354636288,4636737291354636288,4636737291354636288,0,0,0,0,
pow(x,0.000000e+00,0.000000e+00,4620693217682128896,4620693217682128896,4620693217682128896,4620693217682128896,7,7,7,0,
pow(x,0.000000e+00,0.000000e+00,4636737291354636288,4636737291354636288,4636737291354636288,4636737291354636288,not_finite,not_finite,not_finite,0,
pow(x,0.000000e+00,0.000000e+00,4613937818241073152,4613937818241073152,4613937818241073152,4613937818241073152,0,0,0,0,
pow(x,0.000000e+00,0.000000e+00,4613937818241073152,4613937818241073152,4613937818241073152,4613937818241073152,not_finite,not_finite,not_finite,not_finite,
pow(x,0.000000e+00,0.000000e+00,4613937818241073152,4613937818241073152,4613937818241073152,4613937818241073152,not_finite,not_finite,not_finite,0,
