identity,x,y,newlib,openlibm,maple,mpfr64,mpfr128,crlibm,intel-mkl,libmcr,mathematica,
cos(x-y)=sin(x)*sin(y)+cos(x)*cos(y),0.000000e+00,1.570796e+00,0,0,0,0,0,0,0,0,7734036154451642,
cos(x-y)=sin(x)*sin(y)+cos(x)*cos(y),1.570796e+00,1.047198e+00,0,0,0,0,0,0,0,0,0,
cos(x-y)=sin(x)*sin(y)+cos(x)*cos(y),1.047198e+00,7.853982e-01,0,0,0,0,0,0,0,0,0,
cos(x-y)=sin(x)*sin(y)+cos(x)*cos(y),7.853982e-01,6.283185e-01,0,0,0,0,0,0,0,0,0,
cos(x-y)=sin(x)*sin(y)+cos(x)*cos(y),6.283185e-01,5.235988e-01,0,0,0,0,0,0,0,1,0,
cos(x-y)=sin(x)*sin(y)+cos(x)*cos(y),5.235988e-01,3.926991e-01,1,1,0,0,0,1,1,0,0,
cos(x-y)=sin(x)*sin(y)+cos(x)*cos(y),3.926991e-01,3.141593e-01,0,0,0,0,0,0,0,0,0,
cos(x-y)=sin(x)*sin(y)+cos(x)*cos(y),3.141593e-01,2.617994e-01,0,0,0,0,0,0,0,0,0,
cos(x-y)=sin(x)*sin(y)+cos(x)*cos(y),2.617994e-01,0.000000e+00,0,0,0,0,0,0,0,0,0,
cos(x-y)=sin(x)*sin(y)+cos(x)*cos(y),1.000000e+22,1.000000e-22,0,0,0,1157294565244775,0,0,0,0,0,
