x,newlib,openlibm,mpfr64,mpfr128,crlibm,libmcr,
0.000000e+00,5.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,
1.570796e+00,8.100000e+01,8.500000e+01,2.800000e+01,2.600000e+01,0.000000e+00,0.000000e+00,
1.047198e+00,4.000000e+00,5.000000e+00,4.000000e+00,4.000000e+00,1.000000e+00,1.000000e+00,
5.235988e-01,1.000000e+00,0.000000e+00,4.000000e+00,3.000000e+00,0.000000e+00,0.000000e+00,
7.853982e-01,0.000000e+00,1.000000e+00,4.000000e+00,3.000000e+00,0.000000e+00,1.000000e+00,
3.926991e-01,0.000000e+00,0.000000e+00,4.000000e+00,4.000000e+00,0.000000e+00,1.000000e+00,
6.283185e-01,0.000000e+00,0.000000e+00,3.000000e+00,3.000000e+00,0.000000e+00,0.000000e+00,
3.141593e-01,1.000000e+00,2.000000e+00,4.000000e+00,4.000000e+00,0.000000e+00,0.000000e+00,
2.617994e-01,0.000000e+00,0.000000e+00,3.000000e+00,4.000000e+00,0.000000e+00,1.000000e+00,
1.000000e+22,1.000000e+00,2.000000e+00,1.300000e+01,1.300000e+01,1.000000e+00,1.000000e+00,
