x,newlib,openlibm,matlab,maple,mpfr64,mpfr128,crlibm,intel-mkl,mathematica,
-1.000000e+00,4,4,4,-26,5,5,4,4,4,
-9.800000e-01,3,3,3,-28,4,4,3,3,3,
-9.600000e-01,5,5,4,-34,5,5,5,5,4,
-9.400000e-01,3,3,3,-22,3,3,3,3,3,
-9.200000e-01,4,4,4,-20,4,4,4,4,4,
-9.000000e-01,2,2,2,-17,3,3,2,2,2,
-8.800000e-01,1,1,1,-4,2,2,1,1,1,
-8.600000e-01,5,5,5,-35,5,5,5,5,5,
-8.400000e-01,1,1,1,-6,2,2,1,1,1,
-8.200000e-01,1,1,1,-6,1,1,1,1,1,
-8.000000e-01,0,0,0,-3,1,1,0,0,0,
-7.800000e-01,-2,-2,-2,-4,-1,-1,-2,-2,-2,
-7.600000e-01,1,1,1,-5,2,2,1,1,1,
-7.400000e-01,-1,-1,-1,-8,0,0,-1,-1,-1,
-7.200000e-01,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-7.000000e-01,-1,-1,-1,-1,0,0,-1,-1,-1,
-6.800000e-01,0,0,0,-5,0,0,0,0,0,
-6.600000e-01,0,0,0,-5,0,0,0,0,0,
-6.400000e-01,1,1,1,1,1,1,1,1,1,
-6.200000e-01,1,1,1,-6,2,2,1,1,1,
-6.000000e-01,1,1,1,-2,1,1,1,1,1,
-5.800000e-01,1,1,0,-1,1,1,1,1,1,
-5.600000e-01,0,0,0,-2,1,1,0,0,0,
-5.400000e-01,1,1,1,-8,1,1,1,1,1,
-5.200000e-01,0,0,0,-1,0,0,0,0,0,
-5.000000e-01,0,0,0,-8,0,0,0,0,0,
-4.800000e-01,0,0,0,-1,0,0,0,0,0,
-4.600000e-01,0,0,0,-6,1,1,0,0,0,
-4.400000e-01,0,0,0,-6,0,0,0,-1,0,
-4.200000e-01,0,0,0,0,1,1,0,0,0,
-4.000000e-01,2,2,2,1,2,2,2,2,2,
-3.800000e-01,0,0,0,-10,1,1,0,0,0,
-3.600000e-01,-2,-2,-2,-1,-1,-1,-2,-2,-2,
-3.400000e-01,1,1,1,-11,2,2,1,1,2,
-3.200000e-01,1,1,1,0,2,2,1,1,1,
-3.000000e-01,-1,-1,-1,-8,0,0,-1,-1,-1,
-2.800000e-01,1,1,1,-15,2,2,1,1,1,
-2.600000e-01,1,1,1,-15,2,2,1,1,1,
-2.400000e-01,1,1,1,-7,2,2,1,1,1,
-2.200000e-01,2,2,2,-12,2,2,2,1,1,
-2.000000e-01,3,3,3,-24,4,4,3,3,3,
-1.800000e-01,3,3,3,-20,4,4,3,3,3,
-1.600000e-01,3,3,3,-19,4,4,3,3,3,
-1.400000e-01,4,4,4,-26,4,4,4,4,4,
-1.200000e-01,0,0,0,-5,1,1,0,0,1,
-1.000000e-01,7,7,7,-49,8,8,7,7,7,
-8.000000e-02,0,0,0,2,1,1,0,0,0,
-6.000000e-02,6,6,6,-47,6,6,6,6,6,
-4.000000e-02,-2,-2,-2,4,-1,-1,-2,-2,-2,
-2.000000e-02,-16,-16,-16,126,-15,-15,-16,-16,-16,
0.000000e+00,0,0,0,0,0,0,0,0,0,
2.000000e-02,16,16,16,-126,16,16,16,16,16,
4.000000e-02,2,2,2,-4,2,2,2,2,2,
6.000000e-02,-8,-8,-8,61,-7,-7,-8,-8,-8,
8.000000e-02,-1,-1,-1,5,-1,-1,-1,-1,-1,
1.000000e-01,-8,-8,-8,56,-8,-8,-8,-8,-8,
1.200000e-01,-1,-1,-1,12,-1,-1,-1,-1,-2,
1.400000e-01,-3,-3,-3,31,-2,-2,-3,-3,-3,
1.600000e-01,-2,-2,-2,16,-2,-2,-2,-2,-2,
1.800000e-01,-4,-4,-4,19,-4,-4,-4,-4,-4,
2.000000e-01,-1,-1,-1,not_finite,-1,-1,-1,-1,not_finite,
2.200000e-01,-2,-2,-2,12,-1,-1,-2,-1,-1,
2.400000e-01,-1,-1,-1,7,-1,-1,-1,-1,-1,
2.600000e-01,-1,-1,-1,15,-1,-1,-1,-1,-1,
2.800000e-01,-1,-1,-1,15,-1,-1,-1,-1,-1,
3.000000e-01,-1,-1,-1,9,0,0,-1,0,0,
3.200000e-01,-1,-1,-1,3,0,0,-1,-1,-1,
3.400000e-01,-2,-2,-2,13,-1,-1,-2,-2,-2,
3.600000e-01,0,0,0,1,0,0,0,0,0,
3.800000e-01,-1,-1,-1,11,-1,-1,-1,-1,-1,
4.000000e-01,0,0,0,3,1,1,0,0,0,
4.200000e-01,-1,-1,-1,15,-1,-1,-1,-1,-1,
4.400000e-01,0,0,0,6,1,1,0,1,0,
4.600000e-01,0,0,0,6,0,0,0,0,0,
4.800000e-01,0,0,0,1,1,1,0,0,0,
5.000000e-01,-1,-1,-1,7,0,0,-1,-1,-1,
5.200000e-01,0,0,0,1,1,1,0,0,0,
5.400000e-01,-1,-1,-1,8,0,0,-1,-1,-1,
5.600000e-01,0,0,0,2,0,0,0,0,0,
5.800000e-01,-2,-2,-1,0,-1,-1,-2,-2,-2,
6.000000e-01,-1,-1,-1,3,-1,-1,-1,-1,-1,
6.200000e-01,-1,-1,-1,7,-1,-1,-1,-2,-2,
6.400000e-01,0,0,0,1,0,0,0,0,0,
