x,newlib,openlibm,matlab,maple,mpfr64,mpfr128,crlibm,intel-mkl,libmcr,mathematica,
-3.141593e+00,0,0,0,0,0,0,0,0,0,0,
-3.078761e+00,0,0,0,-5,0,0,0,0,0,0,
-3.015929e+00,0,0,0,-7,1,1,0,0,0,0,
-2.953097e+00,1,1,1,-5,1,1,1,1,1,1,
-2.890265e+00,0,0,0,-1,1,1,0,0,0,0,
-2.827433e+00,1,1,1,-4,2,2,1,1,1,1,
-2.764602e+00,2,2,2,-1,2,2,2,2,2,2,
-2.701770e+00,0,0,0,-3,1,1,0,0,0,0,
-2.638938e+00,1,1,1,-4,2,2,1,1,1,1,
-2.576106e+00,1,1,1,-9,1,1,1,1,1,1,
-2.513274e+00,1,1,1,-2,2,2,1,1,1,1,
-2.450442e+00,1,1,1,-9,1,1,1,1,1,1,
-2.387610e+00,1,1,1,-2,2,2,1,1,1,1,
-2.324779e+00,2,2,2,-5,3,3,2,2,2,2,
-2.261947e+00,1,1,1,-3,1,1,1,1,1,1,
-2.199115e+00,-1,-1,-1,-10,0,0,-1,-1,-1,-1,
-2.136283e+00,0,0,0,-4,1,1,0,0,0,0,
-2.073451e+00,0,0,0,-19,1,1,0,0,0,0,
-2.010619e+00,0,0,0,-13,1,1,0,0,0,1,
-1.947787e+00,-2,-2,-2,2,-1,-1,-2,-2,-2,-2,
-1.884956e+00,0,0,0,-6,1,1,0,0,0,1,
-1.822124e+00,2,2,2,-21,3,3,2,2,2,2,
-1.759292e+00,2,2,2,-12,3,3,2,2,2,4,
-1.696460e+00,5,5,5,-36,5,5,5,5,5,3,
-1.633628e+00,1,1,1,-12,1,1,1,1,1,2,
-1.570796e+00,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,
-1.507964e+00,-4,-4,-4,34,-3,-3,-4,-4,-4,-4,
-1.445133e+00,-2,-2,-2,15,-1,-1,-2,-2,-2,0,
-1.382301e+00,-3,-3,-3,31,-3,-3,-3,-3,-3,-4,
-1.319469e+00,-2,-2,-2,33,-2,-2,-2,-2,-2,-1,
-1.256637e+00,-2,-2,-2,10,-2,-2,-2,-2,-2,-3,
-1.193805e+00,-2,-2,-2,0,-1,-1,-2,-2,-2,-2,
-1.130973e+00,1,1,1,-2,1,1,1,1,1,0,
-1.068142e+00,-1,-1,-1,9,0,0,-1,-1,-1,-1,
-1.005310e+00,-1,-1,-1,-1,0,0,-1,-1,-1,-1,
-9.424778e-01,1,1,1,2,1,1,1,1,1,1,
-8.796459e-01,0,0,0,8,1,1,0,0,0,0,
-8.168141e-01,0,0,0,8,1,1,0,0,0,0,
-7.539822e-01,-1,-1,-1,6,0,0,-1,-1,-1,-1,
-6.911504e-01,1,1,1,5,2,2,1,1,1,1,
-6.283185e-01,-2,-2,-2,2,-1,-1,-2,-2,-2,-2,
-5.654867e-01,-1,-1,-1,1,0,0,-1,-1,-1,-1,
-5.026548e-01,0,0,0,6,1,1,0,0,0,0,
-4.398230e-01,1,1,1,7,2,2,1,1,1,1,
-3.769911e-01,-1,-1,-1,4,0,0,-1,-1,-1,-1,
-3.141593e-01,-1,-1,-1,6,0,0,-1,-1,-1,-1,
-2.513274e-01,-1,-1,-1,1,0,0,-1,-1,-1,-1,
-1.884956e-01,-1,-1,-1,5,0,0,-1,-1,-1,-1,
-1.256637e-01,-1,-1,-1,7,0,0,-1,-1,-1,-1,
-6.283185e-02,0,0,0,5,0,0,0,0,0,0,
4.440892e-16,0,0,0,0,1,1,0,0,0,0,
6.283185e-02,0,0,0,5,1,1,0,0,0,0,
1.256637e-01,0,0,0,7,0,0,0,0,0,0,
1.884956e-01,0,0,0,5,0,0,0,0,0,0,
2.513274e-01,0,0,0,1,1,1,0,0,0,0,
3.141593e-01,0,0,0,4,0,0,0,0,0,0,
3.769911e-01,-1,-1,-1,1,0,0,-1,-1,-1,-1,
4.398230e-01,-1,-1,-1,3,0,0,-1,-1,-1,-1,
5.026548e-01,-2,-2,-2,2,-1,-1,-2,-2,-2,-2,
5.654867e-01,-2,-2,-2,6,-2,-2,-2,-2,-2,-2,
6.283185e-01,0,0,0,not_finite,1,1,0,0,0,not_finite,
6.911504e-01,-1,-1,-1,7,0,0,-1,-1,-1,-1,
7.539822e-01,1,1,1,5,2,2,1,1,1,1,
8.168141e-01,-1,-1,-1,4,0,0,-1,-1,-1,-1,
8.796459e-01,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,
9.424778e-01,1,1,1,2,1,1,1,1,1,1,
1.005310e+00,1,1,1,3,2,2,1,1,1,1,
1.068142e+00,-1,-1,-1,2,0,0,-1,-1,-1,-2,
1.130973e+00,-1,-1,-1,0,0,0,-1,-1,-1,-1,
1.193805e+00,-2,-2,-2,11,-1,-1,-2,-2,-2,-2,
1.256637e+00,-1,-1,-1,7,-1,-1,-1,-1,-1,-2,
1.319469e+00,-2,-2,-2,10,-1,-1,-2,-2,-2,-3,
1.382301e+00,-1,-1,-1,18,0,0,-1,-1,-1,-2,
1.445133e+00,-2,-2,-2,19,-2,-2,-2,-2,-2,-4,
1.507964e+00,-1,-1,-1,5,0,0,-1,-1,-1,3,
1.570796e+00,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,
1.633628e+00,-2,-2,-2,9,-2,-2,-2,-2,-2,1,
1.696460e+00,5,5,5,-44,5,5,5,5,5,6,
1.759292e+00,1,1,1,-9,1,1,1,1,1,2,
1.822124e+00,3,3,3,-36,3,3,3,3,3,4,
1.884956e+00,0,0,0,-6,1,1,0,0,0,1,
1.947787e+00,1,1,1,-6,2,2,1,1,1,2,
2.010619e+00,0,0,0,-13,1,1,0,0,0,1,
2.073451e+00,1,1,1,-14,2,2,1,1,1,2,
2.136283e+00,1,1,1,2,1,1,1,1,1,1,
2.199115e+00,2,2,2,-5,2,2,2,2,2,2,
2.261947e+00,0,0,0,-1,0,0,0,0,0,0,
2.324779e+00,2,2,2,-5,3,3,2,2,2,2,
2.387610e+00,1,1,1,1,1,1,1,1,1,1,
2.450442e+00,1,1,1,-2,2,2,1,1,1,1,
2.513274e+00,-1,-1,-1,-9,-1,-1,-1,-1,-1,-1,
2.576106e+00,0,0,0,-3,1,1,0,0,0,0,
2.638938e+00,1,1,1,-4,2,2,1,1,1,1,
2.701770e+00,0,0,0,-7,0,0,0,0,0,0,
2.764602e+00,0,0,0,-4,1,1,0,0,0,0,
2.827433e+00,2,2,2,-6,2,2,2,2,2,2,
2.890265e+00,-1,-1,-1,-3,0,0,-1,-1,-1,-1,
2.953097e+00,1,1,1,-5,1,1,1,1,1,1,
3.015929e+00,1,1,1,-7,2,2,1,1,1,1,
3.078761e+00,0,0,0,-5,1,1,0,0,0,0,
3.141593e+00,0,0,0,0,0,0,0,0,0,0,
