x,newlib,openlibm,matlab,maple,mpfr64,mpfr128,crlibm,intel-mkl,libmcr,mathematica,
0.000000e+00,not_finite,not_finite,not_finite,not_finite,not_finite,not_finite,not_finite,not_finite,not_finite,not_finite,
1.000000e-02,-1,-1,-1,-2,0,0,-1,-1,-1,0,
2.000000e-02,1,1,1,-12,2,2,1,1,1,1,
3.000000e-02,0,0,0,-4,0,0,0,0,0,0,
4.000000e-02,1,1,1,0,2,2,1,1,1,1,
5.000000e-02,0,0,0,-2,1,1,0,0,0,0,
6.000000e-02,2,2,2,-12,3,3,2,2,2,2,
7.000000e-02,1,1,1,-17,2,2,1,1,1,1,
8.000000e-02,1,1,1,-12,1,1,1,1,1,1,
9.000000e-02,1,1,0,-4,1,1,1,1,1,1,
1.000000e-01,-1,-1,-1,-13,0,0,-1,-1,-1,-1,
1.100000e-01,0,0,0,-2,1,1,0,0,0,0,
1.200000e-01,-1,-1,-1,-3,0,0,-1,-1,-1,-1,
1.300000e-01,2,2,2,-8,2,2,2,2,2,2,
1.400000e-01,2,2,2,-10,2,2,2,2,2,2,
1.500000e-01,2,2,2,-4,3,3,2,2,2,2,
1.600000e-01,-2,-2,-2,-3,-2,-2,-2,-2,-2,-2,
1.700000e-01,2,2,2,-21,3,3,2,2,2,2,
1.800000e-01,3,3,4,-27,4,4,3,3,3,4,
1.900000e-01,-1,-1,-1,-5,0,0,-1,-1,-1,-1,
2.000000e-01,1,1,1,0,2,2,1,1,1,1,
2.100000e-01,6,6,6,-32,7,7,6,6,6,6,
2.200000e-01,2,2,2,-23,2,2,2,2,2,2,
2.300000e-01,0,0,0,-8,0,0,0,0,0,0,
2.400000e-01,1,1,1,-25,1,1,1,1,1,1,
2.500000e-01,0,0,0,-3,1,1,0,0,0,0,
2.600000e-01,2,2,2,-40,3,3,2,2,2,2,
2.700000e-01,0,0,0,-10,0,0,0,0,0,0,
2.800000e-01,3,3,3,-30,4,4,3,3,3,3,
2.900000e-01,3,3,3,-30,3,3,3,3,3,3,
3.000000e-01,3,3,3,-25,3,3,3,3,3,3,
3.100000e-01,3,3,3,-20,4,4,3,3,3,3,
3.200000e-01,2,2,2,-20,2,2,2,2,2,2,
3.300000e-01,1,1,1,-4,1,1,1,1,1,1,
3.400000e-01,0,0,0,1,1,1,0,0,0,1,
3.500000e-01,4,4,4,-30,4,4,4,4,4,4,
3.600000e-01,2,2,2,-5,2,2,2,2,2,2,
3.700000e-01,1,1,2,-7,2,2,1,1,1,1,
3.800000e-01,1,1,1,-4,1,1,1,1,1,1,
3.900000e-01,3,3,2,-6,3,3,3,3,3,3,
4.000000e-01,1,1,1,1,2,2,1,1,1,1,
4.100000e-01,0,0,0,-5,0,0,0,0,0,0,
4.200000e-01,-1,-1,0,-2,0,0,-1,-1,-1,-1,
4.300000e-01,2,2,2,-7,2,2,2,2,2,2,
4.400000e-01,1,1,1,-1,1,1,1,1,1,1,
4.500000e-01,2,2,2,-4,2,2,2,2,2,2,
4.600000e-01,-1,-1,-1,-4,0,0,-1,-1,-1,-1,
4.700000e-01,1,1,1,-5,2,2,1,1,1,1,
4.800000e-01,0,0,0,-4,1,1,0,0,0,0,
4.900000e-01,1,1,1,-6,1,1,1,1,1,1,
5.000000e-01,0,0,0,-3,1,1,0,0,0,0,
5.100000e-01,1,1,1,-5,1,1,1,1,1,0,
5.200000e-01,0,0,0,1,1,1,0,0,0,0,
5.300000e-01,1,1,1,-4,1,1,1,1,1,1,
5.400000e-01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
5.500000e-01,0,0,0,-4,0,0,0,0,0,0,
5.600000e-01,0,0,0,0,0,0,0,0,0,0,
5.700000e-01,1,1,1,0,2,2,1,1,1,1,
5.800000e-01,1,1,0,0,1,1,1,1,1,1,
5.900000e-01,1,1,1,-8,1,1,1,1,1,1,
6.000000e-01,1,1,1,not_finite,1,1,1,1,1,not_finite,
6.100000e-01,0,0,0,-2,1,1,0,0,0,0,
6.200000e-01,0,0,0,-14,1,1,0,0,0,0,
6.300000e-01,1,1,1,-11,2,2,1,1,1,1,
6.400000e-01,1,1,1,-8,2,2,1,1,1,1,
6.500000e-01,0,0,0,-4,0,0,0,0,0,0,
6.600000e-01,1,1,1,-13,1,1,1,1,1,1,
6.700000e-01,1,1,1,-3,2,2,1,1,1,1,
6.800000e-01,-1,-1,-2,-12,-1,-1,-1,-1,-1,-1,
6.900000e-01,1,1,1,-15,2,2,1,1,1,1,
7.000000e-01,-1,-1,-1,-6,0,0,-1,-1,-1,-1,
7.100000e-01,3,3,3,-15,3,3,3,3,3,3,
7.200000e-01,0,0,0,-2,0,0,0,0,0,0,
7.300000e-01,-1,-1,-1,-5,0,0,-1,-1,-1,-1,
7.400000e-01,2,2,2,-9,3,3,2,2,2,2,
7.500000e-01,2,2,2,-14,3,3,2,2,2,2,
7.600000e-01,0,0,0,-5,0,0,0,0,0,0,
7.700000e-01,0,0,0,-9,0,0,0,0,0,0,
7.800000e-01,1,1,1,-21,1,1,1,1,1,0,
7.900000e-01,4,4,4,-26,4,4,4,4,4,4,
8.000000e-01,3,3,3,-23,3,3,3,3,3,3,
8.100000e-01,3,3,3,-16,4,4,3,3,3,3,
8.200000e-01,0,0,0,-6,1,1,0,0,0,0,
8.300000e-01,2,2,2,-11,2,2,2,2,2,2,
8.400000e-01,3,3,3,-26,3,3,3,3,3,3,
8.500000e-01,3,3,3,-31,4,4,3,3,3,3,
8.600000e-01,3,3,3,-21,3,3,3,3,3,3,
8.700000e-01,2,2,2,-22,2,2,2,2,2,2,
8.800000e-01,2,2,2,-30,3,3,2,2,2,2,
8.900000e-01,4,4,4,-33,5,5,4,4,4,5,
9.000000e-01,1,1,1,-19,1,1,1,1,1,1,
9.100000e-01,3,3,3,-18,4,4,3,3,3,3,
9.200000e-01,0,0,0,-1,1,1,0,0,0,0,
9.300000e-01,1,1,1,-26,2,2,1,1,1,1,
9.400000e-01,5,5,5,-54,5,5,5,5,5,5,
9.500000e-01,5,5,5,-61,6,6,5,5,5,5,
9.600000e-01,3,3,3,-21,4,4,3,3,3,4,
9.700000e-01,-12,-12,-12,111,-12,-12,-12,-12,-12,-11,
9.800000e-01,13,13,13,-121,14,14,13,13,13,14,
9.900000e-01,25,25,25,-235,25,25,25,25,25,25,
1.000000e+00,0,0,0,0,0,0,0,0,0,0,
