x,openlibm,matlab,maple,mpfr64,mpfr128,crlibm,intel-mkl,libmcr,mathematica,
0.000000e+00,not_finite,not_finite,not_finite,not_finite,not_finite,not_finite,not_finite,not_finite,not_finite,
1.000000e-02,0,4616870979110786325,4616870979110786325,1,1,4616870979110786325,4616870979110786325,4616870979110786325,4616870979110786325,
2.000000e-02,0,9220410045788214686,9220410045788214683,1,1,9220410045788214686,9220410045788214686,9220410045788214686,9220410045788214686,
3.000000e-02,0,9222705014286396336,9222705014286396338,0,0,9222705014286396337,9222705014286396337,9222705014286396337,9222705014286396337,
4.000000e-02,0,9223352816723543842,9223352816723543839,1,1,9223352816723543842,9223352816723543842,9223352816723543842,9223352816723543842,
5.000000e-02,0,9223855291330818244,9223855291330818243,1,1,9223855291330818244,9223855291330818244,9223855291330818244,9223855291330818244,
6.000000e-02,0,9224265842978437676,9224265842978437654,1,1,9224265842978437676,9224265842978437676,9224265842978437676,9224265842978437676,
7.000000e-02,0,9224612959450552150,9224612959450552135,1,1,9224612959450552150,9224612959450552150,9224612959450552150,9224612959450552150,
8.000000e-02,0,9224734758966831659,9224734758966831646,0,0,9224734758966831659,9224734758966831659,9224734758966831659,9224734758966831659,
9.000000e-02,0,9224734758966831660,9224734758966831638,0,0,9224734758966831660,9224734758966831660,9224734758966831660,9224734758966831660,
1.000000e-01,0,9224734758966831659,9224734758966831646,1,1,9224734758966831659,9224734758966831659,9224734758966831659,9224734758966831659,
1.100000e-01,0,9224734758966831659,9224734758966831657,1,1,9224734758966831659,9224734758966831659,9224734758966831659,9224734758966831659,
1.200000e-01,0,9224734758966831659,9224734758966831658,1,1,9224734758966831659,9224734758966831659,9224734758966831659,9224734758966831659,
1.300000e-01,0,9224734758966831659,9224734758966831644,0,0,9224734758966831659,9224734758966831659,9224734758966831659,9224734758966831659,
1.400000e-01,0,9224658451903125678,9224658451903125659,0,0,9224658451903125678,9224658451903125678,9224658451903125678,9224658451903125678,
1.500000e-01,0,9224503093767965751,9224503093767965751,1,1,9224503093767965751,9224503093767965751,9224503093767965751,9224503093767965751,
1.600000e-01,0,9224357765938092647,9224357765938092644,0,0,9224357765938092647,9224357765938092647,9224357765938092647,9224357765938092647,
1.700000e-01,0,9224221251425981660,9224221251425981646,1,1,9224221251425981660,9224221251425981660,9224221251425981660,9224221251425981660,
1.800000e-01,0,9224092542120346319,9224092542120346309,1,1,9224092542120346319,9224092542120346319,9224092542120346319,9224092542120346319,
1.900000e-01,0,9223970793561563433,9223970793561563432,1,1,9223970793561563433,9223970793561563433,9223970793561563433,9223970793561563433,
2.000000e-01,0,9223855291330818244,9223855291330818242,1,1,9223855291330818244,9223855291330818244,9223855291330818244,9223855291330818244,
2.100000e-01,0,9223745425648231845,9223745425648231838,1,1,9223745425648231845,9223745425648231845,9223745425648231845,9223745425648231845,
2.200000e-01,0,9223640671885692559,9223640671885692545,0,0,9223640671885692559,9223640671885692559,9223640671885692559,9223640671885692559,
2.300000e-01,0,9223540575415017574,9223540575415017575,0,0,9223540575415017574,9223540575415017574,9223540575415017574,9223540575415017574,
2.400000e-01,0,9223444739683198814,9223444739683198801,0,0,9223444739683198814,9223444739683198814,9223444739683198814,9223444739683198814,
2.500000e-01,0,9223352816723543842,9223352816723543841,1,1,9223352816723543842,9223352816723543842,9223352816723543842,9223352816723543842,
2.600000e-01,0,9223264499528972681,9223264499528972676,1,1,9223264499528972681,9223264499528972681,9223264499528972681,9223264499528972681,
2.700000e-01,0,9223179515865452486,9223179515865452465,0,0,9223179515865452486,9223179515865452486,9223179515865452486,9223179515865452486,
2.800000e-01,0,9223097623211084338,9223097623211084329,1,1,9223097623211084338,9223097623211084338,9223097623211084338,9223097623211084338,
2.900000e-01,0,9223018604583671352,9223018604583671343,0,0,9223018604583671352,9223018604583671352,9223018604583671352,9223018604583671352,
3.000000e-01,0,9222942265075924412,9222942265075924400,0,0,9222942265075924412,9222942265075924412,9222942265075924412,9222942265075924412,
3.100000e-01,0,9222868428959000828,9222868428959000814,1,1,9222868428959000828,9222868428959000828,9222868428959000828,9222868428959000828,
3.200000e-01,0,9222796937246051307,9222796937246051292,0,0,9222796937246051307,9222796937246051307,9222796937246051307,9222796937246051307,
3.300000e-01,0,9222727645630798725,9222727645630798724,0,0,9222727645630798725,9222727645630798725,9222727645630798725,9222727645630798725,
3.400000e-01,0,9222660422733940320,9222660422733940316,1,1,9222660422733940320,9222660422733940320,9222660422733940320,9222660422733940320,
3.500000e-01,0,9222595148603809936,9222595148603809928,0,0,9222595148603809936,9222595148603809936,9222595148603809936,9222595148603809936,
3.600000e-01,0,9222531713428304980,9222531713428304980,0,0,9222531713428304980,9222531713428304980,9222531713428304980,9222531713428304980,
3.700000e-01,0,9222444130963706228,9222444130963706218,1,1,9222444130963706228,9222444130963706228,9222444130963706228,9222444130963706228,
3.800000e-01,0,9222263976302273459,9222263976302273446,0,0,9222263976302273459,9222263976302273459,9222263976302273459,9222263976302273459,
3.900000e-01,0,9222088501515943721,9222088501515943707,0,0,9222088501515943721,9222088501515943721,9222088501515943721,9222088501515943721,
4.000000e-01,0,9221917469610037892,9221917469610037878,1,1,9221917469610037892,9221917469610037892,9221917469610037892,9221917469610037892,
4.100000e-01,0,9221750661148746691,9221750661148746673,0,0,9221750661148746691,9221750661148746691,9221750661148746691,9221750661148746691,
4.200000e-01,0,9221587872562278694,9221587872562278675,1,1,9221587872562278694,9221587872562278694,9221587872562278694,9221587872562278694,
4.300000e-01,0,9221428914653226105,9221428914653226100,0,0,9221428914653226105,9221428914653226105,9221428914653226105,9221428914653226105,
4.400000e-01,0,9221273611274660834,9221273611274660832,0,0,9221273611274660834,9221273611274660834,9221273611274660834,9221273611274660834,
4.500000e-01,0,9221121798156798911,9221121798156798912,0,0,9221121798156798911,9221121798156798911,9221121798156798911,9221121798156798911,
4.600000e-01,0,9220973321862635880,9220973321862635869,1,1,9220973321862635880,9220973321862635880,9220973321862635880,9220973321862635880,
4.700000e-01,0,9220828038855906952,9220828038855906933,1,1,9220828038855906952,9220828038855906952,9220828038855906952,9220828038855906952,
4.800000e-01,0,9220685814667179598,9220685814667179596,1,1,9220685814667179599,9220685814667179599,9220685814667179599,9220685814667179599,
4.900000e-01,0,9220546523145935270,9220546523145935255,0,0,9220546523145935270,9220546523145935270,9220546523145935270,9220546523145935270,
5.000000e-01,0,9220410045788214686,9220410045788214673,1,1,9220410045788214686,9220410045788214686,9220410045788214686,9220410045788214686,
5.100000e-01,0,9220276271130846639,9220276271130846626,0,0,9220276271130846639,9220276271130846639,9220276271130846639,9220276271130846639,
5.200000e-01,0,9220145094204501202,9220145094204501185,1,1,9220145094204501202,9220145094204501202,9220145094204501202,9220145094204501202,
5.300000e-01,0,9220016416038843052,9220016416038843048,0,0,9220016416038843052,9220016416038843052,9220016416038843052,9220016416038843052,
5.400000e-01,0,9219890143213940617,9219890143213940607,0,0,9219890143213940617,9219890143213940617,9219890143213940617,9219890143213940617,
5.500000e-01,0,9219757931020267529,9219757931020267528,0,0,9219757931020267529,9219757931020267529,9219757931020267529,9219757931020267529,
5.600000e-01,0,9219615921784599167,9219615921784599156,0,0,9219615921784599167,9219615921784599167,9219615921784599167,9219615921784599167,
5.700000e-01,0,9219476426119147581,9219476426119147581,1,1,9219476426119147581,9219476426119147581,9219476426119147581,9219476426119147581,
5.800000e-01,0,9219339356588653712,9219339356588653702,0,0,9219339356588653712,9219339356588653712,9219339356588653712,9219339356588653712,
5.900000e-01,0,9219204630242166368,9219204630242166357,0,0,9219204630242166368,9219204630242166368,9219204630242166368,9219204630242166368,
6.000000e-01,0,9219072168311539421,not_finite,0,0,9219072168311539421,9219072168311539421,9219072168311539421,not_finite,
6.100000e-01,0,9218890521768950935,9218890521768950933,1,1,9218890521768950935,9218890521768950935,9218890521768950935,9218890521768950935,
6.200000e-01,0,9218615905984929685,9218615905984929683,1,1,9218615905984929685,9218615905984929685,9218615905984929685,9218615905984929685,
6.300000e-01,0,9218345684242458561,9218345684242458558,1,1,9218345684242458561,9218345684242458561,9218345684242458561,9218345684242458561,
6.400000e-01,0,9218079718137808276,9218079718137808274,1,1,9218079718137808276,9218079718137808276,9218079718137808276,9218079718137808276,
6.500000e-01,0,9217817875705160567,9217817875705160559,0,0,9217817875705160567,9217817875705160567,9217817875705160567,9217817875705160567,
6.600000e-01,0,9217560031023413911,9217560031023413905,0,0,9217560031023413911,9217560031023413911,9217560031023413911,9217560031023413911,
6.700000e-01,0,9217306063852556206,9217306063852556200,1,1,9217306063852556206,9217306063852556206,9217306063852556206,9217306063852556206,
6.800000e-01,0,9217055859296975877,9217055859296975869,0,0,9217055859296975877,9217055859296975877,9217055859296975877,9217055859296975877,
6.900000e-01,0,9216809307493351527,9216809307493351516,1,1,9216809307493351527,9216809307493351527,9216809307493351527,9216809307493351527,
7.000000e-01,0,9216566303320997998,9216566303320997987,1,1,9216566303320997998,9216566303320997998,9216566303320997998,9216566303320997998,
7.100000e-01,0,9216326746132757395,9216326746132757389,0,0,9216326746132757395,9216326746132757395,9216326746132757395,9216326746132757395,
7.200000e-01,0,9216090539504710824,9216090539504710818,0,0,9216090539504710824,9216090539504710824,9216090539504710824,9216090539504710824,
