identity,x,y,newlib,openlibm,matlab,maple,mpfr64,mpfr128,crlibm,intel-mkl,libmcr,mathematica,
tan(x+y)=(tan(x)+tan(y)/(1-tan(x)tan(y)),0.000000e+00,1.570796e+00,0,0,0,0,0,0,0,0,0,7341392851733341,
tan(x+y)=(tan(x)+tan(y)/(1-tan(x)tan(y)),1.570796e+00,1.047198e+00,2,2,2,0,0,0,2,2,2,0,
tan(x+y)=(tan(x)+tan(y)/(1-tan(x)tan(y)),1.047198e+00,7.853982e-01,2,2,2,0,0,0,2,2,2,0,
tan(x+y)=(tan(x)+tan(y)/(1-tan(x)tan(y)),7.853982e-01,6.283185e-01,1,1,5,0,0,0,1,1,0,0,
tan(x+y)=(tan(x)+tan(y)/(1-tan(x)tan(y)),6.283185e-01,5.235988e-01,3,3,1,0,0,0,3,3,2,0,
tan(x+y)=(tan(x)+tan(y)/(1-tan(x)tan(y)),5.235988e-01,3.926991e-01,1,1,1,0,0,0,1,1,1,0,
tan(x+y)=(tan(x)+tan(y)/(1-tan(x)tan(y)),3.926991e-01,3.141593e-01,1,1,1,0,0,0,1,1,0,0,
tan(x+y)=(tan(x)+tan(y)/(1-tan(x)tan(y)),3.141593e-01,2.617994e-01,1,1,1,0,0,0,1,1,1,0,
tan(x+y)=(tan(x)+tan(y)/(1-tan(x)tan(y)),2.617994e-01,0.000000e+00,0,0,0,0,0,0,0,0,0,0,
tan(x+y)=(tan(x)+tan(y)/(1-tan(x)tan(y)),1.000000e+22,1.000000e-22,0,0,0,0,0,0,0,0,0,0,
